,Name,MSE,MAPE
0,AAPL,10.0999,6.734486464382007
1,MSFT,10.0999,4.717781412476307
2,AMZN,10.0999,7.2045793432763245
3,GOOGL,10.0999,5.700845994160723
4,BRK.B,10.0999,3.992466776118263
5,UNH,10.0999,3.576137453113198
6,TSLA,10.0999,18.611924606706456
7,GOOG,10.0999,5.187398301546774
8,XOM,10.0999,5.281187659961551
9,JNJ,10.0999,4.1732154295440935
10,JPM,10.0999,6.209482064894769
11,NVDA,10.0999,7.578193502692096
12,PG,10.0999,4.464380382482889
13,V,10.0999,4.473580923904586
14,CVX,10.0999,7.089012900881908
15,HD,10.0999,4.586016313990991
16,LLY,10.0999,5.1535296896053415
17,MA,10.0999,4.193186995004695
18,BAC,10.0999,8.275948752279513
19,PFE,10.0999,5.385314674879131
20,ABBV,10.0999,6.490243096504824
21,MRK,10.0999,4.838050795636447
22,META,10.0999,9.948780698958474
23,PEP,10.0999,2.983837100897321
24,KO,10.0999,3.5663616739389727
25,COST,10.0999,5.1190515270603365
26,AVGO,10.0999,5.620303813211002
27,TMO,10.0999,4.6677088684287265
28,MCD,10.0999,4.73998865215427
29,WMT,10.0999,7.064689279431126
30,CSCO,10.0999,6.813183694912233
31,ABT,10.0999,6.27584974861682
32,WFC,10.0999,5.029372472570803
33,ACN,10.0999,4.5659792642774555
34,DHR,10.0999,4.355433987909114
35,BMY,10.0999,7.16581706822074
36,DIS,10.0999,5.012699429177806
37,COP,10.0999,8.941900918476042
38,LIN,10.0999,6.085433954201239
39,NEE,10.0999,3.648990587797092
40,VZ,10.0999,4.419285985689149
41,TXN,10.0999,5.594820735651174
42,AMGN,10.0999,6.454392874431198
43,CRM,10.0999,7.148787956914119
44,ADBE,10.0999,5.312622403849094
45,HON,10.0999,3.468467825618013
46,PM,10.0999,5.389247089824786
47,RTX,10.0999,8.155689275843685
48,CMCSA,10.0999,4.617420182663649
49,QCOM,10.0999,7.648515296246019
