,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,177.3,179.44,176.82,177.04,32689146,AAPL,177.4777086467216
1248,2018-01-24,177.25,177.3,173.2,174.22,51105090,AAPL,177.29190728108992
1249,2018-01-25,174.505,174.95,170.53,171.11,41529004,AAPL,177.25189220875086
1250,2018-01-26,172.0,172.0,170.06,171.51,39143011,AAPL,174.86442902224923
1251,2018-01-29,170.16,170.16,167.07,167.96,50640406,AAPL,172.30567053793433
1252,2018-01-30,165.525,167.37,164.7,166.97,46048185,AAPL,170.3582268442712
1253,2018-01-31,166.87,168.4417,166.5,167.43,32478930,AAPL,166.04583431546905
1254,2018-02-01,167.165,168.62,166.76,167.78,47230787,AAPL,166.62428927492363
1255,2018-02-02,166.0,166.8,160.1,160.5,86593825,AAPL,167.10561616885303
1256,2018-02-05,159.1,163.88,156.0,156.49,72738522,AAPL,166.14992863479284
1257,2018-02-06,154.83,163.72,154.0,163.03,68243838,AAPL,159.93731580901712
1258,2018-02-07,163.085,163.4,159.0685,159.54,51608580,AAPL,155.23180871380688
