,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,106.17,106.97,105.03,105.38,5095319,ABBV,104.6184617073334
1248,2018-01-24,105.26,106.23,104.1,105.51,4436532,ABBV,105.90801718597446
1249,2018-01-25,105.95,108.37,105.739,108.3,6327544,ABBV,105.294471277125
1250,2018-01-26,114.5,125.86,113.5,123.21,19614480,ABBV,105.9373694610845
1251,2018-01-29,121.5,124.15,118.98,122.31,10182688,ABBV,114.06476416003065
1252,2018-01-30,119.42,121.45,115.87,115.88,11851447,ABBV,121.9070277101266
1253,2018-01-31,116.21,116.5,111.29,112.22,15744809,ABBV,120.1236073884122
1254,2018-02-01,112.24,117.53,112.23,116.34,9943452,ABBV,116.22227414363792
1255,2018-02-02,115.5,117.93,114.92,115.17,7184413,ABBV,111.3035230520275
1256,2018-02-05,113.0,115.535,109.4,109.51,9827825,ABBV,115.26882689611578
1257,2018-02-06,104.91,113.52,101.0,111.2,14107829,ABBV,113.18445492929983
1258,2018-02-07,111.52,116.85,111.38,113.62,10030837,ABBV,105.00842357419616
