,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,202.29,204.45,199.44,200.09,3980994,ADBE,195.56926854899322
1248,2018-01-24,201.82,202.3,196.52,197.78,3250450,ADBE,202.431572403728
1249,2018-01-25,198.08,199.244,196.07,197.51,2574213,ADBE,201.54574710307426
1250,2018-01-26,198.5,201.55,198.25,201.3,2338080,ADBE,197.83699139828593
1251,2018-01-29,200.11,200.86,197.87,198.23,1938978,ADBE,198.71118659461044
1252,2018-01-30,197.25,197.73,194.89,196.9,3343348,ADBE,200.29288021493502
1253,2018-01-31,197.13,200.96,196.75,199.76,2747576,ADBE,197.08233000172237
1254,2018-02-01,199.12,201.75,198.0845,199.38,2366120,ADBE,197.24455636909622
1255,2018-02-02,197.33,199.4,195.44,195.64,2813785,ADBE,199.23454479067982
1256,2018-02-05,194.06,198.46,188.0,190.27,3801346,ADBE,197.17889588427676
1257,2018-02-06,186.59,194.82,182.1,194.47,4479960,ADBE,194.06832463603737
1258,2018-02-07,193.87,196.24,192.02,192.34,2988024,ADBE,186.61845111282997
