,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,60.61,60.7,60.03,60.47,5478827,COP,59.83365211680931
1248,2018-01-24,60.54,61.315,60.45,60.49,4992002,COP,60.608448112898536
1249,2018-01-25,60.75,60.9,59.4,59.48,5473390,COP,60.530836955186146
1250,2018-01-26,59.7,60.52,59.61,60.39,5277702,COP,60.73198657256656
1251,2018-01-29,59.92,60.53,59.56,59.66,4167626,COP,59.72074232349256
1252,2018-01-30,58.94,59.32,58.08,58.46,6380960,COP,59.903358381631925
1253,2018-01-31,58.53,59.24,58.28,58.81,7073708,COP,58.98050545229308
1254,2018-02-01,59.0,59.97,58.151,59.35,7011049,COP,58.52718834599776
1255,2018-02-02,59.17,59.44,57.61,57.72,8433342,COP,59.02222746109304
1256,2018-02-05,57.14,58.47,55.41,55.94,11060265,COP,59.170086672569006
1257,2018-02-06,54.75,56.54,54.42,55.94,11013514,COP,57.179410459851695
1258,2018-02-07,56.06,56.9701,55.63,55.63,7721650,COP,54.78931737185921
