,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,113.18,113.76,112.681,113.24,2816839,CRM,111.54720606609841
1248,2018-01-24,113.63,113.84,112.5,112.85,4975487,CRM,112.97668494192405
1249,2018-01-25,113.28,113.47,111.9,111.96,4715109,CRM,113.52433197944667
1250,2018-01-26,112.72,113.92,112.03,113.7,3927448,CRM,113.18801747685339
1251,2018-01-29,113.7,114.41,112.85,113.3,3181484,CRM,112.73725870777614
1252,2018-01-30,112.42,113.45,111.84,112.23,3737729,CRM,113.65256294349223
1253,2018-01-31,113.06,114.52,112.64,113.91,4181752,CRM,112.50327139152789
1254,2018-02-01,113.3,114.27,112.53,112.74,4302769,CRM,113.0266428249597
1255,2018-02-02,112.03,112.35,110.71,110.78,4403837,CRM,113.31637464293934
1256,2018-02-05,109.15,111.61,107.5,107.65,6123968,CRM,112.08907134692137
1257,2018-02-06,105.01,109.62,103.69,109.57,6857941,CRM,109.42106400902527
1258,2018-02-07,109.07,112.29,108.81,110.05,4515370,CRM,105.48514692170224
