,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,41.54,42.13,41.54,42.1,23984518,CSCO,41.23166855114368
1248,2018-01-24,42.2,42.685,42.01,42.17,26696212,CSCO,41.511281990868554
1249,2018-01-25,42.27,42.47,41.82,41.9,19207511,CSCO,42.16311302603952
1250,2018-01-26,42.15,42.56,41.95,42.56,23380407,CSCO,42.297071200288734
1251,2018-01-29,42.3,42.98,42.3,42.85,23625873,CSCO,42.18724897459328
1252,2018-01-30,42.685,42.86,41.97,42.25,28993938,CSCO,42.28278114446213
1253,2018-01-31,41.98,42.01,41.35,41.54,36512097,CSCO,42.66142324453278
1254,2018-02-01,41.09,42.11,40.67,41.7,26148507,CSCO,42.039724275947336
1255,2018-02-02,41.5,41.95,40.87,40.93,27224206,CSCO,41.1499241357461
1256,2018-02-05,40.87,41.405,38.72,38.78,52399572,CSCO,41.42098439536134
1257,2018-02-06,38.33,40.305,37.35,40.17,55171559,CSCO,40.87591437760121
1258,2018-02-07,40.31,41.206,40.03,40.34,32690837,CSCO,38.49207244051742
