,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,132.38,132.56,130.73,131.02,5747334,CVX,131.28467855550096
1248,2018-01-24,131.38,132.6678,131.07,131.39,6868223,CVX,132.42600202657206
1249,2018-01-25,131.76,131.87,130.34,130.65,4597183,CVX,131.36426885548258
1250,2018-01-26,130.71,131.75,130.37,131.19,6310543,CVX,131.8360653881413
1251,2018-01-29,130.06,131.58,128.32,128.48,6350723,CVX,130.67112702399277
1252,2018-01-30,127.61,128.01,125.19,125.23,8084022,CVX,130.06275170250757
1253,2018-01-31,125.42,125.815,124.05,125.35,9626771,CVX,127.61520176420484
1254,2018-02-01,125.6,125.63,124.06,125.57,7844464,CVX,125.41912706281354
1255,2018-02-02,123.95,123.95,117.64,118.58,13182551,CVX,125.59673885836813
1256,2018-02-05,116.99,118.3,108.02,112.62,15414722,CVX,123.96518488394544
1257,2018-02-06,111.2,117.63,110.76,117.18,18416320,CVX,117.08377454491776
1258,2018-02-07,117.4,119.27,115.23,115.29,11535704,CVX,111.03862275511351
