,date,open,high,low,close,volume,Name,outcome
1231,2018-01-23,100.17,100.37,99.69,99.95,2383457,DHR,100.3899145823076
1232,2018-01-24,100.3,101.7,100.08,101.38,2223602,DHR,100.18070587438721
1233,2018-01-25,101.75,103.01,101.43,102.7,2133979,DHR,100.28737035719934
1234,2018-01-26,102.98,103.815,102.78,103.8,2433377,DHR,101.52361344698835
1235,2018-01-29,103.61,104.22,103.3,103.69,2580495,DHR,102.72537029619663
1236,2018-01-30,102.64,104.82,101.13,101.6,3888539,DHR,103.41191281329915
1237,2018-01-31,101.91,102.57,100.853,101.28,3308859,DHR,102.6692398554305
1238,2018-02-01,100.92,102.1923,100.5,101.86,2289202,DHR,101.97627107409077
1239,2018-02-02,101.27,102.53,101.27,102.18,4556900,DHR,101.08793717161137
1240,2018-02-05,101.45,101.85,96.29,96.7,4813114,DHR,101.30145018580795
1241,2018-02-06,95.3,98.58,94.75,97.05,6693891,DHR,101.4875051990036
1242,2018-02-07,96.38,96.97,94.75,95.25,5337006,DHR,96.18178956162583
