,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,113.67,114.64,113.35,114.21,12320751,JPM,112.7371264919285
1248,2018-01-24,114.86,116.0,114.66,115.67,15904504,JPM,113.61904818353936
1249,2018-01-25,116.04,116.17,115.075,115.7,13509957,JPM,114.67531173302629
1250,2018-01-26,115.7,116.32,114.96,116.32,13883875,JPM,116.04951079858535
1251,2018-01-29,116.02,117.3529,116.02,116.2,11679919,JPM,115.80205466662215
1252,2018-01-30,115.53,116.6,114.98,115.11,14279124,JPM,115.95637359750039
1253,2018-01-31,115.65,116.66,115.16,115.67,13141423,JPM,115.41858542873922
1254,2018-02-01,115.77,116.985,115.48,116.87,13800613,JPM,115.60383948387425
1255,2018-02-02,116.49,116.92,114.09,114.28,16477307,JPM,115.75243722066176
1256,2018-02-05,113.0,114.59,103.98,108.8,30097591,JPM,116.47711595285945
1257,2018-02-06,106.85,112.48,106.61,112.11,33114833,JPM,113.14603353199573
1258,2018-02-07,111.55,114.45,111.146,112.87,21878324,JPM,106.90122410163157
