,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,85.18,85.9199,84.24,84.42,5728106,LLY,83.678272577413
1248,2018-01-24,84.86,85.16,84.28,84.3,5977707,LLY,85.01218119484145
1249,2018-01-25,84.81,85.4,84.56,85.01,5201611,LLY,84.76094030401043
1250,2018-01-26,84.76,87.47,84.76,87.08,6394142,LLY,84.85614551519984
1251,2018-01-29,86.77,88.33,86.65,87.6,5324547,LLY,84.95321526098564
1252,2018-01-30,86.64,86.94,85.21,86.09,5388420,LLY,86.36254560578571
1253,2018-01-31,86.5,86.73,81.27,81.45,10558541,LLY,86.62104829879446
1254,2018-02-01,81.54,82.8737,81.29,82.41,8410660,LLY,86.57544467193998
1255,2018-02-02,81.88,83.03,81.12,81.18,5152459,LLY,82.23057479967588
1256,2018-02-05,80.89,81.61,76.55,77.49,8145221,LLY,81.83850760844318
1257,2018-02-06,76.56,79.11,75.71,77.99,10558825,LLY,80.937515528826
1258,2018-02-07,77.76,78.56,76.71,76.72,8240329,LLY,77.13664463157072
