,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,150.0,153.1,150.0,152.72,2648089,NEE,150.46579168897537
1248,2018-01-24,151.93,152.23,150.08,150.85,1968550,NEE,150.01607375751087
1249,2018-01-25,150.83,153.35,150.0,153.09,2461258,NEE,151.80651880411233
1250,2018-01-26,154.86,159.23,154.7,157.69,3646819,NEE,150.9367219824065
1251,2018-01-29,157.2,157.3,155.49,155.68,2514275,NEE,154.5797243502726
1252,2018-01-30,155.5,156.48,154.29,155.1,1955829,NEE,157.0264147638618
1253,2018-01-31,155.23,158.78,154.62,158.42,3232685,NEE,155.461395436053
1254,2018-02-01,158.61,159.64,155.67,156.34,2212008,NEE,155.1703917064823
1255,2018-02-02,155.48,157.42,155.079,155.92,2322781,NEE,158.2311496618419
1256,2018-02-05,156.04,158.28,153.85,154.29,3653099,NEE,155.5773244231822
1257,2018-02-06,151.83,153.36,147.15,149.56,4235330,NEE,156.0854776806634
1258,2018-02-07,149.61,150.68,147.89,148.09,2878725,NEE,152.14291475063004
