,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,177.3,179.44,176.82,177.04,32689146,AAPL,177.47770864696506
1248,2018-01-24,177.25,177.3,173.2,174.22,51105090,AAPL,177.29190727898245
1249,2018-01-25,174.505,174.95,170.53,171.11,41529004,AAPL,177.2518922117674
1250,2018-01-26,172.0,172.0,170.06,171.51,39143011,AAPL,174.86442901139003
1251,2018-01-29,170.16,170.16,167.07,167.96,50640406,AAPL,172.3056705276075
1252,2018-01-30,165.525,167.37,164.7,166.97,46048185,AAPL,170.35822681323563
1253,2018-01-31,166.87,168.4417,166.5,167.43,32478930,AAPL,166.04583434519273
1254,2018-02-01,167.165,168.62,166.76,167.78,47230787,AAPL,166.62428925194772
1255,2018-02-02,166.0,166.8,160.1,160.5,86593825,AAPL,167.10561616119418
1256,2018-02-05,159.1,163.88,156.0,156.49,72738522,AAPL,166.1499286444527
1257,2018-02-06,154.83,163.72,154.0,163.03,68243838,AAPL,159.93731582100492
1258,2018-02-07,163.085,163.4,159.0685,159.54,51608580,AAPL,155.2318087056498
