,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,202.29,204.45,199.44,200.09,3980994,ADBE,195.56926854944555
1248,2018-01-24,201.82,202.3,196.52,197.78,3250450,ADBE,202.4315724081791
1249,2018-01-25,198.08,199.244,196.07,197.51,2574213,ADBE,201.5457471245787
1250,2018-01-26,198.5,201.55,198.25,201.3,2338080,ADBE,197.83699139585775
1251,2018-01-29,200.11,200.86,197.87,198.23,1938978,ADBE,198.71118659515386
1252,2018-01-30,197.25,197.73,194.89,196.9,3343348,ADBE,200.29288021467127
1253,2018-01-31,197.13,200.96,196.75,199.76,2747576,ADBE,197.08232999404976
1254,2018-02-01,199.12,201.75,198.0845,199.38,2366120,ADBE,197.2445563736205
1255,2018-02-02,197.33,199.4,195.44,195.64,2813785,ADBE,199.23454479045085
1256,2018-02-05,194.06,198.46,188.0,190.27,3801346,ADBE,197.1788958843143
1257,2018-02-06,186.59,194.82,182.1,194.47,4479960,ADBE,194.06832464858113
1258,2018-02-07,193.87,196.24,192.02,192.34,2988024,ADBE,186.61845111210616
