,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,193.0,196.03,191.6,191.99,3486666,AMGN,189.377661900163
1248,2018-01-24,192.75,192.9399,189.51,190.63,2765713,AMGN,192.7319270283231
1249,2018-01-25,191.4,191.8,188.9,190.08,2471001,AMGN,192.92089233241694
1250,2018-01-26,191.05,196.8,190.99,196.01,3920250,AMGN,191.53989828172166
1251,2018-01-29,196.21,201.23,195.65,198.0,4565702,AMGN,190.81130012615964
1252,2018-01-30,196.18,196.468,190.55,191.27,3990821,AMGN,195.57221648719923
1253,2018-01-31,191.64,192.27,184.65,186.05,4677703,AMGN,196.40636045976947
1254,2018-02-01,185.0,186.83,182.33,185.56,4078062,AMGN,192.30922881057282
1255,2018-02-02,183.46,192.6,183.01,187.01,7030078,AMGN,185.18166624854794
1256,2018-02-05,186.82,188.5981,174.62,174.75,6922758,AMGN,182.96599454371315
1257,2018-02-06,177.99,180.28,172.04,176.65,7527691,AMGN,186.48593719591753
1258,2018-02-07,176.25,180.99,176.0,177.47,5715671,AMGN,179.1381129057006
