,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,193.61,194.1,192.07,193.42,2316444,COST,192.56009334502755
1248,2018-01-24,194.43,194.75,191.925,194.24,2799224,COST,193.64123431340622
1249,2018-01-25,195.0,198.45,194.735,197.95,3558701,COST,194.44018945935912
1250,2018-01-26,197.75,199.23,195.69,198.91,2756240,COST,194.93728210398464
1251,2018-01-29,198.37,199.88,197.56,198.32,2031082,COST,197.7335387978958
1252,2018-01-30,197.59,198.79,196.08,197.91,2285040,COST,198.35056771053556
1253,2018-01-31,197.44,198.4747,194.1,194.87,2682299,COST,197.54350824454883
1254,2018-02-01,193.41,195.4,192.44,193.47,2096563,COST,197.31931594788267
1255,2018-02-02,191.25,193.6,190.8,190.99,2386573,COST,193.4136153762254
1256,2018-02-05,190.66,192.1,182.525,182.77,3407221,COST,191.28989522874528
1257,2018-02-06,178.91,185.24,176.2,185.01,4067910,COST,190.69164994166604
1258,2018-02-07,184.6,186.19,183.07,183.19,2594822,COST,178.9095455009838
