,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,110.27,111.14,109.89,110.41,7477282,DIS,110.30594794677532
1248,2018-01-24,110.96,111.43,110.29,110.5,7211784,DIS,110.36559200283243
1249,2018-01-25,110.6,111.82,110.12,110.55,6291011,DIS,110.9816372780531
1250,2018-01-26,110.81,112.5324,110.67,112.19,7743825,DIS,110.70624653759853
1251,2018-01-29,112.1,112.45,111.24,111.54,6847766,DIS,110.86432599034863
1252,2018-01-30,111.42,112.42,110.1,110.11,8393878,DIS,112.03923174951498
1253,2018-01-31,110.08,110.12,108.47,108.67,9841413,DIS,111.3878871778979
1254,2018-02-01,108.62,110.65,107.36,110.49,9518857,DIS,110.10130115652987
1255,2018-02-02,109.95,110.58,108.45,108.7,9947657,DIS,108.5148557784023
1256,2018-02-05,107.1,108.63,104.01,104.7,15107942,DIS,109.92525416930455
1257,2018-02-06,102.88,106.2,101.76,106.17,17765068,DIS,107.25459049975834
1258,2018-02-07,107.83,108.03,104.41,104.76,12444982,DIS,103.11585785258644
