,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,146.96,147.44,141.62,141.83,17473631,JNJ,146.9946365407965
1248,2018-01-24,143.5,143.56,141.8,142.07,13034368,JNJ,146.9344148642636
1249,2018-01-25,142.31,144.66,142.2105,144.4,7938846,JNJ,143.58170773060172
1250,2018-01-26,144.5,145.6,144.13,145.33,8065646,JNJ,142.23191163624338
1251,2018-01-29,144.85,144.94,143.53,143.68,8013444,JNJ,144.35211955084736
1252,2018-01-30,143.4,143.82,142.43,142.43,8376092,JNJ,144.80402703872824
1253,2018-01-31,142.57,142.57,138.1,138.19,13137396,JNJ,143.53679192276633
1254,2018-02-01,137.53,140.67,137.0,140.02,9393645,JNJ,142.63453945974078
1255,2018-02-02,139.02,140.36,137.38,137.68,9262508,JNJ,137.5221069889605
1256,2018-02-05,136.58,137.0,122.15,130.39,19954145,JNJ,138.87563127989768
1257,2018-02-06,130.01,132.99,128.0,131.83,19193520,JNJ,136.55652295711076
1258,2018-02-07,131.89,133.43,131.35,131.42,10550411,JNJ,130.01992604446016
