,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,47.21,47.7,47.13,47.45,11463742,KO,47.136971478868574
1248,2018-01-24,47.53,47.95,47.48,47.83,15964475,KO,47.19252947127936
1249,2018-01-25,47.7,48.0,47.7,47.84,11755001,KO,47.498739988328616
1250,2018-01-26,47.78,48.615,47.74,48.53,16671227,KO,47.67297617298398
1251,2018-01-29,48.21,48.46,47.575,47.7,11662632,KO,47.77417100750549
1252,2018-01-30,47.73,48.16,47.4,47.41,12404757,KO,48.17440620144161
1253,2018-01-31,47.45,47.9,47.37,47.59,10960082,KO,47.76223464912456
1254,2018-02-01,47.41,47.73,47.11,47.45,10279439,KO,47.49265066550566
1255,2018-02-02,47.35,47.41,46.63,46.73,12912307,KO,47.40684750504312
1256,2018-02-05,46.65,46.92,44.411,44.89,23261475,KO,47.32482481176303
1257,2018-02-06,43.87,44.74,43.44,44.67,25184306,KO,46.73277694774168
1258,2018-02-07,44.58,45.495,44.28,44.56,18041614,KO,44.12153386454165
