,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,175.57,177.75,174.85,176.81,3197644,MCD,175.94310461876137
1248,2018-01-24,177.3,177.3,175.25,176.12,2810819,MCD,175.5461041625841
1249,2018-01-25,176.4,176.62,174.66,175.66,2815838,MCD,177.17598924592912
1250,2018-01-26,175.67,178.4,175.0101,178.36,3957724,MCD,176.4584020867338
1251,2018-01-29,178.3,178.7,177.24,177.77,6091905,MCD,175.64916206335914
1252,2018-01-30,177.1,177.67,170.85,172.48,9612974,MCD,178.26078213225873
1253,2018-01-31,173.6,174.295,170.27,171.14,7004176,MCD,176.96903312954106
1254,2018-02-01,170.27,173.54,168.8945,171.9,4751328,MCD,173.859317178463
1255,2018-02-02,170.8,172.7299,168.99,169.38,4604454,MCD,170.57691349081222
1256,2018-02-05,168.61,169.455,153.86,163.85,7309275,MCD,170.60307882681894
1257,2018-02-06,158.35,166.05,158.25,165.18,7019960,MCD,168.60415196693575
1258,2018-02-07,164.86,168.26,164.52,165.71,4974029,MCD,158.60149038890196
