,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,89.82,90.21,88.6,89.05,18756274,PG,90.82264553427191
1248,2018-01-24,89.06,89.16,87.7,88.31,15141949,PG,89.87110486921492
1249,2018-01-25,88.68,89.05,88.0114,88.34,11264371,PG,89.15479118857834
1250,2018-01-26,88.17,88.17,87.23,87.73,11503083,PG,88.71449562299678
1251,2018-01-29,87.69,87.74,86.69,86.86,11685762,PG,88.22360621449236
1252,2018-01-30,86.82,87.44,86.63,86.95,9662856,PG,87.80065422143618
1253,2018-01-31,86.81,87.41,86.075,86.34,11798093,PG,86.93129581325725
1254,2018-02-01,86.15,86.5,85.56,85.85,8606301,PG,86.86144631799039
1255,2018-02-02,85.56,85.61,84.21,84.25,12846332,PG,86.22618494575684
1256,2018-02-05,83.99,84.37,80.1,81.06,17462165,PG,85.65468879421232
1257,2018-02-06,80.53,82.45,80.12,82.38,19955546,PG,84.13668298145652
1258,2018-02-07,82.3,83.39,81.82,81.84,11851841,PG,80.76289685605508
