,date,open,high,low,close,Adj Close,volume,DATE,outcome
2106,2022-05-13,92.05000305175781,92.61000061035156,91.08999633789062,91.91999816894531,90.31546020507812,5465600,2022-05-13,90.791961436409
2107,2022-05-16,91.8499984741211,93.54000091552734,91.80999755859375,92.4800033569336,90.8656997680664,5158500,2022-05-16,92.000804126901
2108,2022-05-17,94.33000183105469,95.13999938964844,93.5,94.94999694824219,93.29257202148438,4447200,2022-05-17,91.83925006243214
2109,2022-05-18,94.33000183105469,95.19999694824219,92.27999877929688,92.61000061035156,90.9934310913086,5843100,2022-05-18,94.13246187890644
2110,2022-05-19,91.37999725341797,92.45999908447266,89.54000091552734,90.25,89.20439147949219,5234700,2022-05-19,94.29794189497811
2111,2022-05-20,90.83999633789062,91.16999816894531,88.43000030517578,90.08000183105469,89.03636932373047,6585500,2022-05-20,91.6623071841938
2112,2022-05-23,90.5999984741211,92.0199966430664,90.0,91.83000183105469,90.7660903930664,4701300,2022-05-23,90.68105923102068
2113,2022-05-24,91.19999694824219,93.41999816894531,90.47000122070312,93.20999908447266,92.1301040649414,5932000,2022-05-24,90.70836358670492
2114,2022-05-25,93.31999969482422,94.0999984741211,92.58999633789062,93.55999755859375,92.47604370117188,3742000,2022-05-25,91.30830189611656
2115,2022-05-26,94.5199966430664,95.86000061035156,94.11000061035156,95.0,93.89936065673828,5545800,2022-05-26,93.0765421896663
2116,2022-05-27,95.62999725341797,96.72000122070312,95.19999694824219,96.70999908447266,95.58955383300781,3394200,2022-05-27,94.47210236622315
2117,2022-05-31,95.36000061035156,95.97000122070312,94.62999725341797,95.12000274658203,94.01797485351562,6478700,2022-05-31,95.5480107386195
