,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,215.58,217.22,214.25,214.55,1266969,TMO,214.0377023735441
1248,2018-01-24,215.02,216.67,213.0,215.32,1227430,TMO,215.63811936793678
1249,2018-01-25,216.37,218.74,215.01,217.88,1668776,TMO,214.9574586864238
1250,2018-01-26,218.17,219.78,216.73,219.78,1161963,TMO,216.29622842135737
1251,2018-01-29,219.4,220.1,218.59,218.81,1042756,TMO,218.11585382278952
1252,2018-01-30,215.99,216.28,212.54,214.62,1921680,TMO,219.40757935811624
1253,2018-01-31,223.46,226.0,219.7,224.11,3414180,TMO,216.1079122950531
1254,2018-02-01,224.16,226.44,219.61,222.36,1912795,TMO,223.15684006821235
1255,2018-02-02,220.11,220.775,217.5642,217.69,1992430,TMO,224.1136847359335
1256,2018-02-05,216.71,219.255,207.81,208.31,2387588,TMO,220.45901552609467
1257,2018-02-06,205.0,211.1,201.62,209.48,2415333,TMO,216.80710590154962
1258,2018-02-07,208.34,211.2,206.13,207.55,1653024,TMO,204.77533929320305
