,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,242.99,246.98,242.41,245.21,3300020,UNH,243.44134299596033
1248,2018-01-24,246.01,247.3137,243.71,244.85,2733255,UNH,242.72686507791497
1249,2018-01-25,244.75,246.19,243.9,245.18,2420503,UNH,245.61578321779527
1250,2018-01-26,245.0,248.735,244.46,248.47,2615342,UNH,244.62927541109303
1251,2018-01-29,249.28,250.79,247.4,247.41,2564688,UNH,245.16230605512186
1252,2018-01-30,232.88,242.74,232.1,236.65,11565538,UNH,249.08821155315215
1253,2018-01-31,242.84,247.0,235.76,236.78,5187404,UNH,233.03871650273837
1254,2018-02-01,235.26,237.82,233.83,235.22,4268312,UNH,242.3887545414795
1255,2018-02-02,233.0,236.3,231.19,231.88,3959904,UNH,235.34029813681988
1256,2018-02-05,230.79,233.11,208.48,220.02,6289977,UNH,234.89740058403282
1257,2018-02-06,212.2,226.509,210.21,225.18,7064825,UNH,230.15148876218925
1258,2018-02-07,222.33,229.29,221.51,225.82,5589154,UNH,214.62235598317653
