,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,54.6,54.6,52.81,53.23,33000480,VZ,52.050772145441364
1248,2018-01-24,53.82,54.44,53.5,54.22,21080439,VZ,54.662583376421
1249,2018-01-25,54.28,54.77,54.01,54.29,18638689,VZ,53.826037497224874
1250,2018-01-26,54.49,54.75,54.34,54.72,13077557,VZ,54.254539110166334
1251,2018-01-29,53.58,54.58,53.4,54.13,17052645,VZ,54.609909619291386
1252,2018-01-30,54.3,54.5,53.79,53.9,15401453,VZ,53.600431370583514
1253,2018-01-31,53.99,54.4199,53.53,54.07,17826960,VZ,54.2863973250751
1254,2018-02-01,54.49,54.75,54.01,54.3,18646097,VZ,54.020369894839746
1255,2018-02-02,54.27,54.27,52.9,52.98,15574016,VZ,54.46543964922375
1256,2018-02-05,52.52,53.19,50.5,50.5,22239589,VZ,54.27184251223721
1257,2018-02-06,49.44,51.0,49.07,50.83,34543947,VZ,52.515900399981255
1258,2018-02-07,50.63,51.93,50.5,51.01,16066607,VZ,49.34478546330093
