,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,124.6,125.51,124.21,124.65,5683320,V,122.77894908840184
1248,2018-01-24,125.05,125.45,123.71,124.55,6425224,V,124.29246254277929
1249,2018-01-25,125.0,125.47,124.63,125.22,7166403,V,124.79635116986626
1250,2018-01-26,125.77,126.38,124.76,126.32,5604949,V,124.94576383895306
1251,2018-01-29,126.74,126.88,124.685,124.84,6257887,V,125.57924364347171
1252,2018-01-30,123.82,124.29,122.84,123.55,8154371,V,126.44143291046593
1253,2018-01-31,123.78,124.48,123.04,124.23,7338184,V,124.13265041827404
1254,2018-02-01,124.74,126.26,124.1,125.72,11169657,V,123.87283940812969
1255,2018-02-02,123.72,123.72,120.7,120.91,13937710,V,124.52611637371729
1256,2018-02-05,118.7,121.13,115.01,116.27,16623914,V,123.90869126538915
1257,2018-02-06,115.2,120.3,113.25,119.97,19053339,V,119.61889211623453
1258,2018-02-07,120.09,122.46,119.21,119.65,9293996,V,115.77421789378091
