,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,64.31,64.85,64.2249,64.49,12937130,WFC,64.04963601671034
1248,2018-01-24,64.95,65.63,64.8,65.48,20180270,WFC,64.28329874039046
1249,2018-01-25,65.7,65.85,65.4,65.65,17568706,WFC,64.82565487565286
1250,2018-01-26,65.89,66.04,65.25,65.93,16251896,WFC,65.64130875527466
1251,2018-01-29,65.78,66.31,65.66,65.82,16105189,WFC,65.88857130046001
1252,2018-01-30,65.43,65.93,65.28,65.28,16158886,WFC,65.75976452475062
1253,2018-01-31,65.27,66.1,65.16,65.78,18147919,WFC,65.38748986613557
1254,2018-02-01,65.37,66.09,65.06,65.51,15717623,WFC,65.21674982429768
1255,2018-02-02,65.33,65.5254,63.83,64.07,18905283,WFC,65.34921532811956
1256,2018-02-05,58.7,59.89,57.5,58.16,103394442,WFC,65.3413205280163
1257,2018-02-06,56.905,58.5,55.87,57.28,83076895,WFC,59.009673533594864
1258,2018-02-07,56.94,58.115,56.75,57.54,45550954,WFC,57.045109417922326
