,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,131.65,132.445,131.12,132.42,28349859,AAPL,131.72606
1009,2017-02-10,132.46,132.94,132.05,132.12,20065458,AAPL,132.06364
1010,2017-02-13,133.08,133.82,132.75,133.29,23035421,AAPL,131.71089
1011,2017-02-14,133.47,135.09,133.25,135.02,33226223,AAPL,132.93985
1012,2017-02-15,135.52,136.27,134.62,135.51,35623100,AAPL,134.69128
1013,2017-02-16,135.67,135.9,134.8398,135.345,22584555,AAPL,135.09485
1014,2017-02-17,135.1,135.83,135.1,135.72,22198197,AAPL,134.86389
1015,2017-02-21,136.23,136.75,135.98,136.7,24507156,AAPL,135.24162
1016,2017-02-22,136.43,137.12,136.11,137.11,20836932,AAPL,136.2384
1017,2017-02-23,137.38,137.48,136.3,136.53,20788186,AAPL,136.60432
1018,2017-02-24,135.91,136.66,135.28,136.66,21776585,AAPL,135.96133
1019,2017-02-27,137.14,137.435,136.28,136.93,20257426,AAPL,136.12082
1020,2017-02-28,137.08,137.435,136.7,136.99,23482860,AAPL,136.39943
1021,2017-03-01,137.89,140.15,137.595,139.79,36414585,AAPL,136.45215
1022,2017-03-02,140.0,140.2786,138.76,138.96,26210984,AAPL,139.3752
1023,2017-03-03,138.78,139.83,138.59,139.78,21571121,AAPL,138.31723
1024,2017-03-06,139.365,139.77,138.5959,139.34,21750044,AAPL,139.19801
1025,2017-03-07,139.06,139.98,138.79,139.52,17446297,AAPL,138.66266
1026,2017-03-08,138.95,139.8,138.82,139.0,18707236,AAPL,138.87161
1027,2017-03-09,138.74,138.79,137.05,138.68,22155904,AAPL,138.31487
1028,2017-03-10,139.25,139.3571,138.64,139.14,19612801,AAPL,138.01901
1029,2017-03-13,138.85,139.43,138.82,139.2,17421717,AAPL,138.52939
1030,2017-03-14,139.3,139.65,138.84,138.99,15309065,AAPL,138.57347
1031,2017-03-15,139.41,140.7501,139.025,140.46,25691774,AAPL,138.3532
1032,2017-03-16,140.72,141.02,140.26,140.69,19231998,AAPL,139.90088
1033,2017-03-17,141.0,141.0,139.89,139.99,43884952,AAPL,140.03873
1034,2017-03-20,140.4,141.5,140.23,141.46,21542038,AAPL,139.2786
1035,2017-03-21,142.11,142.8,139.73,139.84,39529912,AAPL,140.84477
1036,2017-03-22,139.845,141.6,139.76,141.42,25860165,AAPL,139.04895
1037,2017-03-23,141.26,141.5844,140.61,140.92,20346301,AAPL,140.803
1038,2017-03-24,141.5,141.74,140.35,140.64,22395563,AAPL,140.17097
1039,2017-03-27,139.39,141.22,138.62,140.88,23575094,AAPL,139.91289
1040,2017-03-28,140.91,144.04,140.62,143.8,33374805,AAPL,140.17743
