,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,115.51,117.46,115.47,116.98,2117069,ACN,115.68921
1009,2017-02-10,116.7,118.84,116.52,117.6,2183016,ACN,117.15093
1010,2017-02-13,117.9,118.95,117.725,118.59,1988541,ACN,117.7404
1011,2017-02-14,118.47,120.0,118.405,120.0,2559693,ACN,118.68422
1012,2017-02-15,119.61,120.165,119.3,119.93,1951131,ACN,120.02145
1013,2017-02-16,119.93,120.99,119.53,120.72,1966972,ACN,119.98496
1014,2017-02-17,120.51,121.29,120.1,121.23,1904933,ACN,120.73883
1015,2017-02-21,120.63,122.22,120.57,122.1,2117134,ACN,121.23843
1016,2017-02-22,121.66,122.88,121.58,122.21,1557038,ACN,122.081985
1017,2017-02-23,122.59,122.705,121.73,122.48,1439556,ACN,122.227135
1018,2017-02-24,122.0,123.43,121.6,123.43,1447663,ACN,122.513855
1019,2017-02-27,123.01,123.43,122.48,122.79,1679832,ACN,123.42945
1020,2017-02-28,122.75,123.09,121.93,122.5,1745371,ACN,122.8874
1021,2017-03-01,123.24,124.29,122.46,124.07,1879707,ACN,122.64463
1022,2017-03-02,123.99,124.43,123.56,124.35,1896716,ACN,124.11918
1023,2017-03-03,124.25,124.25,122.985,123.64,2122955,ACN,124.43488
1024,2017-03-06,122.99,123.43,122.53,123.24,1814082,ACN,123.82759
1025,2017-03-07,123.63,124.38,123.12,124.14,2705285,ACN,123.4696
1026,2017-03-08,124.11,124.79,123.78,124.46,2168611,ACN,124.31092
1027,2017-03-09,124.37,124.37,122.65,123.18,2338125,ACN,124.64274
1028,2017-03-10,123.65,124.33,123.07,123.93,1931099,ACN,123.495026
1029,2017-03-13,124.23,124.75,123.47,124.04,2233737,ACN,124.18292
1030,2017-03-14,124.17,124.73,123.63,123.91,1627855,ACN,124.30338
1031,2017-03-15,123.41,124.99,123.03,124.8,2087675,ACN,124.20606
1032,2017-03-16,124.89,125.19,123.61,124.1,2182041,ACN,125.0377
1033,2017-03-17,124.71,125.45,123.83,125.22,4603637,ACN,124.4171
1034,2017-03-20,125.22,125.39,124.17,124.39,2257442,ACN,125.450966
1035,2017-03-21,125.08,125.41,123.63,124.64,3219859,ACN,124.70803
1036,2017-03-22,125.03,126.53,124.47,126.48,4288622,ACN,124.93713
1037,2017-03-23,122.71,123.01,120.54,120.76,7116837,ACN,126.632935
1038,2017-03-24,120.78,121.31,118.755,118.98,3949828,ACN,121.3995
1039,2017-03-27,118.73,119.8,118.3,119.39,3122818,ACN,119.61304
1040,2017-03-28,119.82,122.34,119.014,121.35,5516010,ACN,119.93197
1041,2017-03-29,121.66,121.71,120.15,120.98,2438878,ACN,121.78115
1042,2017-03-30,120.89,121.0,120.05,120.52,2030644,ACN,121.47905
1043,2017-03-31,120.71,121.21,119.84,119.88,2102781,ACN,121.05386
1044,2017-04-03,118.0,118.17,117.0,117.64,3918099,ACN,120.42614
1045,2017-04-04,117.28,118.07,117.28,118.04,1690734,ACN,118.28222
1046,2017-04-05,118.24,119.09,117.49,117.64,1902105,ACN,118.59373
1047,2017-04-06,117.68,117.93,116.76,116.81,2049602,ACN,118.189896
1048,2017-04-07,117.0,117.74,116.5,117.44,2408028,ACN,117.38523
1049,2017-04-10,117.5,118.56,117.37,117.84,2308255,ACN,117.948166
1050,2017-04-11,116.18,116.8,115.79,116.08,2295270,ACN,118.30962
1051,2017-04-12,116.05,116.4,115.47,115.58,2087832,ACN,116.63179
