,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,116.26,116.9,116.02,116.44,1688862,ADBE,117.88896
1009,2017-02-10,116.51,116.94,115.03,116.85,2612905,ADBE,118.09334
1010,2017-02-13,117.03,117.94,116.2,117.65,1910382,ADBE,118.5031
1011,2017-02-14,117.65,117.79,116.67,117.58,1556662,ADBE,119.341606
1012,2017-02-15,117.33,119.09,117.07,118.73,1699561,ADBE,119.17217
1013,2017-02-16,118.84,119.47,118.47,118.93,1649517,ADBE,120.47645
1014,2017-02-17,118.79,119.72,118.24,119.67,2143337,ADBE,120.56447
1015,2017-02-21,119.73,120.169,119.31,119.63,2032259,ADBE,121.37824
1016,2017-02-22,119.67,119.89,118.85,119.47,1982071,ADBE,121.24847
1017,2017-02-23,120.1,120.15,118.03,118.83,2382433,ADBE,121.10056
1018,2017-02-24,118.3,119.32,117.83,119.31,1942492,ADBE,120.44393
1019,2017-02-27,119.02,119.199,118.07,118.78,1550480,ADBE,121.11406
1020,2017-02-28,118.83,118.84,118.02,118.34,2008016,ADBE,120.50183
1021,2017-03-01,119.24,120.57,118.38,120.35,2356481,ADBE,120.11431
1022,2017-03-02,120.09,120.12,119.28,119.9,1819664,ADBE,122.43841
1023,2017-03-03,119.83,120.13,119.48,120.04,1361060,ADBE,121.66861
1024,2017-03-06,119.73,120.48,119.37,120.15,1979700,ADBE,121.86744
1025,2017-03-07,120.06,120.69,119.69,119.98,1872509,ADBE,121.95917
1026,2017-03-08,120.21,120.66,119.35,119.6,2963124,ADBE,121.76747
1027,2017-03-09,119.82,120.26,119.11,119.91,1984225,ADBE,121.38055
1028,2017-03-10,120.57,121.37,120.241,121.09,2211585,ADBE,121.79812
1029,2017-03-13,121.11,121.96,120.89,121.8,1805225,ADBE,123.09053
1030,2017-03-14,121.65,121.99,120.62,121.44,1507722,ADBE,123.717285
1031,2017-03-15,122.0,122.42,120.9,122.11,2396325,ADBE,123.19094
1032,2017-03-16,123.25,123.6,121.525,122.35,4044627,ADBE,123.97662
1033,2017-03-17,128.45,130.3,126.94,127.01,8749926,ADBE,124.15793
1034,2017-03-20,126.99,128.09,125.79,126.31,3320867,ADBE,129.36874
1035,2017-03-21,126.64,127.36,124.96,125.07,3105349,ADBE,127.86821
1036,2017-03-22,124.6,126.94,124.51,126.21,3477250,ADBE,126.53379
1037,2017-03-23,126.2,127.25,126.01,126.87,2197390,ADBE,128.00847
1038,2017-03-24,127.86,129.0,127.05,127.7,3044007,ADBE,128.65811
1039,2017-03-27,127.48,128.837,126.36,128.25,2424236,ADBE,129.54791
1040,2017-03-28,127.81,129.28,127.81,128.69,2213163,ADBE,130.06358
1041,2017-03-29,128.4,129.63,128.2,129.58,2272464,ADBE,130.49698
1042,2017-03-30,129.55,130.28,129.3,129.61,2205186,ADBE,131.45953
1043,2017-03-31,129.57,130.69,129.4,130.13,2086431,ADBE,131.38121
1044,2017-04-03,129.585,130.7499,128.88,129.59,2337174,ADBE,131.99522
1045,2017-04-04,129.47,130.372,129.02,130.04,2026519,ADBE,131.33438
1046,2017-04-05,130.58,131.33,129.375,129.89,2811597,ADBE,131.97432
1047,2017-04-06,129.86,130.22,129.16,130.15,1890783,ADBE,131.77495
1048,2017-04-07,130.15,130.67,129.52,130.22,2287623,ADBE,132.13344
1049,2017-04-10,130.32,130.38,129.47,130.16,2234853,ADBE,132.197
1050,2017-04-11,129.91,130.165,128.21,129.95,2331569,ADBE,132.14056
1051,2017-04-12,129.96,129.96,128.72,129.38,2106257,ADBE,131.92949
1052,2017-04-13,129.63,130.42,129.05,129.05,1815148,ADBE,131.3372
1053,2017-04-17,129.69,130.36,129.11,129.99,1395416,ADBE,131.07826
1054,2017-04-18,129.74,130.23,129.48,129.81,1499916,ADBE,132.21931
1055,2017-04-19,129.9,130.98,129.82,130.22,2007572,ADBE,131.87357
1056,2017-04-20,130.7,131.99,130.28,131.42,2004260,ADBE,132.35706
1057,2017-04-21,131.84,131.97,131.03,131.52,2137086,ADBE,133.63565
1058,2017-04-24,132.94,133.1799,132.17,132.89,1845569,ADBE,133.53978
1059,2017-04-25,133.44,133.72,132.88,133.49,2504120,ADBE,135.0599
1060,2017-04-26,133.5,133.8,132.42,132.79,1635874,ADBE,135.49872
1061,2017-04-27,133.13,134.25,132.76,133.38,1658147,ADBE,134.59517
1062,2017-04-28,133.4,133.92,132.67,133.74,1749243,ADBE,135.39009
1063,2017-05-01,134.3,135.34,133.71,135.11,1811962,ADBE,135.73271
1064,2017-05-02,135.54,135.7,134.75,135.0,2692920,ADBE,137.26701
1065,2017-05-03,134.99,135.21,134.38,134.85,1974174,ADBE,136.91788
1066,2017-05-04,135.13,135.35,134.405,134.61,1810507,ADBE,136.77348
1067,2017-05-05,135.19,135.19,134.19,134.84,1845506,ADBE,136.5433
1068,2017-05-08,135.36,135.385,134.22,135.12,1583085,ADBE,136.88765
1069,2017-05-09,135.33,135.62,134.9,135.6,1692745,ADBE,137.2049
1070,2017-05-10,135.86,136.745,135.51,136.15,1755377,ADBE,137.73
1071,2017-05-11,135.98,136.31,135.395,136.29,1344005,ADBE,138.28595
1072,2017-05-12,136.45,137.38,135.885,136.84,1626639,ADBE,138.35385
1073,2017-05-15,137.13,137.71,136.83,137.6,3210300,ADBE,138.9616
1074,2017-05-16,138.06,138.39,137.6,138.03,2271821,ADBE,139.74176
1075,2017-05-17,137.2,137.32,134.2401,134.33,3558545,ADBE,140.10764
1076,2017-05-18,132.77,134.85,130.82,134.54,4158708,ADBE,135.80675
1077,2017-05-19,135.18,136.61,134.34,136.43,3721729,ADBE,136.73529
1078,2017-05-22,137.38,139.19,136.58,138.86,2515974,ADBE,138.92662
1079,2017-05-23,139.16,139.95,138.7,139.52,2123751,ADBE,141.42667
1080,2017-05-24,140.18,141.25,139.81,141.12,1700445,ADBE,141.7027
1081,2017-05-25,142.16,143.48,141.8,142.85,1731076,ADBE,143.35242
1082,2017-05-26,142.93,143.1,141.6744,141.89,1604223,ADBE,145.0062
1083,2017-05-30,141.8,142.56,141.501,142.41,1541204,ADBE,143.56763
1084,2017-05-31,143.04,143.19,141.41,141.86,2944380,ADBE,144.35999
1085,2017-06-01,141.64,142.49,140.93,141.38,2407737,ADBE,143.67578
1086,2017-06-02,142.12,143.57,141.86,143.48,2885683,ADBE,143.30356
1087,2017-06-05,144.14,144.34,143.51,143.59,1847635,ADBE,145.87766
1088,2017-06-06,143.35,144.17,142.73,143.03,2162703,ADBE,145.6547
1089,2017-06-07,143.33,143.77,142.4501,143.62,1633783,ADBE,145.00563
1090,2017-06-08,143.96,143.97,141.74,142.63,2811524,ADBE,145.7999
1091,2017-06-09,143.14,143.585,135.76,138.05,4146190,ADBE,144.57909
1092,2017-06-12,133.72,138.64,131.2001,137.25,6772355,ADBE,139.53998
1093,2017-06-13,138.79,139.86,138.09,139.09,2871379,ADBE,139.53839
1094,2017-06-14,139.29,140.848,136.41,138.25,2831058,ADBE,141.88412
