,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,207.33,207.69,203.63,205.34,2751924,AVGO,212.37755
1009,2017-02-10,206.0,206.5,203.85,205.52,2384206,AVGO,210.5722
1010,2017-02-13,206.78,207.11,205.17,206.71,1246341,AVGO,211.04387
1011,2017-02-14,206.99,207.0,204.8,205.33,1735780,AVGO,212.42104
1012,2017-02-15,205.82,206.935,204.8,205.99,1708766,AVGO,210.71635
1013,2017-02-16,206.46,208.22,205.175,208.18,1718799,AVGO,211.65479
1014,2017-02-17,209.0,210.41,206.8201,210.41,3094524,AVGO,214.05038
1015,2017-02-21,211.0,213.62,210.91,212.75,3033314,AVGO,216.21046
1016,2017-02-22,213.0,214.93,211.5,214.16,2394863,AVGO,218.45332
1017,2017-02-23,215.08,215.955,209.64,210.58,2936386,AVGO,219.6449
1018,2017-02-24,208.38,210.645,202.61,210.37,2765081,AVGO,215.38904
1019,2017-02-27,210.67,213.45,210.19,213.28,2699102,AVGO,215.79016
1020,2017-02-28,214.14,214.34,210.3,210.93,2754779,AVGO,219.2542
1021,2017-03-01,213.07,215.39,210.56,215.14,5115465,AVGO,216.1848
1022,2017-03-02,224.11,224.98,216.02,217.29,7117112,AVGO,221.27495
1023,2017-03-03,218.0,220.0,217.7,218.32,3077077,AVGO,223.07927
1024,2017-03-06,216.37,218.53,215.17,217.94,2277121,AVGO,223.81538
1025,2017-03-07,217.34,221.37,217.09,219.25,2912919,AVGO,223.20457
1026,2017-03-08,219.22,221.24,218.55,219.63,2454365,AVGO,224.80685
1027,2017-03-09,218.78,222.86,218.12,222.01,2567522,AVGO,225.09616
1028,2017-03-10,222.73,226.41,222.73,226.35,3943043,AVGO,227.7782
1029,2017-03-13,225.86,227.75,225.36,226.45,2666904,AVGO,232.35939
1030,2017-03-14,224.76,226.28,223.51,224.35,2216720,AVGO,231.68513
1031,2017-03-15,224.33,226.65,223.24,225.93,2072680,AVGO,229.25912
1032,2017-03-16,225.48,225.82,221.57,222.36,2783456,AVGO,231.55089
1033,2017-03-17,223.52,223.71,220.85,221.18,5163480,AVGO,227.32721
1034,2017-03-20,221.18,222.64,220.78,221.24,1721474,AVGO,226.67787
1035,2017-03-21,222.24,222.98,215.52,216.02,3055726,AVGO,227.06844
1036,2017-03-22,216.02,218.37,215.39,217.42,1913093,AVGO,221.17291
1037,2017-03-23,217.26,218.46,216.425,216.86,1922274,AVGO,223.64287
1038,2017-03-24,218.01,221.4,217.74,218.97,2379356,AVGO,222.83295
1039,2017-03-27,216.83,220.18,215.97,219.05,1535762,AVGO,225.22992
1040,2017-03-28,218.51,221.78,218.35,220.95,1792867,AVGO,224.89548
1041,2017-03-29,220.8,221.35,219.68,221.31,1592716,AVGO,226.94908
1042,2017-03-30,221.9,224.45,218.86,220.04,3416840,AVGO,226.99817
1043,2017-03-31,219.99,220.99,218.03,218.96,2589661,AVGO,225.4558
1044,2017-04-03,219.0,219.99,216.6623,218.8,1921017,AVGO,224.47029
1045,2017-04-04,218.17,220.41,217.88,218.96,1263393,AVGO,224.53136
1046,2017-04-05,219.54,220.5,216.8,217.13,1568971,AVGO,224.77657
1047,2017-04-06,216.7,218.465,215.59,217.5,1461530,AVGO,222.67331
1048,2017-04-07,217.5,219.84,217.04,218.25,1641793,AVGO,223.39288
1049,2017-04-10,217.07,219.05,216.26,218.02,1799417,AVGO,224.19852
1050,2017-04-11,216.56,218.395,214.03,217.55,2221897,AVGO,223.77611
1051,2017-04-12,215.67,216.135,208.44,209.2,6102582,AVGO,223.24423
1052,2017-04-13,209.21,213.97,209.0,211.32,4257943,AVGO,213.90895
1053,2017-04-17,212.38,214.36,212.19,213.87,1450730,AVGO,217.66977
1054,2017-04-18,213.06,213.71,212.06,213.1,848590,AVGO,220.34789
1055,2017-04-19,213.78,214.83,213.26,213.63,1208146,AVGO,218.9405
1056,2017-04-20,215.0,219.12,214.22,218.21,1691619,AVGO,219.52592
1057,2017-04-21,217.42,218.33,216.1608,217.66,1468342,AVGO,224.58496
1058,2017-04-24,220.69,221.9,219.68,221.24,1753914,AVGO,223.14508
1059,2017-04-25,222.02,224.0,221.95,223.2,1484833,AVGO,227.21155
1060,2017-04-26,223.49,223.93,220.87,221.68,1472625,AVGO,228.85585
1061,2017-04-27,222.89,224.09,222.06,223.09,1184979,AVGO,226.75671
1062,2017-04-28,222.83,223.135,219.77,220.81,1648994,AVGO,228.67476
1063,2017-05-01,222.09,222.26,219.91,221.32,1533863,AVGO,225.9424
1064,2017-05-02,223.46,225.5,221.5,225.45,2727671,AVGO,226.97678
1065,2017-05-03,224.51,226.19,223.545,224.9,1800197,AVGO,231.69084
1066,2017-05-04,225.26,225.86,221.86,223.4,1624956,AVGO,230.3245
1067,2017-05-05,224.96,226.49,224.045,226.45,2312775,AVGO,228.65616
1068,2017-05-08,226.52,227.1003,223.86,225.08,1744807,AVGO,232.4664
1069,2017-05-09,225.62,229.4,224.705,228.46,1926081,AVGO,230.41331
1070,2017-05-10,229.49,233.42,228.69,231.33,2443312,AVGO,234.51291
1071,2017-05-11,230.68,231.85,228.24,231.09,1482347,AVGO,237.2329
1072,2017-05-12,231.48,236.05,230.84,235.96,2585163,AVGO,236.37624
1073,2017-05-15,235.61,239.9,235.0,239.03,2917216,AVGO,242.03836
1074,2017-05-16,239.94,241.29,238.69,240.68,1812837,AVGO,244.70059
1075,2017-05-17,238.0,238.97,231.09,231.18,3144716,AVGO,245.98119
1076,2017-05-18,231.58,238.62,227.68,237.66,3069926,AVGO,234.74316
