,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,22.76,23.15,22.64,23.12,102634174,BAC,22.489822
1009,2017-02-10,23.19,23.24,22.96,23.08,90548254,BAC,22.949833
1010,2017-02-13,23.17,23.54,23.17,23.4,105342461,BAC,22.857555
1011,2017-02-14,23.4,24.17,23.33,24.06,139711380,BAC,23.19436
1012,2017-02-15,24.34,24.77,24.11,24.58,151233334,BAC,23.8223
1013,2017-02-16,24.54,24.62,24.3,24.58,98144469,BAC,24.290308
1014,2017-02-17,24.28,24.58,24.2,24.52,85789239,BAC,24.267548
1015,2017-02-21,24.59,24.8,24.58,24.78,78571450,BAC,24.234076
1016,2017-02-22,24.61,24.95,24.54,24.79,81531895,BAC,24.503418
1017,2017-02-23,24.79,24.89,24.51,24.58,85845982,BAC,24.483711
1018,2017-02-24,24.12,24.35,24.02,24.23,97074433,BAC,24.280792
1019,2017-02-27,24.2,24.66,24.19,24.57,69129148,BAC,23.952065
1020,2017-02-28,24.48,24.7,24.42,24.68,90241979,BAC,24.315073
1021,2017-03-01,25.37,25.61,25.22,25.5,143947510,BAC,24.372688
1022,2017-03-02,25.68,25.8,25.2,25.23,99824552,BAC,25.190329
1023,2017-03-03,25.3,25.65,25.3,25.44,92681401,BAC,24.83963
1024,2017-03-06,25.33,25.35,25.08,25.25,75660430,BAC,25.114124
1025,2017-03-07,25.22,25.36,25.1,25.21,64053694,BAC,24.8964
1026,2017-03-08,25.6,25.77,25.22,25.26,105314569,BAC,24.885328
1027,2017-03-09,25.35,25.53,25.23,25.35,78984607,BAC,24.930496
1028,2017-03-10,25.62,25.62,25.09,25.31,86998808,BAC,25.010952
1029,2017-03-13,25.3,25.41,25.13,25.3,56886181,BAC,24.961351
1030,2017-03-14,25.19,25.34,25.05,25.32,63182745,BAC,24.958418
1031,2017-03-15,25.39,25.55,24.96,25.18,114662671,BAC,24.977804
1032,2017-03-16,25.24,25.49,25.19,25.22,70306233,BAC,24.835274
1033,2017-03-17,25.22,25.27,24.83,24.86,105222387,BAC,24.890078
1034,2017-03-20,24.58,24.76,24.42,24.44,87287477,BAC,24.520971
1035,2017-03-21,24.5,24.56,22.95,23.02,259545810,BAC,24.139967
1036,2017-03-22,22.65,23.18,22.45,22.94,167984438,BAC,22.758121
1037,2017-03-23,23.04,23.49,22.91,23.07,111666799,BAC,22.789871
1038,2017-03-24,23.2,23.35,22.76,23.12,113499139,BAC,22.868141
1039,2017-03-27,22.28,23.05,22.16,23.03,119513475,BAC,22.891941
1040,2017-03-28,23.01,23.67,23.0,23.48,95761732,BAC,22.800694
1041,2017-03-29,23.51,23.65,23.31,23.35,67204492,BAC,23.262722
