,date,open,high,low,close,volume,Name,Predictions
1006,2017-02-09,52.0,52.25,51.46,51.51,5813111,BMY,52.439507
1007,2017-02-10,51.61,51.97,51.52,51.65,5845618,BMY,51.955536
1008,2017-02-13,51.83,52.09,51.615,52.03,6769739,BMY,52.06766
1009,2017-02-14,52.31,54.27,52.0875,53.71,19785205,BMY,52.42422
1010,2017-02-15,53.7,55.335,53.6,55.03,11860785,BMY,54.008125
1011,2017-02-16,55.08,55.156,53.92,54.28,9917069,BMY,55.234615
1012,2017-02-17,54.3,54.72,54.08,54.59,9706078,BMY,54.454758
1013,2017-02-21,54.41,57.21,53.41,54.78,26919342,BMY,54.731033
1014,2017-02-22,55.49,56.45,55.293,55.35,21293710,BMY,54.89779
1015,2017-02-23,55.63,56.09,55.02,55.77,14410368,BMY,55.430332
1016,2017-02-24,55.92,56.47,55.875,56.44,11382544,BMY,55.810024
1017,2017-02-27,56.5,56.995,56.2446,56.56,11285328,BMY,56.429565
1018,2017-02-28,56.54,56.93,56.21,56.71,9046039,BMY,56.50928
1019,2017-03-01,57.0,57.24,56.52,57.18,13349282,BMY,56.635956
1020,2017-03-02,56.89,57.49,56.59,56.86,12103706,BMY,57.076057
1021,2017-03-03,56.74,57.34,56.6257,57.26,9657427,BMY,56.741135
1022,2017-03-06,57.02,57.225,56.23,56.97,7917208,BMY,57.134727
1023,2017-03-07,56.27,56.63,55.7827,56.33,16970337,BMY,56.836414
1024,2017-03-08,56.33,57.5,56.22,57.12,13556428,BMY,56.228386
1025,2017-03-09,57.37,58.05,57.2,57.99,7535226,BMY,57.018944
1026,2017-03-10,58.03,58.54,57.81,58.32,8547335,BMY,57.83816
1027,2017-03-13,58.3,58.3,56.86,56.93,11689400,BMY,58.11186
1028,2017-03-14,56.95,57.5998,56.58,56.69,11746430,BMY,56.73771
1029,2017-03-15,56.67,57.93,56.67,57.65,10337688,BMY,56.56256
1030,2017-03-16,57.33,57.582,57.12,57.31,9903868,BMY,57.513115
1031,2017-03-17,57.23,57.25,56.11,56.29,15881880,BMY,57.14832
1032,2017-03-20,56.33,56.71,56.24,56.41,8481366,BMY,56.17437
1033,2017-03-21,56.5,56.66,55.38,55.71,9394520,BMY,56.331722
1034,2017-03-22,55.7,56.42,55.17,56.36,9808349,BMY,55.66688
1035,2017-03-23,56.08,56.53,55.68,55.77,7624712,BMY,56.323124
1036,2017-03-24,55.87,56.25,55.675,55.89,6170612,BMY,55.744305
1037,2017-03-27,55.6,56.35,55.53,56.04,11139741,BMY,55.878326
1038,2017-03-28,56.04,56.369,55.93,56.2,8525945,BMY,56.025154
1039,2017-03-29,56.17,56.55,55.925,55.95,6136155,BMY,56.17576
1040,2017-03-30,55.96,56.0,55.25,55.36,8147515,BMY,55.928272
1041,2017-03-31,55.3,55.67,54.16,54.38,12390392,BMY,55.36822
1042,2017-04-03,54.53,55.16,53.87,54.21,16315772,BMY,54.4521
1043,2017-04-04,54.21,54.35,53.95,54.14,8996731,BMY,54.323776
1044,2017-04-05,53.99,54.125,53.0,53.08,10095811,BMY,54.281334
1045,2017-04-06,53.05,53.53,52.51,53.29,7404812,BMY,53.290005
1046,2017-04-07,53.27,53.66,52.88,53.42,7969317,BMY,53.512283
1047,2017-04-10,53.35,53.71,53.2,53.35,7409110,BMY,53.656307
1048,2017-04-11,53.29,53.44,52.94,52.98,6996461,BMY,53.59578
1049,2017-04-12,52.82,53.14,52.75,52.99,7192973,BMY,53.247826
1050,2017-04-13,53.05,53.185,52.78,52.83,7169365,BMY,53.26343
1051,2017-04-17,52.75,53.22,52.53,52.95,6471385,BMY,53.11962
1052,2017-04-18,52.68,53.15,52.59,52.93,8036674,BMY,53.23799
1053,2017-04-19,53.0,53.66,52.88,53.2,8140605,BMY,53.22218
1054,2017-04-20,53.41,53.56,53.19,53.44,6092535,BMY,53.477417
1055,2017-04-21,53.4,53.71,53.15,53.48,5224373,BMY,53.70131
1056,2017-04-24,53.85,54.0,53.51,53.55,9783267,BMY,53.73044
1057,2017-04-25,53.65,54.32,53.65,53.94,9321100,BMY,53.788876
1058,2017-04-26,54.05,54.65,53.71,53.77,9453860,BMY,54.15346
1059,2017-04-27,55.36,56.13,54.62,55.67,15317773,BMY,53.981293
1060,2017-04-28,55.7,56.33,55.37,56.05,8248689,BMY,55.79111
1061,2017-05-01,56.34,56.83,55.91,56.31,7420255,BMY,56.101326
1062,2017-05-02,56.34,56.79,55.55,55.95,17278054,BMY,56.309303
1063,2017-05-03,55.49,55.58,54.72,55.06,10651062,BMY,55.933723
1064,2017-05-04,55.07,55.55,54.951,55.19,6205069,BMY,55.080708
1065,2017-05-05,55.25,55.33,54.9599,55.15,5938317,BMY,55.230064
1066,2017-05-08,54.99,55.18,54.54,54.94,4730500,BMY,55.200138
1067,2017-05-09,54.88,55.48,54.75,55.32,7134581,BMY,55.004944
1068,2017-05-10,55.18,55.31,54.88,55.14,6361374,BMY,55.377655
1069,2017-05-11,55.14,55.66,54.8901,55.14,6810192,BMY,55.199474
1070,2017-05-12,55.2,55.38,54.8,55.03,5176967,BMY,55.202007
1071,2017-05-15,55.03,55.23,54.83,55.1,4935028,BMY,55.09828
1072,2017-05-16,55.0,55.28,54.2,54.39,9259459,BMY,55.169422
1073,2017-05-17,54.03,54.62,53.7,54.41,7724335,BMY,54.49202
1074,2017-05-18,54.2,54.49,53.32,53.78,12419941,BMY,54.528614
1075,2017-05-19,53.82,54.28,53.82,54.02,8640912,BMY,53.940235
1076,2017-05-22,54.02,54.335,53.88,54.1,4462813,BMY,54.18627
1077,2017-05-23,54.16,54.43,54.14,54.21,7187085,BMY,54.271664
1078,2017-05-24,54.45,54.45,53.47,53.82,6461299,BMY,54.37756
1079,2017-05-25,53.89,54.58,53.69,54.39,8493124,BMY,54.004433
1080,2017-05-26,54.37,54.82,53.9,53.97,4968194,BMY,54.5526
1081,2017-05-30,53.93,54.24,53.76,53.93,7138167,BMY,54.14674
1082,2017-05-31,54.14,54.35,53.86,53.95,8140698,BMY,54.11038
1083,2017-06-01,54.0,54.53,53.88,54.53,6561557,BMY,54.13353
1084,2017-06-02,54.71,55.17,54.506,54.97,7470872,BMY,54.68802
1085,2017-06-05,53.76,54.3625,52.21,52.36,18743053,BMY,55.096024
1086,2017-06-06,52.3,52.4,51.63,51.66,11724718,BMY,52.603325
1087,2017-06-07,51.86,52.58,51.56,52.57,10562722,BMY,51.96616
1088,2017-06-08,52.6,53.36,52.55,52.85,8687199,BMY,52.867973
1089,2017-06-09,52.77,54.18,52.65,53.75,7553349,BMY,53.163956
1090,2017-06-12,53.75,54.55,53.49,54.36,8766726,BMY,54.013523
1091,2017-06-13,54.19,54.32,53.9,54.19,4777358,BMY,54.57437
1092,2017-06-14,54.24,54.8132,54.13,54.52,5622423,BMY,54.381218
1093,2017-06-15,54.49,54.7314,54.0214,54.28,5679722,BMY,54.679558
1094,2017-06-16,54.52,54.6,53.61,54.46,12535386,BMY,54.436142
1095,2017-06-19,54.46,55.37,54.32,55.22,6210603,BMY,54.60386
1096,2017-06-20,55.27,56.41,55.1,55.66,7461055,BMY,55.325073
1097,2017-06-21,55.75,56.58,55.6,56.07,8783585,BMY,55.722507
1098,2017-06-22,56.27,57.9,56.15,57.33,8289648,BMY,56.089127
1099,2017-06-23,57.27,57.36,56.24,56.64,20794767,BMY,57.277752
1100,2017-06-26,56.72,57.27,56.35,56.92,5596327,BMY,56.546074
1101,2017-06-27,56.8,56.86,55.8525,55.9,5477476,BMY,56.826466
1102,2017-06-28,56.15,56.38,55.77,55.87,5126889,BMY,55.82942
1103,2017-06-29,55.91,56.13,55.49,55.82,5037800,BMY,55.835003
1104,2017-06-30,55.99,56.07,55.68,55.72,4679652,BMY,55.798996
1105,2017-07-03,56.27,56.88,56.18,56.27,6257560,BMY,55.711365
1106,2017-07-05,56.27,56.39,55.55,56.35,5887394,BMY,56.248215
1107,2017-07-06,56.1,56.21,55.2,55.28,5546105,BMY,56.30922
1108,2017-07-07,55.51,55.995,55.075,55.91,5487495,BMY,55.27427
1109,2017-07-10,56.1,56.32,55.82,55.93,4050817,BMY,55.91079
1110,2017-07-11,55.81,56.1,55.095,55.33,4630317,BMY,55.922794
1111,2017-07-12,55.64,56.24,54.85,55.04,9080986,BMY,55.34488
1112,2017-07-13,55.06,55.18,54.22,54.67,8130932,BMY,55.08483
1113,2017-07-14,54.81,55.449,54.5,55.15,6042860,BMY,54.747444
1114,2017-07-17,55.28,55.53,54.58,54.79,3719657,BMY,55.22491
1115,2017-07-18,54.77,54.82,54.4225,54.74,3702019,BMY,54.877903
1116,2017-07-19,54.77,55.195,54.61,55.07,3321722,BMY,54.837463
1117,2017-07-20,55.28,55.72,55.18,55.44,3862419,BMY,55.15862
1118,2017-07-21,55.41,55.77,55.38,55.65,5009128,BMY,55.507065
