,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,163.43,164.4229,162.82,164.04,2878311,BRK.B,160.24532
1009,2017-02-10,164.59,164.68,163.6,164.01,3066201,BRK.B,161.3614
1010,2017-02-13,164.71,166.24,164.44,165.85,2958849,BRK.B,161.31859
1011,2017-02-14,165.85,167.0,165.17,166.95,3057943,BRK.B,163.0622
1012,2017-02-15,167.21,167.34,166.12,167.28,4349610,BRK.B,164.08351
1013,2017-02-16,167.28,167.8,166.1,167.74,3152206,BRK.B,164.36342
1014,2017-02-17,167.56,168.7,166.71,168.57,3716900,BRK.B,164.78754
1015,2017-02-21,168.92,169.65,168.47,168.92,4416873,BRK.B,165.56856
1016,2017-02-22,168.92,169.7,168.3274,169.61,3299350,BRK.B,165.87274
1017,2017-02-23,169.96,170.16,169.1085,170.15,3377140,BRK.B,166.50545
1018,2017-02-24,169.5,170.275,169.22,170.22,4023408,BRK.B,166.98901
1019,2017-02-27,170.9,171.2,170.32,170.63,3738606,BRK.B,167.02055
1020,2017-02-28,170.9,172.2,170.51,171.42,6464455,BRK.B,167.39494
1021,2017-03-01,173.7,177.41,173.7,177.28,7137648,BRK.B,168.13397
1022,2017-03-02,177.86,177.86,175.48,175.89,4154760,BRK.B,173.79774
1023,2017-03-03,175.97,176.46,175.04,175.68,3572889,BRK.B,172.20403
1024,2017-03-06,175.44,175.88,174.51,175.4,3379090,BRK.B,171.95723
1025,2017-03-07,175.58,175.76,174.9,175.3,2645385,BRK.B,171.70514
1026,2017-03-08,175.89,176.0,174.8,174.97,3334427,BRK.B,171.6174
1027,2017-03-09,175.7,175.85,174.8152,175.37,2955841,BRK.B,171.28677
1028,2017-03-10,176.0,176.14,174.45,174.98,3789669,BRK.B,171.67029
1029,2017-03-13,175.29,175.6,174.69,175.39,3333468,BRK.B,171.26717
1030,2017-03-14,175.22,175.43,174.23,174.73,2972477,BRK.B,171.66731
1031,2017-03-15,174.98,175.08,173.77,174.67,3928488,BRK.B,171.01596
1032,2017-03-16,175.15,175.43,173.7,174.08,3119576,BRK.B,170.98032
1033,2017-03-17,173.89,173.89,172.32,172.82,6710690,BRK.B,170.42633
1034,2017-03-20,172.3,172.868,171.6,172.07,3340655,BRK.B,169.23656
1035,2017-03-21,172.16,172.44,169.03,169.47,4973857,BRK.B,168.57054
1036,2017-03-22,169.27,170.04,168.02,169.3,3257041,BRK.B,166.12111
1037,2017-03-23,169.66,171.36,169.21,169.89,3142944,BRK.B,166.05023
1038,2017-03-24,170.45,170.45,168.02,168.66,4131882,BRK.B,166.66307
1039,2017-03-27,166.89,167.5103,165.8,167.44,4884740,BRK.B,165.4817
1040,2017-03-28,167.28,168.612,166.36,168.31,4598039,BRK.B,164.3527
1041,2017-03-29,168.0,168.3,166.44,166.59,4776445,BRK.B,165.24623
1042,2017-03-30,166.3,167.69,166.0,167.36,3393679,BRK.B,163.61705
1043,2017-03-31,167.41,167.6,166.34,166.68,3564732,BRK.B,164.39456
1044,2017-04-03,166.72,167.0,165.32,166.87,3986871,BRK.B,163.75883
1045,2017-04-04,166.61,167.0,166.14,166.86,2853044,BRK.B,163.95709
1046,2017-04-05,167.45,168.23,165.67,165.83,5231101,BRK.B,163.95686
1047,2017-04-06,165.64,166.995,165.02,166.47,3892319,BRK.B,162.97986
1048,2017-04-07,165.62,166.89,165.48,166.17,2594028,BRK.B,163.61401
1049,2017-04-10,166.2,167.0,165.975,166.35,3015946,BRK.B,163.32693
1050,2017-04-11,165.8,166.22,164.85,165.7,3488171,BRK.B,163.49712
1051,2017-04-12,165.07,165.48,164.66,165.11,3419655,BRK.B,162.87534
1052,2017-04-13,164.98,165.28,162.87,162.9,3655089,BRK.B,162.3253
1053,2017-04-17,163.61,164.63,162.67,164.35,3414133,BRK.B,160.2497
1054,2017-04-18,163.87,164.23,163.09,163.69,2985842,BRK.B,161.66235
1055,2017-04-19,164.1,164.49,162.28,162.76,3932873,BRK.B,161.03046
1056,2017-04-20,163.29,165.235,163.04,164.98,3729159,BRK.B,160.14595
1057,2017-04-21,164.4,164.95,163.34,163.41,5122410,BRK.B,162.27039
1058,2017-04-24,165.7,165.99,164.4,165.78,4135474,BRK.B,160.76001
1059,2017-04-25,166.92,167.96,166.6,167.53,4268529,BRK.B,163.02272
1060,2017-04-26,167.5,168.95,167.25,167.63,4084301,BRK.B,164.66978
1061,2017-04-27,167.65,167.81,165.5,166.55,4290201,BRK.B,164.7085
1062,2017-04-28,166.28,166.55,164.68,165.21,3045003,BRK.B,163.65625
1063,2017-05-01,165.8,166.32,165.35,165.44,3135353,BRK.B,162.40468
1064,2017-05-02,165.9,166.3299,165.16,166.05,2781230,BRK.B,162.65631
1065,2017-05-03,165.7,167.08,165.5,166.73,2982169,BRK.B,163.23187
