,date,open,high,low,close,volume,Name,Predictions
995,2017-02-14,83.71,84.29,83.55,84.1,1326936,DHR,84.46732
996,2017-02-15,83.75,84.69,83.64,84.61,2080955,DHR,84.37103
997,2017-02-16,84.58,84.64,83.64,84.25,2485588,DHR,84.91637
998,2017-02-17,84.07,84.255,83.68,84.05,2342419,DHR,84.54006
999,2017-02-21,84.53,85.07,84.32,84.75,2307584,DHR,84.33367
1000,2017-02-22,84.64,84.92,84.5,84.8,2066548,DHR,85.08589
1001,2017-02-23,85.0,85.19,84.63,85.13,1787790,DHR,85.124725
1002,2017-02-24,85.32,86.08,85.01,86.08,1973365,DHR,85.44974
1003,2017-02-27,85.92,86.33,85.77,86.13,1740832,DHR,86.443275
1004,2017-02-28,85.87,86.06,85.43,85.55,2278488,DHR,86.465355
1005,2017-03-01,86.55,87.59,86.26,87.26,2560828,DHR,85.843956
1006,2017-03-02,86.98,87.0,86.45,86.62,1529068,DHR,87.690125
1007,2017-03-03,86.67,86.96,86.21,86.83,2193382,DHR,86.966576
1008,2017-03-06,86.19,86.485,85.635,86.09,2217865,DHR,87.18216
1009,2017-03-07,85.98,86.33,85.75,86.07,1588574,DHR,86.4169
1010,2017-03-08,86.03,86.8,85.89,86.62,1871880,DHR,86.42759
1011,2017-03-09,86.52,87.44,86.52,87.31,2310193,DHR,87.02199
1012,2017-03-10,87.54,88.01,87.335,87.76,2240952,DHR,87.71666
1013,2017-03-13,87.59,87.69,86.95,87.5,1632540,DHR,88.141075
1014,2017-03-14,87.28,87.28,86.44,86.86,1669827,DHR,87.83577
1015,2017-03-15,87.06,87.8,87.0,87.47,1781892,DHR,87.18082
1016,2017-03-16,87.3,87.47,85.99,86.4,2648226,DHR,87.88341
1017,2017-03-17,86.52,86.87,86.39,86.67,3107209,DHR,86.736084
1018,2017-03-20,86.79,86.89,86.34,86.47,1536652,DHR,87.048615
1019,2017-03-21,86.8,87.07,85.91,86.28,1825805,DHR,86.84111
1020,2017-03-22,86.41,86.56,85.82,86.32,1754540,DHR,86.62987
1021,2017-03-23,86.32,86.66,85.99,86.3,2195025,DHR,86.67594
1022,2017-03-24,86.34,86.88,85.61,86.01,3112519,DHR,86.65361
1023,2017-03-27,85.58,86.235,85.4,86.04,2097345,DHR,86.344826
1024,2017-03-28,85.77,86.055,85.3,85.89,3073049,DHR,86.389114
1025,2017-03-29,85.54,85.835,85.25,85.62,1641036,DHR,86.23739
1026,2017-03-30,85.67,86.02,85.41,85.72,2253199,DHR,85.9561
1027,2017-03-31,85.21,85.82,85.21,85.53,2174356,DHR,86.0733
1028,2017-04-03,85.66,85.945,85.08,85.48,2563353,DHR,85.87312
1029,2017-04-04,85.63,85.63,84.885,85.27,2563142,DHR,85.820885
1030,2017-04-05,85.58,86.59,85.39,85.77,2522133,DHR,85.603676
1031,2017-04-06,85.6,86.2799,84.98,86.13,1997822,DHR,86.137
1032,2017-04-07,86.03,86.345,85.8,86.07,1341513,DHR,86.50206
1033,2017-04-10,86.18,86.36,85.89,86.11,1635635,DHR,86.413025
1034,2017-04-11,85.88,86.22,85.67,86.21,1277730,DHR,86.4565
1035,2017-04-12,86.41,86.41,85.58,85.75,1609731,DHR,86.57317
1036,2017-04-13,85.51,86.265,85.44,85.78,1975146,DHR,86.08906
1037,2017-04-17,85.93,86.72,85.81,86.7,1661306,DHR,86.137245
1038,2017-04-18,86.39,86.64,86.19,86.54,1875724,DHR,87.11647
1039,2017-04-19,86.88,86.99,86.135,86.44,2583421,DHR,86.90205
1040,2017-04-20,85.5,85.7668,82.85,82.89,8816984,DHR,86.779755
1041,2017-04-21,82.89,83.15,81.575,81.7,7637358,DHR,83.06085
1042,2017-04-24,82.65,83.2,82.12,82.46,5328644,DHR,81.92088
1043,2017-04-25,82.8,83.54,82.65,83.3,6760446,DHR,82.8058
1044,2017-04-26,83.66,84.0,82.82,82.98,4874439,DHR,83.658775
1045,2017-04-27,83.17,83.3,82.78,82.91,2769594,DHR,83.23802
1046,2017-04-28,82.92,83.495,82.87,83.33,4264409,DHR,83.12994
1047,2017-05-01,83.57,83.9,83.12,83.13,4232737,DHR,83.59435
1048,2017-05-02,83.4,83.68,82.94,83.0,3742083,DHR,83.40403
1049,2017-05-03,83.03,83.25,82.44,82.81,2217979,DHR,83.275246
1050,2017-05-04,82.78,84.14,82.78,84.08,2997440,DHR,83.09451
1051,2017-05-05,84.38,84.39,83.71,83.86,1632307,DHR,84.429306
1052,2017-05-08,83.89,83.9,83.39,83.39,3284716,DHR,84.178635
1053,2017-05-09,83.29,83.62,83.02,83.17,2448674,DHR,83.65878
1054,2017-05-10,83.1,83.46,82.78,83.21,1748962,DHR,83.45241
1055,2017-05-11,83.01,83.21,82.47,82.78,1974731,DHR,83.516655
1056,2017-05-12,82.62,83.09,82.56,82.84,2134388,DHR,83.06704
1057,2017-05-15,83.03,83.56,82.93,83.28,2755073,DHR,83.122536
1058,2017-05-16,83.23,83.5,82.49,83.01,2005457,DHR,83.58084
1059,2017-05-17,82.5,82.665,81.85,81.9,2156221,DHR,83.282936
1060,2017-05-18,81.75,82.24,81.36,81.78,2689438,DHR,82.117805
1061,2017-05-19,82.04,82.58,81.71,82.14,3108303,DHR,82.014915
1062,2017-05-22,82.14,83.1,82.05,82.91,3444839,DHR,82.41852
1063,2017-05-23,83.3,84.7,83.17,83.95,2838911,DHR,83.2068
1064,2017-05-24,84.4,84.4,83.81,83.96,2209885,DHR,84.25822
1065,2017-05-25,83.95,84.62,83.66,84.51,1955294,DHR,84.233055
1066,2017-05-26,84.31,84.52,84.045,84.4,1084109,DHR,84.80147
1067,2017-05-30,84.19,84.95,83.91,84.81,2426407,DHR,84.702225
1068,2017-05-31,85.0,85.48,84.91,84.94,3838948,DHR,85.14299
1069,2017-06-01,85.27,86.48,85.02,86.1,3334098,DHR,85.28259
1070,2017-06-02,86.12,87.0,86.08,86.84,2480187,DHR,86.49209
1071,2017-06-05,86.8,86.88,86.51,86.53,1670996,DHR,87.231
1072,2017-06-06,86.27,86.39,85.7,85.73,2571475,DHR,86.853485
1073,2017-06-07,85.31,85.86,85.31,85.43,2687713,DHR,86.02427
1074,2017-06-08,85.31,85.5,84.201,84.56,2574256,DHR,85.76538
1075,2017-06-09,84.73,84.86,84.03,84.49,2527353,DHR,84.87903
1076,2017-06-12,84.56,84.925,83.82,84.07,2959143,DHR,84.82113
1077,2017-06-13,84.17,84.45,83.98,84.17,3252649,DHR,84.37834
1078,2017-06-14,84.36,84.77,84.12,84.46,2332861,DHR,84.47145
1079,2017-06-15,84.09,84.39,83.65,84.38,2484244,DHR,84.76746
1080,2017-06-16,84.61,85.02,84.255,84.48,4916863,DHR,84.66721
1081,2017-06-19,84.8,85.55,84.53,85.27,2321434,DHR,84.769775
1082,2017-06-20,85.29,86.12,85.14,85.68,2976426,DHR,85.608955
1083,2017-06-21,85.92,86.615,85.7,86.48,3242019,DHR,86.02556
1084,2017-06-22,86.43,86.74,85.94,85.96,2609394,DHR,86.84763
1085,2017-06-23,85.97,86.0197,85.07,85.66,4874774,DHR,86.27804
1086,2017-06-26,85.7,85.935,85.435,85.47,1782231,DHR,85.98498
1087,2017-06-27,85.33,85.495,84.62,84.62,1656845,DHR,85.82439
1088,2017-06-28,85.04,85.15,84.595,84.72,2313257,DHR,84.9429
1089,2017-06-29,84.7,84.87,83.92,84.03,2404290,DHR,85.0655
1090,2017-06-30,84.28,84.68,84.08,84.39,2758857,DHR,84.34036
1091,2017-07-03,84.78,85.0,84.26,84.26,1051920,DHR,84.712944
1092,2017-07-05,84.23,84.37,83.87,84.09,2561602,DHR,84.56938
1093,2017-07-06,83.7,83.72,82.68,82.93,2875305,DHR,84.375946
1094,2017-07-07,83.2,83.25,82.94,83.07,2877291,DHR,83.16919
1095,2017-07-10,83.11,83.24,82.49,82.56,2974573,DHR,83.34478
1096,2017-07-11,82.65,83.36,82.405,83.1,2592979,DHR,82.83909
1097,2017-07-12,83.67,83.87,83.26,83.49,2914062,DHR,83.39364
1098,2017-07-13,83.26,84.53,83.16,84.26,4126026,DHR,83.7942
1099,2017-07-14,84.32,85.29,83.91,85.0,3060275,DHR,84.57272
1100,2017-07-17,85.14,85.95,84.92,85.47,3511104,DHR,85.327194
1101,2017-07-18,85.36,85.64,84.93,85.48,2862519,DHR,85.7997
1102,2017-07-19,85.52,85.89,85.29,85.79,2905318,DHR,85.80342
