,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,109.07,109.85,109.0,109.49,6369737,DIS,109.353
1009,2017-02-10,109.35,109.8,108.5814,109.26,7671800,DIS,109.90871
1010,2017-02-13,108.95,109.9,108.9,109.65,5654040,DIS,109.58332
1011,2017-02-14,109.8,110.33,109.53,110.33,4768695,DIS,110.01814
1012,2017-02-15,109.91,110.68,109.801,110.18,7087135,DIS,110.711655
1013,2017-02-16,110.34,110.87,110.09,110.71,7179625,DIS,110.44548
1014,2017-02-17,110.24,110.5,109.52,110.06,6349161,DIS,111.03817
1015,2017-02-21,109.94,110.21,109.8,110.01,5432730,DIS,110.25306
1016,2017-02-22,109.69,110.28,109.53,110.12,5478398,DIS,110.28486
1017,2017-02-23,110.3,110.49,109.59,109.73,5470661,DIS,110.43416
1018,2017-02-24,109.62,110.32,109.1,110.32,4786814,DIS,110.00141
1019,2017-02-27,109.93,110.47,109.83,110.23,3547735,DIS,110.70704
1020,2017-02-28,110.0,110.4,109.83,110.09,4766038,DIS,110.53617
1021,2017-03-01,110.66,111.8,110.66,111.04,7418101,DIS,110.38228
1022,2017-03-02,111.0,111.205,110.45,110.59,4715626,DIS,111.452644
1023,2017-03-03,110.34,111.5,110.04,111.24,5843886,DIS,110.83036
1024,2017-03-06,110.772,110.98,110.09,110.67,4983166,DIS,111.60002
1025,2017-03-07,110.7,110.93,110.16,110.86,5114421,DIS,110.88693
1026,2017-03-08,110.87,111.32,110.655,110.84,4929881,DIS,111.174774
1027,2017-03-09,110.9,111.32,110.69,111.03,4005660,DIS,111.14214
1028,2017-03-10,111.4,111.5,110.69,110.92,4027448,DIS,111.36333
1029,2017-03-13,110.92,111.68,110.82,111.52,5213562,DIS,111.21831
1030,2017-03-14,111.73,112.89,111.72,112.31,7273535,DIS,111.900154
1031,2017-03-15,112.43,112.45,111.15,111.87,5319516,DIS,112.70128
1032,2017-03-16,112.18,112.32,111.4,111.71,4409419,DIS,112.0936
1033,2017-03-17,111.87,112.09,111.175,111.76,9061194,DIS,111.967964
1034,2017-03-20,112.07,113.16,112.05,112.71,8156325,DIS,112.060555
1035,2017-03-21,112.97,113.1,111.54,111.75,7109766,DIS,113.1333
1036,2017-03-22,111.85,112.18,111.35,112.08,5044710,DIS,111.93506
1037,2017-03-23,111.71,112.98,111.66,112.24,8307922,DIS,112.42988
1038,2017-03-24,112.4,112.58,111.68,112.14,4707297,DIS,112.57801
1039,2017-03-27,111.81,112.55,111.45,112.38,4469820,DIS,112.45048
1040,2017-03-28,112.6,113.24,112.02,113.05,6280929,DIS,112.731285
1041,2017-03-29,112.66,112.94,112.31,112.53,3781206,DIS,113.449234
1042,2017-03-30,112.53,113.295,112.2768,113.18,4192753,DIS,112.77021
1043,2017-03-31,113.0,113.71,112.95,113.39,4617427,DIS,113.5669
1044,2017-04-03,113.18,113.65,112.43,113.2,4643439,DIS,113.7173
1045,2017-04-04,113.15,113.55,112.83,113.04,3386142,DIS,113.47664
1046,2017-04-05,113.58,113.84,112.79,113.0,4795081,DIS,113.328064
1047,2017-04-06,112.85,113.4201,112.39,113.05,4744006,DIS,113.3186
1048,2017-04-07,112.82,113.28,112.53,112.58,4300468,DIS,113.39272
1049,2017-04-10,112.8,112.89,112.04,112.43,4053564,DIS,112.86591
1050,2017-04-11,113.68,113.83,112.5901,113.07,5230837,DIS,112.76783
1051,2017-04-12,113.03,113.276,112.76,113.04,4086275,DIS,113.512054
1052,2017-04-13,113.04,114.2501,112.99,113.2,6530791,DIS,113.38564
1053,2017-04-17,113.33,113.94,113.22,113.78,5120176,DIS,113.55619
1054,2017-04-18,113.48,114.75,113.0,114.19,6191132,DIS,114.17687
1055,2017-04-19,114.56,115.0,113.54,113.73,5303424,DIS,114.54971
1056,2017-04-20,114.17,115.05,113.87,114.79,5279267,DIS,113.96849
1057,2017-04-21,114.38,115.12,114.27,114.44,6654516,DIS,115.23174
1058,2017-04-24,115.26,115.38,113.66,113.7,7294620,DIS,114.688934
1059,2017-04-25,113.73,115.52,113.68,115.18,6918330,DIS,113.91665
1060,2017-04-26,115.4,115.96,114.86,115.58,4809837,DIS,115.70711
1061,2017-04-27,115.8,116.1,115.39,115.84,3910767,DIS,115.94535
1062,2017-04-28,115.87,115.9,115.24,115.6,3987631,DIS,116.171265
1063,2017-05-01,115.59,115.61,114.72,114.73,4963309,DIS,115.854385
