,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,831.73,831.98,826.5,830.06,1194238,GOOGL,837.3878
1009,2017-02-10,832.95,837.15,830.51,834.85,1415128,GOOGL,837.2773
1010,2017-02-13,837.7,841.735,836.246,838.96,1295708,GOOGL,842.491
1011,2017-02-14,839.77,842.0,835.83,840.03,1363345,GOOGL,846.2575
1012,2017-02-15,838.81,841.7725,836.22,837.32,1357185,GOOGL,846.75244
1013,2017-02-16,838.5,842.69,837.26,842.17,1005084,GOOGL,843.63934
1014,2017-02-17,841.31,846.94,839.78,846.55,1461210,GOOGL,849.5799
1015,2017-02-21,847.99,852.2,846.55,849.27,1261062,GOOGL,853.7667
1016,2017-02-22,848.0,853.79,846.7101,851.36,1224889,GOOGL,856.08966
1017,2017-02-23,851.08,852.62,842.5,851.0,1386681,GOOGL,858.0126
1018,2017-02-24,847.65,848.36,842.9601,847.81,1346189,GOOGL,857.3894
1019,2017-02-27,844.95,850.67,843.01,849.67,1010333,GOOGL,854.0963
1020,2017-02-28,847.35,848.83,841.4422,844.93,1383119,GOOGL,856.9041
1021,2017-03-01,851.38,858.0,849.02,856.75,1818671,GOOGL,851.53485
1022,2017-03-02,856.31,856.49,848.72,849.85,1250938,GOOGL,865.52985
1023,2017-03-03,848.94,850.82,844.705,849.08,1006612,GOOGL,855.9342
1024,2017-03-06,846.86,848.94,841.17,847.27,1047872,GOOGL,856.2304
1025,2017-03-07,847.26,853.33,845.52,851.15,1038696,GOOGL,854.517
1026,2017-03-08,853.12,856.93,851.25,853.64,1029834,GOOGL,859.2116
1027,2017-03-09,853.69,860.71,852.67,857.84,1347697,GOOGL,861.3333
1028,2017-03-10,862.7,864.229,857.61,861.405,1336585,GOOGL,865.5129
1029,2017-03-13,860.83,867.13,860.82,864.58,1166605,GOOGL,868.7182
1030,2017-03-14,863.75,867.58,860.13,865.91,1061692,GOOGL,871.62866
1031,2017-03-15,867.94,869.88,861.295,868.39,1332885,GOOGL,872.61145
1032,2017-03-16,870.53,872.71,867.52,870.0,1104452,GOOGL,875.25024
