,date,open,high,low,close,volume,Name,Predictions
780,2017-05-02,909.62,920.77,909.4526,916.44,1587219,GOOG,908.9804
781,2017-05-03,914.86,928.1,912.5426,927.04,1499532,GOOG,911.9783
782,2017-05-04,926.07,935.93,924.59,931.66,1422144,GOOG,923.49066
783,2017-05-05,933.54,934.9,925.2,927.13,1911275,GOOG,926.7238
784,2017-05-08,926.12,936.925,925.26,934.3,1329825,GOOG,920.62897
785,2017-05-09,936.95,937.5,929.53,932.17,1581809,GOOG,930.5717
786,2017-05-10,931.98,932.0,925.16,928.78,1173925,GOOG,926.74915
787,2017-05-11,925.32,932.53,923.0301,930.6,835386,GOOG,923.72473
788,2017-05-12,931.53,933.44,927.85,932.22,1050601,GOOG,927.0019
789,2017-05-15,932.95,938.25,929.34,937.08,1108496,GOOG,928.82007
790,2017-05-16,940.0,943.11,937.58,943.0,969479,GOOG,934.4335
791,2017-05-17,935.67,939.3325,918.14,919.62,2362072,GOOG,940.3644
792,2017-05-18,921.0,933.17,918.75,930.24,1596897,GOOG,911.33057
793,2017-05-19,931.47,937.755,931.0,934.01,1393024,GOOG,929.6275
794,2017-05-22,935.0,941.8828,935.0,941.86,1120385,GOOG,931.65125
795,2017-05-23,947.92,951.4666,942.575,948.82,1270817,GOOG,940.31726
796,2017-05-24,952.98,955.09,949.5,954.96,1034199,GOOG,946.4413
797,2017-05-25,957.33,972.629,955.47,969.54,1660474,GOOG,951.87085
798,2017-05-26,969.7,974.98,965.03,971.47,1252010,GOOG,967.52124
799,2017-05-30,970.31,976.2,969.49,975.88,1466654,GOOG,965.9904
800,2017-05-31,975.02,979.27,960.18,964.86,2448067,GOOG,970.79333
801,2017-06-01,968.95,971.5,960.01,966.95,1410458,GOOG,956.57416
802,2017-06-02,969.46,975.88,966.0,975.6,1750955,GOOG,962.2113
803,2017-06-05,976.55,986.91,975.1,983.68,1252106,GOOG,972.2029
804,2017-06-06,983.16,988.25,975.14,976.57,1814624,GOOG,979.92737
805,2017-06-07,979.65,984.15,975.77,981.08,1453874,GOOG,969.457
806,2017-06-08,982.35,984.57,977.2,983.41,1481916,GOOG,976.77814
807,2017-06-09,984.5,984.5,935.63,949.83,3309389,GOOG,978.3922
808,2017-06-12,939.56,949.355,915.2328,942.9,3763529,GOOG,938.1946
809,2017-06-13,951.91,959.98,944.09,953.4,2013337,GOOG,938.74506
810,2017-06-14,959.92,961.15,942.25,950.76,1489715,GOOG,953.14606
811,2017-06-15,933.97,943.339,924.44,942.31,2133050,GOOG,947.78424
812,2017-06-16,940.0,942.04,931.595,939.78,3094711,GOOG,938.35925
813,2017-06-19,949.96,959.99,949.05,957.37,1533336,GOOG,937.1552
814,2017-06-20,957.52,961.62,950.01,950.63,1125990,GOOG,958.529
