,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,137.78,139.15,137.41,138.71,2931873,HD,141.45656
1009,2017-02-10,138.6,140.57,138.245,139.85,3296963,HD,142.13107
1010,2017-02-13,140.48,140.65,139.05,139.87,2753068,HD,143.31786
1011,2017-02-14,139.95,141.365,139.34,141.36,4775802,HD,143.1597
1012,2017-02-15,141.27,142.66,140.95,142.19,4343541,HD,144.94087
1013,2017-02-16,142.39,142.985,140.9,141.54,4295811,HD,145.55373
1014,2017-02-17,141.36,143.12,141.0,143.0,5108352,HD,144.78815
1015,2017-02-21,145.6,145.65,143.25,145.02,9275897,HD,146.67087
1016,2017-02-22,145.05,145.47,143.97,145.25,5037762,HD,148.57666
1017,2017-02-23,146.11,146.33,144.51,144.71,4184046,HD,148.51503
1018,2017-02-24,144.65,146.0799,144.65,145.95,3516923,HD,148.05212
1019,2017-02-27,145.87,146.01,144.8,145.3,4388414,HD,149.63438
1020,2017-02-28,144.98,145.63,144.465,144.91,4211949,HD,148.5946
1021,2017-03-01,146.72,147.6999,145.891,146.68,6213540,HD,148.45372
1022,2017-03-02,147.08,148.23,146.3886,147.95,4053412,HD,150.50394
1023,2017-03-03,148.12,148.26,146.82,147.81,3413398,HD,151.4996
1024,2017-03-06,147.13,147.51,146.58,147.13,3998026,HD,151.20454
1025,2017-03-07,146.33,146.95,145.83,146.02,3996289,HD,150.60025
1026,2017-03-08,146.22,147.12,145.92,146.92,3614479,HD,149.53046
1027,2017-03-09,147.08,147.16,146.53,146.62,3594694,HD,150.78691
1028,2017-03-10,147.24,147.46,146.45,146.85,3123243,HD,150.13812
1029,2017-03-13,147.33,147.67,146.5,147.43,2933276,HD,150.56157
1030,2017-03-14,147.27,147.59,146.46,147.16,3272706,HD,151.1283
1031,2017-03-15,147.35,148.38,146.76,147.95,3670513,HD,150.71138
1032,2017-03-16,148.4,149.19,148.01,148.73,3544464,HD,151.72874
1033,2017-03-17,149.4,149.99,148.13,149.6,9001961,HD,152.39578
1034,2017-03-20,149.38,149.59,147.7,147.8,5906058,HD,153.27054
1035,2017-03-21,148.33,148.7,146.26,146.61,4530019,HD,151.09064
1036,2017-03-22,146.73,147.93,146.06,147.36,3169038,HD,150.29092
1037,2017-03-23,147.28,148.41,147.03,147.99,3219352,HD,151.28078
1038,2017-03-24,147.85,150.15,147.01,147.71,4735361,HD,151.71239
1039,2017-03-27,147.07,147.68,146.26,146.87,2943006,HD,151.29852
1040,2017-03-28,147.29,147.35,145.94,147.2,4635629,HD,150.46445
1041,2017-03-29,146.37,147.42,145.96,147.04,3729973,HD,151.023
1042,2017-03-30,146.72,147.38,146.43,146.95,2450781,HD,150.68663
1043,2017-03-31,146.87,147.18,146.65,146.83,3248666,HD,150.65407
1044,2017-04-03,146.94,147.2005,146.09,146.62,3775283,HD,150.51627
1045,2017-04-04,146.5,146.9,146.05,146.34,3124200,HD,150.29912
1046,2017-04-05,146.63,148.44,146.58,146.64,3390363,HD,150.0189
1047,2017-04-06,147.04,147.96,147.0,147.24,2699679,HD,150.40378
1048,2017-04-07,147.1,147.8,146.9,147.13,2869120,HD,150.97789
1049,2017-04-10,146.96,148.995,146.75,148.21,5044458,HD,150.72777
1050,2017-04-11,147.91,148.65,147.1,148.2,2844794,HD,152.02776
1051,2017-04-12,147.42,147.57,146.367,146.54,4445599,HD,151.73732
1052,2017-04-13,146.42,147.01,145.87,145.91,2346886,HD,149.96994
1053,2017-04-17,145.9,147.31,145.76,147.31,3467650,HD,149.6694
1054,2017-04-18,147.06,148.18,146.77,147.76,2969413,HD,151.26567
1055,2017-04-19,147.93,148.4,147.02,147.22,3460975,HD,151.37314
1056,2017-04-20,147.66,149.05,147.44,148.72,3700495,HD,150.76775
1057,2017-04-21,148.49,150.146,148.4,150.0,5019927,HD,152.63237
1058,2017-04-24,151.08,152.0601,150.85,151.89,5077174,HD,153.66632
1059,2017-04-25,152.79,154.65,152.79,153.03,5496453,HD,155.6364
1060,2017-04-26,153.11,154.8076,152.4,154.22,5120177,HD,156.56815
1061,2017-04-27,154.69,156.27,153.89,156.12,5881432,HD,157.82727
1062,2017-04-28,156.01,156.25,154.102,156.1,4983041,HD,159.81096
1063,2017-05-01,156.22,156.27,154.21,154.21,3152949,HD,159.43674
1064,2017-05-02,154.49,155.16,153.76,154.95,3295105,HD,157.51634
1065,2017-05-03,155.16,155.39,154.59,155.0,2445489,HD,158.89807
1066,2017-05-04,155.46,155.64,154.26,154.86,3793067,HD,158.6164
1067,2017-05-05,155.34,155.75,154.09,155.73,2500636,HD,158.55069
1068,2017-05-08,155.85,157.16,155.49,156.89,3184576,HD,159.58694
1069,2017-05-09,157.04,157.74,156.29,157.68,3004377,HD,160.6806
1070,2017-05-10,157.52,158.15,157.3,158.13,2617601,HD,161.36751
1071,2017-05-11,157.35,157.7,155.33,156.2,3929068,HD,161.7906
1072,2017-05-12,156.39,157.2,155.75,156.92,2926365,HD,159.56116
1073,2017-05-15,157.28,157.84,156.66,157.33,6068872,HD,160.98083
1074,2017-05-16,160.11,160.86,158.05,158.26,10120878,HD,161.0772
1075,2017-05-17,157.08,157.3,155.89,156.09,5936974,HD,162.12523
1076,2017-05-18,155.48,156.665,155.24,155.7,4858557,HD,159.4218
1077,2017-05-19,156.04,156.74,155.32,156.3,4781806,HD,159.67819
1078,2017-05-22,156.49,157.0,155.8,155.96,3802060,HD,160.2556
1079,2017-05-23,155.91,156.43,154.68,154.83,4640854,HD,159.68512
1080,2017-05-24,154.7,155.43,153.29,155.0,4593198,HD,158.5335
1081,2017-05-25,156.2,156.69,155.35,156.46,3110806,HD,158.99043
1082,2017-05-26,156.1,156.42,154.64,154.9,4284660,HD,160.49835
1083,2017-05-30,154.0,154.56,153.52,153.88,3504291,HD,158.33446
1084,2017-05-31,154.36,154.38,153.28,153.51,7158383,HD,157.72621
1085,2017-06-01,153.52,155.16,152.74,155.15,3385133,HD,157.41217
1086,2017-06-02,154.79,155.86,154.42,155.35,3485582,HD,159.29214
1087,2017-06-05,155.53,155.62,154.23,154.79,2651789,HD,159.02615
1088,2017-06-06,154.44,154.66,153.65,154.2,3260265,HD,158.48213
1089,2017-06-07,154.69,155.3,154.35,154.96,3158964,HD,157.96317
1090,2017-06-08,155.16,155.2335,153.3801,153.5,4041556,HD,158.94073
1091,2017-06-09,154.0,154.0,152.78,152.96,4705349,HD,157.01617
1092,2017-06-12,152.8,153.3,151.73,152.18,4473919,HD,156.86353
1093,2017-06-13,152.31,154.04,152.06,153.99,3753767,HD,155.96262
1094,2017-06-14,154.5,157.28,153.96,156.76,5999411,HD,158.18283
1095,2017-06-15,156.13,157.27,154.92,156.77,3972260,HD,160.76419
1096,2017-06-16,156.25,156.69,155.41,156.64,9105408,HD,160.19652
1097,2017-06-19,156.91,159.03,156.39,158.81,5196140,HD,160.3065
1098,2017-06-20,158.73,159.2242,157.6,157.67,4201226,HD,162.82559
1099,2017-06-21,157.91,158.53,156.43,156.59,4071298,HD,160.94794
1100,2017-06-22,156.44,157.07,155.47,155.48,3347363,HD,160.26877
1101,2017-06-23,155.16,155.23,150.91,151.31,11422231,HD,159.18762
1102,2017-06-26,151.67,151.97,151.13,151.42,4128535,HD,154.66345
1103,2017-06-27,151.06,153.25,150.75,152.24,4567125,HD,155.79434
1104,2017-06-28,152.75,153.45,152.36,153.23,5087003,HD,156.28345
1105,2017-06-29,152.77,153.0,151.52,152.16,2855395,HD,157.19797
1106,2017-06-30,152.51,154.0,152.27,153.4,3640851,HD,155.74475
1107,2017-07-03,154.39,154.79,153.71,154.01,1658535,HD,157.51404
1108,2017-07-05,154.01,154.295,151.46,152.69,4432537,HD,157.7627
1109,2017-07-06,151.77,152.48,151.22,152.05,3408538,HD,156.22264
1110,2017-07-07,152.04,152.87,151.9,152.23,3775383,HD,155.88518
1111,2017-07-10,152.22,152.26,151.0,151.18,5081101,HD,156.13176
1112,2017-07-11,151.45,151.81,150.5,150.6,5642013,HD,154.83244
1113,2017-07-12,151.46,153.14,151.09,152.59,4275878,HD,154.45117
1114,2017-07-13,152.82,154.13,152.6,153.29,3287961,HD,156.74896
1115,2017-07-14,153.22,153.67,151.82,152.88,3588437,HD,156.96216
1116,2017-07-17,152.9,154.5,152.72,153.89,4166618,HD,156.4912
1117,2017-07-18,153.75,153.86,151.98,152.17,3783567,HD,157.80067
1118,2017-07-19,152.55,154.0,152.55,153.3,2808385,HD,155.54915
1119,2017-07-20,152.56,152.57,145.61,147.03,18264081,HD,157.3987
1120,2017-07-21,147.03,147.46,146.13,146.65,9120167,HD,149.81108
1121,2017-07-24,146.61,146.69,144.25,144.58,7295913,HD,151.11064
1122,2017-07-25,145.74,147.4,145.28,146.97,5002381,HD,148.24625
1123,2017-07-26,146.86,147.245,145.96,146.69,2835975,HD,151.43643
1124,2017-07-27,146.18,147.86,145.89,147.73,5399029,HD,150.25739
1125,2017-07-28,147.9,148.27,147.32,148.08,3421081,HD,151.6959
1126,2017-07-31,148.0,149.98,147.54,149.6,5253318,HD,151.75682
1127,2017-08-01,149.94,150.86,149.92,150.5,3753303,HD,153.48648
1128,2017-08-02,149.94,150.86,149.92,150.5,3754192,HD,154.1401
1129,2017-08-03,150.7,152.03,150.5,150.79,5146565,HD,154.0574
1130,2017-08-04,151.01,152.75,150.8,152.75,3258581,HD,154.47252
1131,2017-08-07,152.83,154.47,152.47,153.35,3833620,HD,156.63933
1132,2017-08-08,153.32,154.2,153.08,153.35,3218945,HD,156.85791
1133,2017-08-09,153.35,155.57,153.32,155.26,3844857,HD,156.90411
1134,2017-08-10,155.19,155.98,153.88,153.88,4433653,HD,159.14775
1135,2017-08-11,154.11,155.72,153.98,154.88,3650541,HD,157.10307
1136,2017-08-14,156.04,156.05,153.56,154.26,6662484,HD,158.8247
1137,2017-08-15,154.275,154.8,148.26,150.17,13528650,HD,157.73145
1138,2017-08-16,151.45,152.95,151.16,152.25,6043875,HD,153.38457
1139,2017-08-17,151.81,152.15,149.61,149.67,4460870,HD,156.76505
1140,2017-08-18,149.61,149.61,146.96,147.49,6989147,HD,152.90836
1141,2017-08-21,147.1,149.88,146.89,149.2,4222473,HD,151.31479
1142,2017-08-22,149.29,150.58,149.29,149.91,3268114,HD,153.52048
1143,2017-08-23,148.58,149.48,147.4271,149.1,5235444,HD,153.68913
1144,2017-08-24,149.73,150.6,147.98,148.25,3736039,HD,152.72017
1145,2017-08-25,148.51,150.53,148.4,149.65,3047971,HD,151.99126
1146,2017-08-28,151.94,152.39,150.43,151.39,6845407,HD,153.7126
1147,2017-08-29,150.07,150.9,149.03,149.84,5368723,HD,155.24648
1148,2017-08-30,150.0,150.25,149.28,150.0,3640966,HD,153.16104
1149,2017-08-31,150.61,150.925,149.85,149.87,6083340,HD,153.88983
1150,2017-09-01,150.26,150.94,149.76,150.78,3383036,HD,153.5566
1151,2017-09-05,151.71,153.92,151.7,152.93,7512387,HD,154.65598
1152,2017-09-06,154.86,157.03,154.145,156.56,8126012,HD,156.84113
1153,2017-09-07,158.17,159.28,156.79,157.93,8273080,HD,160.49911
1154,2017-09-08,159.09,160.69,157.52,159.66,10088630,HD,161.30199
1155,2017-09-11,158.42,158.74,156.22,158.37,8847928,HD,163.27684
1156,2017-09-12,159.06,160.93,158.71,159.91,5794570,HD,161.49646
1157,2017-09-13,160.39,161.38,159.55,160.02,4713676,HD,163.84473
1158,2017-09-14,160.35,160.85,159.33,159.38,5290796,HD,163.45482
1159,2017-09-15,159.98,159.99,158.29,158.4,9124244,HD,162.91116
