,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,124.47,125.0,124.36,124.48,2493605,MCD,124.61303
1009,2017-02-10,124.68,126.1124,124.5201,125.82,3681436,MCD,124.37312
1010,2017-02-13,126.02,126.68,125.49,125.54,2993779,MCD,125.95985
1011,2017-02-14,125.5,126.07,125.27,125.81,2663089,MCD,125.33819
1012,2017-02-15,125.66,126.79,125.45,126.48,2974932,MCD,125.73175
1013,2017-02-16,126.75,127.82,126.31,126.7,3006011,MCD,126.44251
1014,2017-02-17,126.78,127.875,126.68,127.8,3677392,MCD,126.54889
1015,2017-02-21,127.16,128.32,127.16,128.04,4495173,MCD,127.78813
1016,2017-02-22,127.52,128.11,126.4,127.85,3670720,MCD,127.80958
1017,2017-02-23,127.93,128.9,127.44,128.27,3177951,MCD,127.53979
1018,2017-02-24,128.36,128.74,127.75,128.65,3537175,MCD,128.07552
1019,2017-02-27,127.68,127.75,126.78,126.99,5184016,MCD,128.41772
1020,2017-02-28,127.08,127.93,126.58,127.65,4619284,MCD,126.39851
1021,2017-03-01,128.02,130.0,127.62,129.05,5471550,MCD,127.57943
1022,2017-03-02,129.05,129.81,128.15,128.23,6738068,MCD,129.05576
1023,2017-03-03,128.19,128.66,127.44,127.9,4071613,MCD,127.77945
1024,2017-03-06,127.9,128.34,127.4,128.03,3271529,MCD,127.62018
1025,2017-03-07,128.06,128.31,127.34,128.07,3332350,MCD,127.8421
1026,2017-03-08,128.07,128.36,127.47,128.09,3571805,MCD,127.85968
1027,2017-03-09,127.95,128.72,127.69,128.14,3266027,MCD,127.883514
1028,2017-03-10,128.56,128.59,127.72,127.98,3178943,MCD,127.9434
1029,2017-03-13,128.01,128.273,127.35,127.61,3130804,MCD,127.74787
1030,2017-03-14,127.65,128.23,127.5001,127.8,2492670,MCD,127.357315
1031,2017-03-15,128.21,128.3,127.47,127.88,3529288,MCD,127.66817
1032,2017-03-16,128.3,128.9,127.93,127.98,3945669,MCD,127.71491
1033,2017-03-17,128.57,129.9815,128.42,128.64,12532692,MCD,127.818275
1034,2017-03-20,128.99,129.4799,128.47,128.78,3415501,MCD,128.56812
1035,2017-03-21,129.22,129.75,128.18,128.52,4062394,MCD,128.56987
1036,2017-03-22,128.58,129.15,128.41,129.1,3174246,MCD,128.23253
1037,2017-03-23,129.14,129.59,128.81,129.0,2774527,MCD,128.97054
1038,2017-03-24,129.38,129.68,129.16,129.34,3568234,MCD,128.7009
1039,2017-03-27,129.08,129.82,129.02,129.49,2540421,MCD,129.13
1040,2017-03-28,129.46,129.77,128.94,129.45,3487426,MCD,129.21794
1041,2017-03-29,129.0,129.67,128.63,128.84,3197762,MCD,129.13626
1042,2017-03-30,128.75,129.53,128.6,129.32,2018028,MCD,128.43065
1043,2017-03-31,129.39,130.19,129.3,129.61,3041677,MCD,129.14763
1044,2017-04-03,129.5,129.71,128.86,129.61,3287117,MCD,129.36774
1045,2017-04-04,129.14,129.53,128.65,129.29,3413965,MCD,129.3082
1046,2017-04-05,129.89,131.58,129.65,130.41,4052194,MCD,128.9378
1047,2017-04-06,130.31,130.66,129.96,130.15,3857127,MCD,130.33948
1048,2017-04-07,130.02,130.4,129.62,129.96,2176598,MCD,129.74501
1049,2017-04-10,129.95,130.65,129.52,129.98,2709287,MCD,129.60068
1050,2017-04-11,130.62,131.24,129.8,131.2,3677631,MCD,129.66484
1051,2017-04-12,131.31,131.56,130.87,131.26,3195534,MCD,131.10123
1052,2017-04-13,131.0,131.14,130.57,130.76,2429242,MCD,130.86
1053,2017-04-17,131.25,131.87,130.91,131.35,3236373,MCD,130.26521
1054,2017-04-18,132.01,132.8,131.8,132.3,3617373,MCD,131.08969
1055,2017-04-19,132.64,133.0,132.34,132.64,3132760,MCD,132.05815
1056,2017-04-20,132.65,133.44,132.64,133.27,2697250,MCD,132.22105
1057,2017-04-21,133.55,133.88,133.15,133.41,3466098,MCD,132.89328
1058,2017-04-24,134.24,134.76,133.26,134.23,5040990,MCD,132.88622
1059,2017-04-25,138.14,141.99,137.1836,141.7,10893766,MCD,133.83504
1060,2017-04-26,141.7,142.0,140.34,140.84,7132234,MCD,142.75989
1061,2017-04-27,141.88,142.79,140.85,140.87,5183662,MCD,139.41695
1062,2017-04-28,140.39,140.76,139.78,139.93,4779887,MCD,139.81413
1063,2017-05-01,139.86,141.45,139.84,141.15,3747202,MCD,138.56929
1064,2017-05-02,140.98,141.81,140.72,141.23,3774136,MCD,140.35217
1065,2017-05-03,142.2,142.7,141.4,142.62,4278614,MCD,140.05908
