,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,32.26,32.54,32.23,32.38,23816348,PFE,32.316082
1009,2017-02-10,32.41,32.45,32.23,32.35,21907167,PFE,32.548943
1010,2017-02-13,32.44,32.69,32.44,32.61,20620122,PFE,32.500694
1011,2017-02-14,32.53,32.77,32.35,32.75,22965351,PFE,32.77309
1012,2017-02-15,32.78,33.58,32.685,33.51,45574488,PFE,32.889507
1013,2017-02-16,33.45,33.885,33.22,33.62,38332300,PFE,33.668274
1014,2017-02-17,33.59,33.89,33.53,33.62,34992707,PFE,33.68957
1015,2017-02-21,33.571,33.8,33.48,33.62,24090742,PFE,33.70894
1016,2017-02-22,33.57,33.75,33.25,33.59,27207299,PFE,33.7029
1017,2017-02-23,33.7,34.12,33.58,34.06,30477129,PFE,33.669147
1018,2017-02-24,34.17,34.35,33.99,34.26,24711954,PFE,34.166775
1019,2017-02-27,34.23,34.46,34.16,34.28,21830284,PFE,34.307083
1020,2017-02-28,34.1,34.264,33.91,34.12,27480705,PFE,34.328632
1021,2017-03-01,34.27,34.53,34.05,34.42,32291229,PFE,34.16368
1022,2017-03-02,34.46,34.75,34.42,34.51,25572123,PFE,34.50606
1023,2017-03-03,34.42,34.6464,34.36,34.52,18837249,PFE,34.542156
1024,2017-03-06,34.33,34.47,34.08,34.35,18191883,PFE,34.5627
1025,2017-03-07,33.87,34.2,33.75,33.99,29206226,PFE,34.382996
1026,2017-03-08,33.91,34.1,33.72,33.91,22647434,PFE,34.031853
1027,2017-03-09,33.88,34.14,33.78,34.05,19164707,PFE,33.99214
1028,2017-03-10,34.14,34.32,34.0,34.11,19179038,PFE,34.1356
1029,2017-03-13,34.14,34.15,33.91,34.11,18964029,PFE,34.180477
1030,2017-03-14,34.02,34.33,33.98,34.22,14766085,PFE,34.18287
1031,2017-03-15,34.22,34.7099,34.18,34.63,23035916,PFE,34.30175
1032,2017-03-16,34.57,34.63,34.25,34.43,20698492,PFE,34.7192
1033,2017-03-17,34.46,34.58,34.27,34.32,43392929,PFE,34.44342
1034,2017-03-20,34.4,34.4999,34.32,34.38,17490950,PFE,34.385765
1035,2017-03-21,34.48,34.61,34.18,34.25,31388495,PFE,34.44539
1036,2017-03-22,34.3,34.54,33.99,34.47,26117870,PFE,34.293808
1037,2017-03-23,34.32,34.56,34.23,34.29,20283431,PFE,34.553905
1038,2017-03-24,34.27,34.27,33.94,34.0,27118654,PFE,34.317696
1039,2017-03-27,33.74,34.31,33.74,34.18,17886174,PFE,34.058735
1040,2017-03-28,34.06,34.26,33.97,34.16,18337464,PFE,34.27875
1041,2017-03-29,34.16,34.45,34.11,34.33,17281021,PFE,34.215588
1042,2017-03-30,34.19,34.44,34.15,34.35,14993815,PFE,34.414986
1043,2017-03-31,34.21,34.38,34.16,34.21,18611785,PFE,34.4047
1044,2017-04-03,34.11,34.35,34.1,34.24,18088044,PFE,34.265408
1045,2017-04-04,34.18,34.5,34.05,34.34,19282949,PFE,34.31677
1046,2017-04-05,34.33,34.52,34.15,34.19,19280079,PFE,34.40823
1047,2017-04-06,34.14,34.35,34.06,34.11,16285254,PFE,34.237236
1048,2017-04-07,34.09,34.25,34.04,34.1,13973210,PFE,34.18214
1049,2017-04-10,34.13,34.215,33.97,34.04,15989255,PFE,34.173325
1050,2017-04-11,34.02,34.08,33.74,33.93,19123012,PFE,34.10945
1051,2017-04-12,33.88,33.99,33.71,33.92,24689361,PFE,34.00369
1052,2017-04-13,33.88,34.02,33.82,33.88,12865826,PFE,34.006695
1053,2017-04-17,33.9,34.05,33.82,34.0,15145568,PFE,33.96125
1054,2017-04-18,33.76,33.88,33.66,33.84,21151220,PFE,34.094635
1055,2017-04-19,33.85,33.91,33.55,33.61,23913011,PFE,33.906837
1056,2017-04-20,33.63,33.87,33.48,33.74,18348503,PFE,33.696457
1057,2017-04-21,33.64,33.73,33.47,33.64,24243076,PFE,33.853516
1058,2017-04-24,33.98,34.03,33.65,33.74,21288924,PFE,33.721302
1059,2017-04-25,33.82,33.96,33.71,33.76,18744026,PFE,33.849335
1060,2017-04-26,33.86,34.03,33.85,33.85,19814537,PFE,33.84961
1061,2017-04-27,33.96,34.02,33.77,33.86,14832197,PFE,33.947563
1062,2017-04-28,33.88,33.94,33.75,33.92,15979173,PFE,33.94396
1063,2017-05-01,33.89,33.99,33.7699,33.78,22685809,PFE,34.009327
1064,2017-05-02,33.58,33.72,32.88,33.61,40764439,PFE,33.852226
1065,2017-05-03,33.48,33.59,33.3,33.47,24815663,PFE,33.69671
1066,2017-05-04,33.44,33.59,33.32,33.45,25518430,PFE,33.56533
1067,2017-05-05,33.44,33.48,33.23,33.48,21821633,PFE,33.556847
1068,2017-05-08,33.4,33.62,33.35,33.45,23511940,PFE,33.58734
1069,2017-05-09,33.56,33.59,33.35,33.38,17104601,PFE,33.554333
1070,2017-05-10,33.0,33.12,32.9,33.03,33045403,PFE,33.487934
1071,2017-05-11,32.99,33.14,32.85,33.04,25067891,PFE,33.13389
1072,2017-05-12,32.89,33.07,32.89,33.01,17636786,PFE,33.181118
1073,2017-05-15,32.97,33.18,32.8,33.12,19478614,PFE,33.137207
1074,2017-05-16,32.56,32.8,32.39,32.6,40263569,PFE,33.258587
1075,2017-05-17,32.31,32.57,32.21,32.23,28397788,PFE,32.714443
1076,2017-05-18,32.2,32.42,32.07,32.22,23600353,PFE,32.392147
1077,2017-05-19,32.3,32.46,32.19,32.46,28354336,PFE,32.399593
1078,2017-05-22,32.5,32.5,32.12,32.12,25356699,PFE,32.64222
1079,2017-05-23,32.12,32.28,32.08,32.14,17568656,PFE,32.282864
1080,2017-05-24,32.17,32.275,31.97,32.05,22486949,PFE,32.335564
1081,2017-05-25,32.06,32.2,31.97,32.16,17293352,PFE,32.235035
1082,2017-05-26,32.18,32.29,32.1,32.14,11699041,PFE,32.353767
1083,2017-05-30,32.06,32.31,32.02,32.13,16047050,PFE,32.32263
1084,2017-05-31,32.28,32.79,32.13,32.65,29018501,PFE,32.315346
1085,2017-06-01,32.67,32.85,32.52,32.71,23894513,PFE,32.841824
1086,2017-06-02,32.77,32.88,32.44,32.54,20858188,PFE,32.851967
1087,2017-06-05,32.51,32.58,32.2,32.35,14226613,PFE,32.686092
1088,2017-06-06,32.3,32.365,32.04,32.07,17866356,PFE,32.50312
1089,2017-06-07,32.08,32.16,31.9,32.0,16584142,PFE,32.229385
1090,2017-06-08,32.06,32.1,31.67,31.75,33795781,PFE,32.1772
1091,2017-06-09,31.81,32.8,31.74,32.77,30137170,PFE,31.931246
1092,2017-06-12,32.75,33.12,32.5,32.7,28876207,PFE,32.991615
1093,2017-06-13,32.71,32.78,32.52,32.58,17166939,PFE,32.81981
1094,2017-06-14,32.59,32.76,32.46,32.69,13821775,PFE,32.73692
1095,2017-06-15,32.62,33.03,32.56,32.81,18929889,PFE,32.846497
1096,2017-06-16,32.98,33.13,32.81,32.97,31878571,PFE,32.951622
1097,2017-06-19,32.94,33.25,32.91,33.22,20799046,PFE,33.10559
1098,2017-06-20,33.21,33.75,33.15,33.56,26066194,PFE,33.34836
1099,2017-06-21,33.58,34.095,33.58,33.88,25744254,PFE,33.67602
1100,2017-06-22,33.95,34.48,33.92,34.06,22156066,PFE,33.97439
1101,2017-06-23,34.08,34.22,33.97,34.17,30046310,PFE,34.13129
1102,2017-06-26,34.16,34.21,33.965,34.04,14172264,PFE,34.23281
1103,2017-06-27,34.13,34.13,33.75,33.77,15265637,PFE,34.084682
1104,2017-06-28,33.86,33.99,33.65,33.75,14795086,PFE,33.824753
1105,2017-06-29,33.8,33.87,33.37,33.63,14919173,PFE,33.833714
1106,2017-06-30,33.73,33.795,33.51,33.59,13512482,PFE,33.70097
1107,2017-07-03,33.48,33.97,33.47,33.82,8512300,PFE,33.68142
1108,2017-07-05,33.94,33.95,33.495,33.64,16197580,PFE,33.925648
1109,2017-07-06,33.64,33.67,33.14,33.22,13924394,PFE,33.70766
1110,2017-07-07,33.25,33.36,33.02,33.35,16996728,PFE,33.310204
1111,2017-07-10,33.36,33.53,33.24,33.41,13526294,PFE,33.485836
1112,2017-07-11,33.4,33.47,33.05,33.17,12214478,PFE,33.51696
1113,2017-07-12,33.34,33.53,33.2,33.22,13831109,PFE,33.272514
1114,2017-07-13,33.22,33.34,32.99,33.28,13389024,PFE,33.35457
1115,2017-07-14,33.27,33.55,33.24,33.43,12500755,PFE,33.400745
1116,2017-07-17,33.44,33.47,33.14,33.25,16825293,PFE,33.553333
1117,2017-07-18,33.23,33.39,33.04,33.36,14569448,PFE,33.349773
1118,2017-07-19,33.37,33.69,33.31,33.62,18810217,PFE,33.490402
1119,2017-07-20,33.47,33.7,33.335,33.54,16954528,PFE,33.73678
1120,2017-07-21,33.47,33.58,33.39,33.48,12024404,PFE,33.62519
1121,2017-07-24,33.38,33.445,33.17,33.32,14761837,PFE,33.583458
1122,2017-07-25,33.38,33.48,33.01,33.1,19787519,PFE,33.417366
1123,2017-07-26,33.09,33.1,32.825,32.89,15723616,PFE,33.207245
1124,2017-07-27,32.79,33.0,32.69,33.0,16661472,PFE,33.010796
1125,2017-07-28,33.06,33.17,32.81,33.15,16239229,PFE,33.142212
1126,2017-07-31,33.21,33.39,33.14,33.16,21982573,PFE,33.2817
1127,2017-08-01,33.04,33.3,32.72,33.08,26634264,PFE,33.282543
1128,2017-08-02,32.87,32.92,32.7,32.92,28854037,PFE,33.20417
1129,2017-08-03,32.95,33.81,32.86,33.43,27267488,PFE,33.046665
