,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,88.25,88.78,88.03,88.67,9914070,PG,89.050514
1009,2017-02-10,88.56,88.73,87.965,87.97,11057552,PG,89.40215
1010,2017-02-13,88.04,88.355,87.64,88.31,6905130,PG,88.78334
1011,2017-02-14,88.0,88.22,87.23,87.86,20123406,PG,89.08926
1012,2017-02-15,89.81,91.15,89.81,91.12,25847697,PG,88.68848
1013,2017-02-16,90.92,91.12,90.54,90.79,12408473,PG,91.722946
1014,2017-02-17,90.61,91.36,90.45,91.09,12152428,PG,91.61909
1015,2017-02-21,90.58,91.8,90.58,91.67,9018703,PG,91.919685
1016,2017-02-22,91.45,91.8,91.25,91.44,6749919,PG,92.54802
1017,2017-02-23,91.61,91.8,90.91,91.13,7611638,PG,92.416626
1018,2017-02-24,90.97,91.34,90.67,91.05,6643365,PG,92.142975
1019,2017-02-27,90.53,90.91,90.06,90.89,11840268,PG,92.07503
1020,2017-02-28,90.9,91.79,90.65,91.07,10535619,PG,91.93548
1021,2017-03-01,91.05,91.89,90.71,91.66,8792150,PG,92.09744
1022,2017-03-02,91.4,91.585,90.88,90.91,7031221,PG,92.66334
1023,2017-03-03,90.8,90.82,89.8948,90.5,8341071,PG,92.01461
1024,2017-03-06,89.89,90.51,89.59,90.37,9533795,PG,91.584595
1025,2017-03-07,90.14,90.49,90.06,90.29,5362951,PG,91.44373
1026,2017-03-08,90.02,90.35,89.76,90.14,5513405,PG,91.35067
1027,2017-03-09,90.14,90.49,90.095,90.34,5587379,PG,91.191216
1028,2017-03-10,90.8,91.16,90.65,91.07,6797792,PG,91.35709
1029,2017-03-13,91.06,91.49,90.85,91.31,7397472,PG,92.04288
1030,2017-03-14,91.26,91.59,90.82,91.0,6686388,PG,92.313
1031,2017-03-15,91.0,91.78,90.73,91.4,7855256,PG,92.04808
1032,2017-03-16,91.44,91.7199,91.1,91.44,6601208,PG,92.412415
1033,2017-03-17,91.45,92.0,90.92,91.0,37010081,PG,92.490524
1034,2017-03-20,90.96,91.41,90.94,91.22,7772903,PG,92.088326
