,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,52.91,53.1,52.76,52.88,7615138,QCOM,52.15506
1009,2017-02-10,53.1,54.2825,52.93,54.0,14042202,QCOM,52.090855
1010,2017-02-13,54.58,55.13,54.26,54.93,14516176,QCOM,53.18351
1011,2017-02-14,55.428,55.52,54.82,55.48,13071979,QCOM,54.15922
1012,2017-02-15,55.63,56.5,55.49,56.49,14149193,QCOM,54.7363
1013,2017-02-16,56.58,56.9,56.445,56.88,11622895,QCOM,55.750088
1014,2017-02-17,56.85,56.94,56.05,56.46,12456638,QCOM,56.1276
1015,2017-02-21,56.83,57.19,56.58,56.75,9878152,QCOM,55.65061
1016,2017-02-22,56.78,57.1,56.48,57.1,8711537,QCOM,55.884434
1017,2017-02-23,57.01,57.305,56.77,57.14,10152814,QCOM,56.216427
1018,2017-02-24,57.02,57.23,56.5,57.22,10644787,QCOM,56.256233
1019,2017-02-27,56.56,56.98,56.31,56.73,7127599,QCOM,56.33967
1020,2017-02-28,56.49,56.52,55.89,56.48,10388173,QCOM,55.83701
1021,2017-03-01,56.93,57.08,56.27,57.01,11082396,QCOM,55.57364
1022,2017-03-02,56.95,57.153,56.24,56.37,8451735,QCOM,56.126465
1023,2017-03-03,56.52,56.57,56.0,56.44,6984526,QCOM,55.501076
1024,2017-03-06,56.27,56.56,56.07,56.45,7241631,QCOM,55.579273
1025,2017-03-07,56.6,56.82,56.19,56.73,7131737,QCOM,55.603798
1026,2017-03-08,56.92,58.08,56.8,57.77,13201652,QCOM,55.91085
1027,2017-03-09,57.65,58.1,57.4027,57.97,9875608,QCOM,57.01077
1028,2017-03-10,58.36,58.79,58.3,58.64,9751987,QCOM,57.244457
1029,2017-03-13,59.03,59.04,58.2,58.46,7737879,QCOM,57.940197
1030,2017-03-14,58.375,58.375,57.72,58.22,6276935,QCOM,57.731422
1031,2017-03-15,58.42,58.75,58.18,58.52,9029458,QCOM,57.449963
1032,2017-03-16,58.3,58.73,58.16,58.35,7206192,QCOM,57.731873
1033,2017-03-17,58.57,58.61,57.51,57.55,20057782,QCOM,57.543938
1034,2017-03-20,57.79,58.07,57.59,57.81,7498218,QCOM,56.708797
1035,2017-03-21,57.93,58.1,56.74,56.8,10092647,QCOM,56.970497
1036,2017-03-22,56.73,57.125,56.1,57.04,9129711,QCOM,55.938656
1037,2017-03-23,57.16,57.27,56.59,56.81,7718655,QCOM,56.19159
1038,2017-03-24,57.47,57.47,56.64,56.92,5621440,QCOM,55.98124
1039,2017-03-27,56.72,56.94,56.48,56.66,4726309,QCOM,56.121174
1040,2017-03-28,56.67,57.61,56.67,57.38,5953489,QCOM,55.874336
1041,2017-03-29,57.09,57.37,56.86,57.36,4042648,QCOM,56.628292
1042,2017-03-30,57.36,57.65,57.19,57.2,6358995,QCOM,56.626446
1043,2017-03-31,57.46,57.69,56.97,57.34,10064955,QCOM,56.459072
1044,2017-04-03,57.26,57.34,56.04,56.5,11343523,QCOM,56.585396
1045,2017-04-04,56.3,56.9099,56.25,56.68,7124105,QCOM,55.70365
1046,2017-04-05,56.8,57.53,56.42,56.47,7857728,QCOM,55.86077
1047,2017-04-06,56.44,56.73,56.1393,56.53,5757837,QCOM,55.644943
1048,2017-04-07,56.58,56.6,56.1938,56.32,5229533,QCOM,55.71388
1049,2017-04-10,56.43,56.81,56.27,56.52,6039764,QCOM,55.50892
1050,2017-04-11,56.32,56.36,54.72,55.35,17301754,QCOM,55.718983
1051,2017-04-12,54.64,54.65,53.12,53.39,24822200,QCOM,54.52759
1052,2017-04-13,53.13,53.675,52.78,52.79,17014422,QCOM,52.5042
1053,2017-04-17,52.99,53.13,52.75,52.89,10471714,QCOM,51.814426
1054,2017-04-18,52.6,52.98,52.39,52.67,11262770,QCOM,51.914978
1055,2017-04-19,53.0,53.1,52.3,52.61,15441526,QCOM,51.765823
1056,2017-04-20,53.22,53.4,51.4,52.66,24664581,QCOM,51.75563
1057,2017-04-21,52.77,52.8,52.21,52.5,10951539,QCOM,51.8393
1058,2017-04-24,53.01,53.25,52.75,52.81,10784366,QCOM,51.698334
1059,2017-04-25,53.17,53.49,52.96,53.0,11688660,QCOM,51.99937
1060,2017-04-26,53.2,53.3,52.91,53.04,7373776,QCOM,52.19558
1061,2017-04-27,53.24,53.34,52.91,53.21,6956210,QCOM,52.230003
1062,2017-04-28,51.8,53.95,51.05,53.74,34374139,QCOM,52.37893
1063,2017-05-01,53.65,53.7,53.095,53.6,12987659,QCOM,52.895493
1064,2017-05-02,53.65,53.725,52.9,53.29,10445444,QCOM,52.758026
1065,2017-05-03,53.41,54.77,53.25,54.49,18428284,QCOM,52.41653
1066,2017-05-04,54.73,55.0,54.5,54.91,11993428,QCOM,53.588383
1067,2017-05-05,54.93,55.0,54.695,54.93,9108818,QCOM,54.057804
1068,2017-05-08,54.99,55.0,54.56,54.62,7033362,QCOM,54.089146
1069,2017-05-09,54.69,55.19,54.63,55.15,8332919,QCOM,53.750538
1070,2017-05-10,55.22,55.4273,54.8627,55.33,8517699,QCOM,54.24972
1071,2017-05-11,55.25,55.3,54.41,54.68,13514708,QCOM,54.438267
1072,2017-05-12,54.5,55.35,54.4,55.32,9107629,QCOM,53.7806
1073,2017-05-15,55.08,55.49,55.075,55.4,10686064,QCOM,54.40148
1074,2017-05-16,55.39,55.98,55.1,55.95,9599290,QCOM,54.507175
1075,2017-05-17,55.64,56.075,55.3,55.36,14811304,QCOM,55.084698
1076,2017-05-18,55.58,56.31,55.02,56.12,13125299,QCOM,54.501118
1077,2017-05-19,56.49,57.79,56.2,57.67,16643755,QCOM,55.257057
1078,2017-05-22,58.39,59.54,58.38,59.28,20771548,QCOM,56.87791
1079,2017-05-23,59.38,59.89,59.13,59.22,14223368,QCOM,58.59772
1080,2017-05-24,59.28,59.62,58.57,58.64,8625623,QCOM,58.533634
1081,2017-05-25,58.65,58.95,58.261,58.45,9556506,QCOM,57.881992
1082,2017-05-26,57.66,57.978,57.37,57.52,8261886,QCOM,57.61842
1083,2017-05-30,57.28,57.74,57.17,57.34,11553716,QCOM,56.610573
1084,2017-05-31,57.26,57.73,57.0,57.27,14082627,QCOM,56.405506
1085,2017-06-01,57.45,58.65,57.35,58.62,11560120,QCOM,56.350014
1086,2017-06-02,58.89,58.96,58.35,58.58,9538011,QCOM,57.802517
1087,2017-06-05,58.5,59.05,58.48,58.86,7960848,QCOM,57.820755
1088,2017-06-06,58.6,58.91,58.18,58.2,7871534,QCOM,58.140175
1089,2017-06-07,58.3,58.49,57.13,57.53,10126509,QCOM,57.443207
1090,2017-06-08,57.77,58.15,57.61,58.12,10322232,QCOM,56.724575
1091,2017-06-09,58.37,58.49,56.74,57.05,13624828,QCOM,57.318134
1092,2017-06-12,56.52,57.675,56.48,57.49,9985065,QCOM,56.221226
1093,2017-06-13,57.95,58.065,57.5,57.54,7111499,QCOM,56.678616
1094,2017-06-14,57.7,57.97,56.67,57.01,6740008,QCOM,56.75165
1095,2017-06-15,56.42,57.17,56.4,56.93,5416623,QCOM,56.224876
1096,2017-06-16,56.98,57.01,56.35,56.82,14555633,QCOM,56.140804
1097,2017-06-19,56.96,57.66,56.91,57.61,7166237,QCOM,56.029182
1098,2017-06-20,57.46,57.61,56.51,56.79,8181643,QCOM,56.857098
1099,2017-06-21,56.79,56.84,56.12,56.33,8324937,QCOM,56.029167
1100,2017-06-22,56.24,56.745,56.06,56.47,5560135,QCOM,55.53766
1101,2017-06-23,56.64,57.4365,56.57,56.91,11847870,QCOM,55.658516
1102,2017-06-26,57.09,57.6892,56.21,56.56,7339073,QCOM,56.121048
1103,2017-06-27,56.29,56.33,55.41,55.43,6814393,QCOM,55.781273
1104,2017-06-28,55.4,56.32,55.18,56.16,7542428,QCOM,54.615364
1105,2017-06-29,55.93,55.93,54.55,55.08,8456872,QCOM,55.324924
1106,2017-06-30,55.6,55.63,55.03,55.22,8781900,QCOM,54.244297
1107,2017-07-03,55.53,56.02,54.92,54.95,4379566,QCOM,54.368763
1108,2017-07-05,55.01,55.56,54.78,55.45,6823806,QCOM,54.106766
1109,2017-07-06,55.02,55.23,54.735,54.79,5663022,QCOM,54.627598
1110,2017-07-07,55.04,55.73,54.87,55.35,5355977,QCOM,53.9844
1111,2017-07-10,55.37,55.885,55.19,55.64,5098110,QCOM,54.537933
1112,2017-07-11,55.63,55.63,55.02,55.33,6124863,QCOM,54.85047
1113,2017-07-12,55.79,56.31,55.72,56.2,6126846,QCOM,54.541946
1114,2017-07-13,56.38,56.52,56.17,56.23,6219216,QCOM,55.411255
1115,2017-07-14,56.5,56.93,56.15,56.81,4440059,QCOM,55.45189
1116,2017-07-17,56.73,56.92,56.39,56.46,5123598,QCOM,56.0376
1117,2017-07-18,56.34,56.38,56.0,56.29,7441014,QCOM,55.667553
1118,2017-07-19,56.46,56.9399,56.01,56.78,8783691,QCOM,55.46133
1119,2017-07-20,55.11,55.43,53.46,53.97,35943882,QCOM,55.940445
