,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,153.6,155.27,153.3801,154.74,1505007,TMO,152.29199
1009,2017-02-10,154.68,155.49,154.27,154.89,1482866,TMO,153.60323
1010,2017-02-13,155.0,156.799,154.49,156.35,1636548,TMO,153.5074
1011,2017-02-14,155.94,157.33,155.42,157.28,1429800,TMO,155.19124
1012,2017-02-15,156.49,158.37,156.48,158.26,1423317,TMO,155.84003
1013,2017-02-16,158.01,158.55,157.44,157.71,1252905,TMO,156.82307
1014,2017-02-17,157.62,159.3,157.385,158.64,1207502,TMO,156.07642
1015,2017-02-21,158.64,159.41,157.96,158.63,1242218,TMO,157.38055
1016,2017-02-22,158.34,159.1,157.69,158.02,1282983,TMO,157.09125
1017,2017-02-23,158.59,159.12,157.7,158.73,1124977,TMO,156.57
1018,2017-02-24,158.34,158.98,157.58,158.98,832828,TMO,157.53395
1019,2017-02-27,158.36,159.29,158.02,158.48,1220207,TMO,157.5722
1020,2017-02-28,158.2,159.25,157.52,157.68,1674213,TMO,157.05263
1021,2017-03-01,159.47,160.89,158.91,159.82,1722556,TMO,156.36606
1022,2017-03-02,160.0,160.0,158.9845,159.2,1414396,TMO,158.88507
1023,2017-03-03,158.72,160.42,158.66,160.16,1204035,TMO,157.52985
1024,2017-03-06,158.71,159.29,157.55,157.71,1413379,TMO,158.97768
1025,2017-03-07,156.99,157.94,156.59,157.26,1166721,TMO,155.97751
1026,2017-03-08,157.39,157.96,156.64,157.5,1105385,TMO,156.32176
1027,2017-03-09,157.72,158.24,157.08,157.78,1102589,TMO,156.4693
1028,2017-03-10,158.18,159.47,158.15,159.33,1206266,TMO,156.67847
1029,2017-03-13,159.31,159.31,157.66,159.04,1324287,TMO,158.2806
1030,2017-03-14,158.49,158.7,157.955,158.34,1036534,TMO,157.53613
1031,2017-03-15,158.59,161.6599,158.36,161.05,2548153,TMO,157.0157
1032,2017-03-16,158.03,159.5,156.85,158.02,3208734,TMO,160.13231
1033,2017-03-17,158.54,159.09,156.38,157.89,2654091,TMO,156.0053
1034,2017-03-20,158.14,158.4,156.36,156.74,1280593,TMO,157.02129
1035,2017-03-21,157.47,157.7,154.36,155.54,1593396,TMO,155.50467
1036,2017-03-22,155.79,156.5,154.33,155.33,1309578,TMO,154.55736
1037,2017-03-23,155.3,155.95,154.02,154.65,1643432,TMO,154.52792
1038,2017-03-24,154.43,155.67,153.69,154.04,1938975,TMO,153.72794
1039,2017-03-27,153.44,155.35,152.61,154.59,1418568,TMO,153.2161
1040,2017-03-28,154.64,155.3833,153.54,154.64,1113892,TMO,153.8802
1041,2017-03-29,154.35,154.585,152.94,153.98,1075037,TMO,153.70407
1042,2017-03-30,154.1,154.71,153.45,153.91,1054176,TMO,153.01079
1043,2017-03-31,153.39,154.15,153.22,153.6,1219626,TMO,153.09793
1044,2017-04-03,153.6,155.21,153.5,154.58,2084836,TMO,152.7128
1045,2017-04-04,154.47,154.96,152.51,152.72,2701327,TMO,153.83124
1046,2017-04-05,153.27,154.09,152.63,152.76,2012985,TMO,151.52654
1047,2017-04-06,152.78,153.52,152.2,152.95,2430973,TMO,152.14966
1048,2017-04-07,153.07,153.71,152.565,153.11,1323729,TMO,152.15613
1049,2017-04-10,153.22,154.76,153.22,153.45,1019550,TMO,152.27786
1050,2017-04-11,152.89,153.69,151.91,152.87,985987,TMO,152.59038
1051,2017-04-12,152.86,152.95,151.74,152.46,1253664,TMO,151.88039
1052,2017-04-13,151.94,152.96,151.77,152.18,934603,TMO,151.62115
1053,2017-04-17,152.77,153.9199,152.33,153.7,1274616,TMO,151.3729
1054,2017-04-18,153.04,153.88,152.3,153.27,886616,TMO,153.03384
1055,2017-04-19,153.97,154.66,152.92,154.46,1291133,TMO,152.12874
1056,2017-04-20,154.77,155.86,153.8185,155.36,1592737,TMO,153.6514
1057,2017-04-21,155.27,155.83,154.59,155.04,1992271,TMO,154.24768
1058,2017-04-24,156.53,157.64,156.03,157.34,1198329,TMO,153.78357
1059,2017-04-25,158.43,159.43,158.12,158.81,2171285,TMO,156.43767
1060,2017-04-26,162.13,168.12,160.99,168.01,4182918,TMO,157.37077
1061,2017-04-27,168.68,168.76,166.0,166.7,2287878,TMO,167.2676
1062,2017-04-28,166.53,166.6,164.77,165.33,1507040,TMO,163.17809
1063,2017-05-01,166.37,167.54,166.02,166.62,1431186,TMO,163.14226
1064,2017-05-02,166.6,167.5,165.75,167.25,1562420,TMO,164.84825
1065,2017-05-03,167.25,168.61,166.91,168.32,1785191,TMO,165.14325
1066,2017-05-04,168.36,170.235,168.11,170.12,1247439,TMO,166.32828
1067,2017-05-05,170.08,171.15,169.64,171.06,1681257,TMO,168.07594
1068,2017-05-08,171.43,171.67,169.79,170.39,3636198,TMO,168.70276
1069,2017-05-09,171.67,173.21,171.0,172.12,1806536,TMO,167.8979
1070,2017-05-10,170.94,172.67,170.2,170.97,1860097,TMO,170.18834
1071,2017-05-11,169.88,171.07,169.46,171.01,1126898,TMO,168.30673
1072,2017-05-12,170.7,172.06,170.41,171.52,1107444,TMO,168.99446
1073,2017-05-15,171.5,173.53,171.38,172.26,2280780,TMO,169.42378
1074,2017-05-16,172.34,172.76,171.78,172.27,1482308,TMO,170.14012
1075,2017-05-17,171.2,173.0,170.84,170.97,1367983,TMO,169.97743
1076,2017-05-18,171.03,173.26,170.87,171.74,1553223,TMO,168.6337
1077,2017-05-19,172.12,172.7,171.23,171.53,1130920,TMO,169.94174
1078,2017-05-22,171.35,172.38,170.8,172.1,1044510,TMO,169.3201
1079,2017-05-23,173.39,173.64,171.75,171.83,1078676,TMO,170.14497
1080,2017-05-24,171.81,172.44,171.28,172.33,827903,TMO,169.61754
1081,2017-05-25,172.47,173.07,171.96,172.9,764475,TMO,170.35168
1082,2017-05-26,173.31,173.56,172.88,173.42,683280,TMO,170.78618
1083,2017-05-30,173.17,173.58,172.42,173.25,1114235,TMO,171.25125
1084,2017-05-31,173.78,174.375,172.78,172.79,1836450,TMO,170.9543
1085,2017-06-01,172.79,174.82,172.33,174.82,1014538,TMO,170.57002
1086,2017-06-02,175.0,176.39,174.17,176.39,1075195,TMO,172.9848
1087,2017-06-05,176.26,176.85,175.305,176.44,874253,TMO,174.00696
1088,2017-06-06,176.0,176.58,175.74,176.07,1443047,TMO,173.78368
1089,2017-06-07,176.09,176.51,175.52,176.34,897834,TMO,173.53134
1090,2017-06-08,176.06,176.36,173.85,174.81,2016352,TMO,173.98616
1091,2017-06-09,175.3,175.97,174.07,174.93,1238363,TMO,172.1623
1092,2017-06-12,174.99,175.19,172.04,173.38,1695224,TMO,172.8845
1093,2017-06-13,173.52,175.1,173.33,174.93,912184,TMO,170.9216
1094,2017-06-14,175.34,175.34,173.78,174.57,1337309,TMO,173.2325
1095,2017-06-15,173.82,174.24,172.58,174.13,1150402,TMO,172.08559
1096,2017-06-16,174.56,175.31,174.0,174.86,1944695,TMO,171.93034
1097,2017-06-19,175.62,176.71,175.09,176.25,1154833,TMO,172.81818
1098,2017-06-20,176.04,176.92,175.26,175.67,1299607,TMO,174.09027
1099,2017-06-21,176.49,176.88,175.08,175.6,1348035,TMO,173.04892
1100,2017-06-22,176.03,176.37,174.3,175.47,964527,TMO,173.3386
1101,2017-06-23,175.75,175.75,173.2,174.44,1633704,TMO,173.13795
1102,2017-06-26,174.99,175.0,172.94,173.23,1297056,TMO,172.048
1103,2017-06-27,172.97,174.3,172.13,173.7,1207950,TMO,171.03459
1104,2017-06-28,174.62,176.27,173.765,175.77,1009910,TMO,171.84962
1105,2017-06-29,175.6,176.1,173.2,173.89,1252062,TMO,173.86653
1106,2017-06-30,174.42,175.205,173.98,174.47,819727,TMO,171.10153
1107,2017-07-03,175.33,176.2,174.41,174.41,612254,TMO,172.63446
1108,2017-07-05,174.6,176.44,174.23,175.74,1186823,TMO,172.1101
1109,2017-07-06,174.78,175.79,174.29,175.04,2290556,TMO,173.73737
1110,2017-07-07,175.8,177.99,175.4,177.49,1345748,TMO,172.45703
1111,2017-07-10,177.8,178.29,176.74,177.67,1492518,TMO,175.62874
1112,2017-07-11,177.65,179.14,176.8862,178.64,2127065,TMO,174.86253
1113,2017-07-12,179.21,180.72,179.06,180.2,1101632,TMO,176.23677
1114,2017-07-13,180.57,180.7,179.31,180.03,927411,TMO,177.64249
1115,2017-07-14,179.86,181.27,179.37,180.95,871939,TMO,177.0505
1116,2017-07-17,181.08,182.4,180.2421,180.79,1297250,TMO,178.36395
1117,2017-07-18,180.6,180.96,178.85,179.35,1433309,TMO,177.82913
1118,2017-07-19,180.06,180.64,179.25,180.15,932294,TMO,176.42177
1119,2017-07-20,181.11,182.77,181.11,181.55,1109796,TMO,177.83014
1120,2017-07-21,181.29,182.86,181.0564,182.18,786786,TMO,178.96046
1121,2017-07-24,182.14,182.87,181.61,182.16,805743,TMO,179.29942
1122,2017-07-25,181.77,182.28,179.5,180.13,1440728,TMO,179.21555
1123,2017-07-26,175.17,176.74,170.18,175.06,3944043,TMO,177.0072
1124,2017-07-27,175.85,177.0,174.33,175.27,2479063,TMO,172.05788
1125,2017-07-28,175.3,176.499,173.5332,175.97,1326913,TMO,173.84224
1126,2017-07-31,176.61,177.05,175.3,175.53,1276212,TMO,173.93954
1127,2017-08-01,175.93,176.91,175.155,176.33,752054,TMO,173.26183
1128,2017-08-02,175.87,176.59,175.51,176.44,1370096,TMO,174.32918
1129,2017-08-03,176.0,176.2204,174.88,175.74,933121,TMO,174.088
