,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,160.34,161.3,159.56,160.44,3056783,UNH,163.4135
1009,2017-02-10,160.12,161.59,160.1,160.75,1905884,UNH,163.55898
1010,2017-02-13,160.69,162.02,160.69,161.99,3275839,UNH,163.8309
1011,2017-02-14,161.45,163.5,161.25,163.13,2969704,UNH,165.02635
1012,2017-02-15,162.58,164.89,162.58,164.29,4537859,UNH,166.01462
1013,2017-02-16,164.78,164.97,162.33,163.65,3191646,UNH,167.08324
1014,2017-02-17,159.0,160.16,156.49,157.62,12033638,UNH,166.36218
1015,2017-02-21,157.62,160.815,157.52,160.57,5419013,UNH,160.51938
1016,2017-02-22,160.91,161.78,159.64,160.57,2725286,UNH,164.2597
1017,2017-02-23,161.33,162.6,160.6901,162.6,2460188,UNH,163.6392
1018,2017-02-24,162.67,163.09,161.74,163.06,2715668,UNH,165.70361
1019,2017-02-27,163.16,165.46,162.81,165.38,4071804,UNH,165.87038
1020,2017-02-28,165.47,166.76,164.9,165.38,4382055,UNH,168.21976
1021,2017-03-01,166.72,168.6,166.35,167.94,3514174,UNH,167.96278
1022,2017-03-02,168.32,168.43,166.96,167.31,1889796,UNH,170.67235
1023,2017-03-03,167.37,168.45,166.62,168.2,2254393,UNH,169.74982
1024,2017-03-06,167.43,169.35,167.13,168.7,2576499,UNH,170.89568
1025,2017-03-07,168.45,169.36,167.93,168.3,2702294,UNH,171.31923
1026,2017-03-08,167.61,168.46,166.8,167.91,2048154,UNH,170.93623
1027,2017-03-09,168.15,169.07,167.74,168.01,3631873,UNH,170.67145
1028,2017-03-10,168.42,170.0,168.06,169.98,3716639,UNH,170.85919
1029,2017-03-13,169.99,170.93,169.55,170.21,3130164,UNH,172.84734
1030,2017-03-14,169.66,170.18,168.5,169.06,2522844,UNH,172.82654
1031,2017-03-15,169.36,171.97,169.29,171.78,2807585,UNH,171.75182
1032,2017-03-16,172.07,172.14,170.22,171.3,3138566,UNH,174.7318
1033,2017-03-17,171.09,171.54,169.59,169.7,5622866,UNH,173.85559
1034,2017-03-20,169.93,170.24,167.92,168.0,3928639,UNH,172.46503
1035,2017-03-21,168.67,168.82,167.06,167.7,4953057,UNH,171.0255
1036,2017-03-22,168.13,168.38,165.63,167.03,2999769,UNH,170.94466
1037,2017-03-23,166.23,166.93,164.77,165.29,3947412,UNH,170.24387
1038,2017-03-24,166.2,167.4,164.35,165.0,5243877,UNH,168.5542
1039,2017-03-27,163.99,165.11,163.31,164.6,4383024,UNH,168.4572
1040,2017-03-28,164.58,166.07,163.84,165.35,7327109,UNH,167.99722
1041,2017-03-29,164.66,164.97,162.74,163.44,5900387,UNH,168.75175
1042,2017-03-30,163.65,165.93,163.46,164.99,2993828,UNH,166.6769
1043,2017-03-31,164.64,165.1,163.75,164.01,3496122,UNH,168.49496
1044,2017-04-03,164.62,166.14,164.25,165.59,3473710,UNH,167.19934
1045,2017-04-04,165.87,166.45,164.79,164.97,2885978,UNH,168.9452
1046,2017-04-05,165.76,167.26,165.22,165.37,3541623,UNH,168.04514
1047,2017-04-06,165.45,166.02,164.84,165.34,2923993,UNH,168.57536
1048,2017-04-07,164.96,166.5,164.62,166.02,2928086,UNH,168.45872
1049,2017-04-10,166.19,167.0,165.28,165.48,3234913,UNH,169.15056
1050,2017-04-11,164.89,165.84,164.6,165.83,3172925,UNH,168.5024
1051,2017-04-12,166.32,166.42,164.6,165.56,2978737,UNH,168.94846
1052,2017-04-13,164.95,165.65,164.67,164.96,1979846,UNH,168.60538
1053,2017-04-17,164.99,167.42,164.96,167.18,4396665,UNH,168.04817
1054,2017-04-18,170.06,170.23,167.7,168.59,5526173,UNH,170.34497
1055,2017-04-19,169.59,171.19,168.6901,169.25,4703352,UNH,171.42247
1056,2017-04-20,169.52,172.19,168.37,171.54,3652173,UNH,171.97504
1057,2017-04-21,172.13,172.62,170.47,171.16,2982272,UNH,174.28049
1058,2017-04-24,172.66,173.16,171.7,172.33,2830275,UNH,173.6464
1059,2017-04-25,173.5,174.74,173.19,174.04,3394671,UNH,175.03772
1060,2017-04-26,174.09,175.65,173.98,174.38,2817457,UNH,176.64877
1061,2017-04-27,174.07,176.07,174.0167,174.63,2438613,UNH,176.84447
1062,2017-04-28,174.61,175.0,173.91,174.88,2010757,UNH,177.18169
1063,2017-05-01,175.0,176.14,174.09,174.59,2709907,UNH,177.48746
1064,2017-05-02,174.91,175.3684,170.2735,174.14,4951025,UNH,177.23547
1065,2017-05-03,173.75,174.3,171.86,172.54,3622309,UNH,176.89398
1066,2017-05-04,173.05,174.21,172.38,174.02,2585102,UNH,175.38174
1067,2017-05-05,174.54,174.88,173.31,174.12,2188959,UNH,177.14447
1068,2017-05-08,173.93,174.56,173.5671,174.44,2506098,UNH,176.97466
1069,2017-05-09,174.1,174.77,172.73,173.24,1653715,UNH,177.35884
1070,2017-05-10,173.04,173.64,172.461,173.39,1568799,UNH,176.12773
1071,2017-05-11,172.76,173.856,171.67,173.32,1901252,UNH,176.51399
1072,2017-05-12,172.64,173.39,171.52,171.81,2335410,UNH,176.39606
1073,2017-05-15,171.79,172.0,170.23,171.53,2831366,UNH,174.89386
1074,2017-05-16,170.67,171.0,167.25,168.12,4343720,UNH,174.84088
1075,2017-05-17,166.96,170.39,166.65,168.86,4442292,UNH,171.37291
1076,2017-05-18,168.25,173.98,167.87,171.45,3908022,UNH,172.58946
1077,2017-05-19,172.3,172.95,170.25,172.59,3877349,UNH,174.91466
1078,2017-05-22,172.73,174.9,172.6,174.7,3480347,UNH,175.65091
1079,2017-05-23,174.44,175.52,173.71,175.22,2471685,UNH,177.69147
1080,2017-05-24,175.45,176.1,174.52,175.59,1653699,UNH,177.96524
1081,2017-05-25,176.32,178.73,175.9396,178.05,3212199,UNH,178.39294
1082,2017-05-26,177.68,178.89,177.0,177.5,1583631,UNH,180.9094
1083,2017-05-30,177.54,178.08,176.24,176.59,2285677,UNH,180.02658
1084,2017-05-31,176.89,176.9,174.92,175.18,3320408,UNH,179.33868
1085,2017-06-01,175.78,179.58,175.19,179.58,2890588,UNH,178.08064
1086,2017-06-02,179.92,179.92,178.34,179.39,2610140,UNH,182.77348
1087,2017-06-05,179.53,180.3207,179.16,179.37,2640609,UNH,181.82674
1088,2017-06-06,179.19,181.06,178.48,180.82,3443854,UNH,182.0449
1089,2017-06-07,182.0,183.47,179.65,183.21,3783753,UNH,183.58044
1090,2017-06-08,183.34,183.76,180.98,181.69,3079934,UNH,185.85141
1091,2017-06-09,181.84,182.4,180.8595,181.46,2392652,UNH,184.0231
1092,2017-06-12,181.01,181.82,176.42,179.25,3705616,UNH,184.22093
1093,2017-06-13,179.21,181.39,179.145,181.05,2458473,UNH,182.01459
1094,2017-06-14,180.94,182.84,180.94,182.36,2039889,UNH,184.2569
1095,2017-06-15,181.75,183.5,180.09,180.38,3078699,UNH,185.21893
1096,2017-06-16,180.83,182.46,180.38,181.63,4473267,UNH,183.06706
1097,2017-06-19,182.3,183.02,180.76,183.02,3887064,UNH,184.76297
1098,2017-06-20,182.75,183.42,182.2151,183.27,2742596,UNH,185.92967
1099,2017-06-21,183.49,185.11,182.71,184.92,2866278,UNH,186.03342
1100,2017-06-22,184.9,188.66,184.78,186.5,3841326,UNH,187.7766
1101,2017-06-23,186.27,186.27,184.1353,185.25,3438489,UNH,189.17622
1102,2017-06-26,185.13,185.89,183.39,185.12,2327524,UNH,187.75018
1103,2017-06-27,185.72,186.8,184.22,184.6,2682752,UNH,187.96936
1104,2017-06-28,185.68,186.31,185.0901,185.7,2451211,UNH,187.46165
1105,2017-06-29,185.82,186.09,184.33,185.27,2193573,UNH,188.7103
1106,2017-06-30,185.15,186.19,184.93,185.42,2391965,UNH,188.07166
1107,2017-07-03,186.29,187.53,185.74,186.65,2087013,UNH,188.37039
1108,2017-07-05,186.14,188.36,185.72,188.25,2587433,UNH,189.61288
1109,2017-07-06,188.12,188.185,186.15,186.94,1844743,UNH,191.07574
1110,2017-07-07,187.35,188.43,187.01,187.96,2252496,UNH,189.53276
1111,2017-07-10,187.33,188.0,186.15,186.95,2611955,UNH,190.93457
1112,2017-07-11,187.0,187.66,185.09,185.95,2664472,UNH,189.70198
1113,2017-07-12,186.79,187.3,186.41,186.69,3342837,UNH,188.9365
1114,2017-07-13,187.0,187.28,185.32,185.48,2379349,UNH,189.84808
1115,2017-07-14,185.81,187.13,184.77,186.9,2716727,UNH,188.4375
1116,2017-07-17,187.07,187.245,185.76,186.35,2444621,UNH,190.14343
1117,2017-07-18,186.95,187.2,183.86,186.85,4235849,UNH,189.27177
1118,2017-07-19,187.51,189.41,187.51,189.19,3401646,UNH,189.95473
1119,2017-07-20,189.41,191.92,188.92,191.5,3099616,UNH,192.25864
1120,2017-07-21,191.38,193.0,190.6001,191.78,4911549,UNH,194.26054
1121,2017-07-24,191.79,192.17,190.64,190.89,2356497,UNH,194.26723
1122,2017-07-25,192.13,192.48,190.3,190.4,1960052,UNH,193.46419
1123,2017-07-26,190.02,191.53,189.38,190.75,2683468,UNH,193.20538
1124,2017-07-27,190.24,190.49,188.46,188.93,2631353,UNH,193.66647
1125,2017-07-28,189.11,191.244,187.6,191.15,1925049,UNH,191.72711
1126,2017-07-31,191.59,192.61,191.14,191.81,3776476,UNH,194.37874
1127,2017-08-01,193.4,193.4,191.6201,192.23,3336771,UNH,194.57228
1128,2017-08-02,192.14,193.45,192.14,193.0,2464350,UNH,195.00208
1129,2017-08-03,193.26,194.96,193.01,194.77,2886100,UNH,195.77954
1130,2017-08-04,194.95,196.04,194.6,194.88,2892259,UNH,197.53421
1131,2017-08-07,194.81,195.41,193.9,194.78,2074754,UNH,197.3974
1132,2017-08-08,194.68,194.99,194.08,194.9,1741007,UNH,197.41252
1133,2017-08-09,194.9,195.36,194.165,194.83,2125851,UNH,197.61818
1134,2017-08-10,194.26,194.3876,192.4,192.57,2698646,UNH,197.56842
1135,2017-08-11,193.91,194.54,192.66,193.02,2210720,UNH,195.28418
1136,2017-08-14,194.6,194.75,192.9,193.71,2322000,UNH,196.20274
1137,2017-08-15,194.47,195.01,193.81,194.5,1595189,UNH,196.73235
1138,2017-08-16,194.81,195.27,192.83,193.77,1881640,UNH,197.44093
1139,2017-08-17,193.75,194.24,192.66,192.7,2440930,UNH,196.57028
1140,2017-08-18,192.84,193.2,190.63,190.82,2858501,UNH,195.66231
1141,2017-08-21,190.88,192.31,190.88,192.03,1930478,UNH,193.9068
1142,2017-08-22,192.15,194.96,191.56,194.79,2021865,UNH,195.4648
1143,2017-08-23,194.5,194.59,193.72,194.24,1547001,UNH,197.98563
1144,2017-08-24,194.55,195.07,194.21,194.75,1923668,UNH,196.93031
1145,2017-08-25,195.33,195.54,194.14,194.36,1374959,UNH,197.70274
1146,2017-08-28,194.59,195.81,194.36,195.09,2009912,UNH,197.2036
1147,2017-08-29,194.83,197.04,194.33,196.73,2072225,UNH,198.08994
1148,2017-08-30,196.38,196.88,195.2,195.88,1506690,UNH,199.6456
1149,2017-08-31,196.93,199.49,196.39,198.9,2990177,UNH,198.49736
1150,2017-09-01,199.79,199.99,198.36,199.75,2242195,UNH,201.9014
1151,2017-09-05,199.2,200.44,198.71,199.31,2701585,UNH,202.18144
1152,2017-09-06,199.54,199.99,197.63,198.38,3040218,UNH,201.7508
1153,2017-09-07,197.77,199.48,197.07,198.17,2684599,UNH,200.9648
1154,2017-09-08,198.43,198.86,197.0,197.75,2205962,UNH,200.96635
1155,2017-09-11,199.25,200.42,198.78,199.58,3307919,UNH,200.55844
1156,2017-09-12,199.44,199.47,196.91,197.47,2554695,UNH,202.55182
1157,2017-09-13,197.8,200.76,197.78,198.33,2394409,UNH,199.98286
1158,2017-09-14,197.95,198.38,197.09,197.73,2378644,UNH,201.41046
1159,2017-09-15,198.52,199.71,197.2,198.18,4198691,UNH,200.528
1160,2017-09-18,198.17,198.82,197.51,198.19,1915478,UNH,201.17918
1161,2017-09-19,198.44,198.6,192.39,194.65,3818982,UNH,201.07587
1162,2017-09-20,195.02,195.84,194.06,195.75,2788463,UNH,197.43385
1163,2017-09-21,195.63,196.13,194.9,195.21,1894964,UNH,199.27647
1164,2017-09-22,195.11,195.87,188.25,193.03,5660220,UNH,198.3123
1165,2017-09-25,193.27,196.31,190.92,191.75,3105892,UNH,196.1859
1166,2017-09-26,192.31,194.36,192.04,192.7,2775350,UNH,195.21704
1167,2017-09-27,193.2,195.615,191.74,194.49,3267239,UNH,196.30443
1168,2017-09-28,194.25,196.545,193.51,196.1,2088374,UNH,197.86502
1169,2017-09-29,195.82,196.09,194.48,195.85,2646297,UNH,199.1894
1170,2017-10-02,196.59,197.91,196.33,197.44,2893553,UNH,198.68631
1171,2017-10-03,197.5,199.4425,197.26,198.63,2533804,UNH,200.47534
1172,2017-10-04,199.03,200.73,198.43,200.48,2286385,UNH,201.41014
1173,2017-10-05,199.93,199.93,196.56,197.9,4068977,UNH,203.20299
1174,2017-10-06,197.9,199.99,197.51,198.06,3361896,UNH,200.23828
1175,2017-10-09,198.01,198.32,195.78,196.3,3365386,UNH,201.0501
1176,2017-10-10,196.26,196.43,193.67,194.68,2499815,UNH,199.0853
1177,2017-10-11,194.63,196.07,193.59,195.26,2935589,UNH,197.76648
1178,2017-10-12,195.01,195.36,192.73,192.92,2954744,UNH,198.5752
1179,2017-10-13,189.59,192.71,186.0,192.52,5435003,UNH,195.93031
1180,2017-10-16,192.48,193.32,191.36,193.2,2927432,UNH,195.96255
1181,2017-10-17,196.8,206.62,196.37,203.89,8949715,UNH,196.59387
1182,2017-10-18,203.8,207.8,203.68,205.23,4796337,UNH,207.5295
1183,2017-10-19,205.47,205.745,202.7,203.25,3471790,UNH,206.8225
1184,2017-10-20,204.26,208.21,203.69,207.49,5138814,UNH,205.09082
1185,2017-10-23,207.58,208.45,205.8,207.01,2261386,UNH,210.11617
1186,2017-10-24,206.38,208.23,205.88,208.15,3459875,UNH,208.76584
1187,2017-10-25,208.32,209.14,207.071,207.53,2199301,UNH,210.37898
1188,2017-10-26,207.92,211.7,207.58,209.15,4345993,UNH,209.53397
1189,2017-10-27,209.15,212.77,208.545,212.6,4385348,UNH,211.51314
1190,2017-10-30,212.21,212.77,209.38,209.39,2477364,UNH,214.81992
1191,2017-10-31,209.39,210.52,207.8,210.22,3749641,UNH,210.85863
1192,2017-11-01,211.62,212.63,208.92,209.53,1902858,UNH,212.7099
1193,2017-11-02,210.11,211.485,209.01,211.1,2825932,UNH,211.70985
1194,2017-11-03,210.72,213.83,210.1,212.87,2197061,UNH,213.63982
1195,2017-11-06,211.91,213.93,211.8,212.12,2293688,UNH,215.16373
1196,2017-11-07,212.74,213.54,210.89,212.7,1845805,UNH,214.1336
1197,2017-11-08,212.08,212.925,210.7,210.77,2261829,UNH,215.07887
1198,2017-11-09,210.59,211.76,209.13,211.56,1839188,UNH,212.94687
1199,2017-11-10,211.46,211.81,210.2,211.07,1384718,UNH,214.30704
1200,2017-11-13,210.31,213.535,209.94,212.66,2662195,UNH,213.54082
1201,2017-11-14,212.21,212.7,210.92,211.71,1993916,UNH,215.40279
1202,2017-11-15,210.88,211.98,209.62,209.86,1816332,UNH,214.03448
1203,2017-11-16,210.38,212.01,209.9,211.13,1919644,UNH,212.42229
