,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,67.8,69.14,67.75,69.08,11080479,WMT,68.02812
1009,2017-02-10,68.25,68.6,67.76,68.02,12445633,WMT,69.1717
1010,2017-02-13,68.32,68.65,67.56,67.77,8374307,WMT,68.20182
1011,2017-02-14,67.88,68.68,67.71,68.66,8462328,WMT,68.074234
1012,2017-02-15,67.76,68.71,67.76,68.69,8563295,WMT,68.864426
1013,2017-02-16,68.67,69.24,68.61,68.87,8413787,WMT,68.843956
1014,2017-02-17,68.83,69.785,68.695,69.37,12837447,WMT,69.04215
1015,2017-02-21,71.21,72.28,70.7,71.45,22412893,WMT,69.500565
1016,2017-02-22,72.25,72.37,71.48,71.71,15242674,WMT,71.40191
1017,2017-02-23,72.0,72.5,71.16,71.31,12799700,WMT,71.59624
1018,2017-02-24,71.34,72.8,71.3,72.39,13889852,WMT,71.31653
1019,2017-02-27,72.28,72.42,71.525,71.74,9254685,WMT,72.35107
1020,2017-02-28,70.87,71.0,70.0,70.93,15952573,WMT,71.71295
1021,2017-03-01,70.97,71.08,70.15,70.45,13522717,WMT,71.032196
1022,2017-03-02,70.42,70.9,70.17,70.76,8916264,WMT,70.59889
1023,2017-03-03,70.81,71.02,69.88,70.03,9303591,WMT,70.867966
1024,2017-03-06,70.0,70.435,69.78,69.88,9182575,WMT,70.162
1025,2017-03-07,69.9,70.21,69.86,69.87,7282861,WMT,70.05902
1026,2017-03-08,69.69,70.03,69.54,69.8,7979841,WMT,70.02784
1027,2017-03-09,69.75,70.04,69.56,69.86,7564480,WMT,69.95552
1028,2017-03-10,70.0,70.365,69.8,70.1,7098829,WMT,70.01124
1029,2017-03-13,69.99,70.45,69.71,69.95,6802511,WMT,70.226654
1030,2017-03-14,70.82,71.205,70.72,70.72,9958370,WMT,70.08316
1031,2017-03-15,70.5,70.7,70.02,70.58,8813794,WMT,70.80571
1032,2017-03-16,70.11,70.7,70.07,70.44,7060977,WMT,70.64603
1033,2017-03-17,70.58,70.7501,69.81,69.89,14078353,WMT,70.553955
1034,2017-03-20,70.14,70.45,69.71,69.98,7466226,WMT,70.05236
1035,2017-03-21,70.17,70.4,69.69,69.9,8746812,WMT,70.14876
1036,2017-03-22,70.03,70.34,69.72,70.25,6455594,WMT,70.04744
1037,2017-03-23,70.2,70.31,69.745,69.86,6898774,WMT,70.37052
1038,2017-03-24,69.99,70.17,69.5274,69.61,5858968,WMT,69.99589
1039,2017-03-27,69.52,70.07,69.36,69.66,5792586,WMT,69.79439
1040,2017-03-28,69.33,70.37,69.33,70.32,7252189,WMT,69.83507
1041,2017-03-29,70.35,71.18,70.31,70.74,6991046,WMT,70.4265
1042,2017-03-30,70.69,71.72,70.64,71.59,8141535,WMT,70.78801
1043,2017-03-31,71.32,72.56,71.23,72.08,9939780,WMT,71.582436
1044,2017-04-03,72.08,72.53,71.78,71.83,8291283,WMT,72.02813
1045,2017-04-04,71.74,72.06,71.532,72.01,5567317,WMT,71.82389
1046,2017-04-05,71.64,72.31,71.555,71.65,6354492,WMT,72.02479
1047,2017-04-06,71.7,72.1,71.38,71.43,5941103,WMT,71.68348
1048,2017-04-07,72.1,72.99,71.8,72.9,10767602,WMT,71.49962
1049,2017-04-10,72.99,73.48,72.73,73.06,7495948,WMT,72.847694
1050,2017-04-11,73.0,73.45,72.93,73.43,5810458,WMT,72.93835
1051,2017-04-12,73.55,73.83,73.25,73.44,6627297,WMT,73.33509
1052,2017-04-13,73.37,73.655,73.15,73.15,5336428,WMT,73.35115
1053,2017-04-17,73.16,73.58,73.15,73.49,5465408,WMT,73.1049
1054,2017-04-18,73.54,74.1,73.48,73.89,6627986,WMT,73.43243
1055,2017-04-19,74.1,74.38,73.86,74.07,5940609,WMT,73.78263
1056,2017-04-20,74.14,75.11,74.11,74.8,7681252,WMT,73.95065
1057,2017-04-21,74.74,75.11,74.6,74.94,5755691,WMT,74.639786
1058,2017-04-24,75.08,75.4,74.42,74.78,7812524,WMT,74.762
1059,2017-04-25,74.97,75.17,74.86,75.05,5720364,WMT,74.643486
1060,2017-04-26,75.27,75.7663,75.17,75.43,6948460,WMT,74.91018
1061,2017-04-27,75.54,75.7,75.02,75.44,6052219,WMT,75.25307
1062,2017-04-28,75.24,75.44,74.93,75.18,7330420,WMT,75.263916
1063,2017-05-01,75.09,75.715,75.09,75.23,6165912,WMT,75.0404
1064,2017-05-02,75.3,75.71,75.25,75.52,7318362,WMT,75.09849
1065,2017-05-03,75.4,75.88,75.1775,75.76,5523624,WMT,75.3586
1066,2017-05-04,75.93,76.395,75.83,76.34,5500802,WMT,75.57544
1067,2017-05-05,76.42,76.6043,76.18,76.5,5597759,WMT,76.11982
1068,2017-05-08,76.5,76.52,76.07,76.12,6512180,WMT,76.26687
1069,2017-05-09,76.44,77.05,76.33,76.72,8255282,WMT,75.9367
1070,2017-05-10,76.33,76.78,76.1902,76.7,7511921,WMT,76.51463
1071,2017-05-11,76.35,76.72,75.925,76.13,8349403,WMT,76.47046
1072,2017-05-12,75.95,76.25,75.37,75.71,5892910,WMT,75.96356
1073,2017-05-15,75.8,76.47,75.8,76.29,8843873,WMT,75.590324
1074,2017-05-16,76.19,76.27,75.08,75.11,8371802,WMT,76.12017
1075,2017-05-17,75.05,75.73,74.96,75.12,10970970,WMT,74.99212
1076,2017-05-18,76.89,77.66,76.13,77.54,19166801,WMT,75.05043
1077,2017-05-19,77.97,79.44,77.77,78.77,18581717,WMT,77.25546
1078,2017-05-22,78.65,79.0,78.295,78.55,8897554,WMT,78.332115
1079,2017-05-23,78.58,78.97,78.44,78.49,7584938,WMT,78.19727
1080,2017-05-24,78.56,78.6053,78.14,78.15,7503976,WMT,78.20735
1081,2017-05-25,78.36,78.85,78.15,78.31,6134952,WMT,77.89727
