,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,68.0714,69.2771,67.6071,129029425.0,68.5614,68.60082960393656
5,2013-02-15,66.9785,67.1656,65.7028,97924631.0,65.7371,66.08475645806394
8,2013-02-21,63.7142,64.1671,63.2599,111596821.0,63.7228,63.6556215700835
10,2013-02-25,64.8356,65.0171,63.2242,92899597.0,63.2571,63.68390778432779
14,2013-03-01,62.5714,62.5971,61.4257,137899041.0,61.4957,61.59887759551138
15,2013-03-04,61.1142,61.1714,59.8571,145406366.0,60.0071,60.07257936083579
18,2013-03-07,60.6428,61.7157,60.1514,116992841.0,61.5117,61.056235187652085
27,2013-03-20,65.3456,65.3756,64.2271,77016849.0,64.5828,64.46901826725738
30,2013-03-25,66.3842,67.2385,66.0214,79589930.0,67.0642,66.76223726353807
31,2013-03-26,66.4914,66.5485,65.7899,73428208.0,65.8765,65.96310977533295
34,2013-04-01,63.1285,63.3854,61.1057,97294421.0,61.2728,61.71570344622939
38,2013-04-05,60.6428,61.7157,60.1514,116992841.0,61.5117,61.056235187652085
39,2013-04-08,60.6928,61.0714,60.3557,75169647.0,60.8871,60.706303540224475
44,2013-04-15,60.9999,61.1271,59.9357,79157071.0,59.9785,60.241927449371595
45,2013-04-16,60.2242,60.9442,60.0814,76222076.0,60.8914,60.66567633628841
49,2013-04-22,56.0914,57.4571,55.8964,107338322.0,56.9528,56.98409066771828
52,2013-04-25,58.7464,59.1342,58.1428,95984896.0,58.3399,58.53725101228367
55,2013-04-30,62.1571,63.6071,61.7242,172737600.0,63.2542,62.85905022926068
58,2013-05-03,64.4728,64.7471,64.1642,90319201.0,64.2828,64.40552235066106
60,2013-05-07,66.4242,66.5356,64.8142,120499960.0,65.5225,65.18406417916361
64,2013-05-13,64.5014,65.4142,64.4999,79220953.0,64.9628,65.20644343905987
65,2013-05-14,64.8356,65.0171,63.2242,92899597.0,63.2571,63.68390778432779
70,2013-05-21,62.5928,63.6399,62.0285,113921367.0,62.8085,62.932597418330325
75,2013-05-29,62.8571,63.9285,62.7714,82641944.0,63.5642,63.62277779849696
82,2013-06-07,62.3571,63.3199,61.8242,101120551.0,63.1158,62.66713258216823
85,2013-06-12,62.7857,63.0357,61.6428,66295887.0,61.7414,62.082615028313064
92,2013-06-21,59.7842,59.9999,58.3,120286768.0,59.0714,58.72625621666006
103,2013-07-09,59.0857,60.4999,58.6257,88142026.0,60.3357,59.83620917752623
108,2013-07-16,60.9314,61.5299,60.5957,54033805.0,61.4564,61.150615212418515
113,2013-07-23,60.8571,60.9942,59.8157,91062300.0,59.8557,60.11088365895813
122,2013-08-05,66.3842,67.2385,66.0214,79589930.0,67.0642,66.76223726353807
124,2013-08-07,66.2571,66.7142,65.9671,74663176.0,66.4256,66.37215832530221
139,2013-08-28,69.4285,69.7942,69.1285,59086559.0,69.4599,69.47952219456859
140,2013-08-29,70.2356,70.9285,70.1614,59807748.0,70.2428,70.72776888927834
141,2013-08-30,70.2856,70.4214,69.4999,68078395.0,69.6022,69.76323133683348
142,2013-09-03,70.4428,71.5142,69.6214,83000148.0,69.7971,70.64077971526694
152,2013-09-17,63.9942,65.6728,63.9285,99756489.0,65.0456,65.25207841803648
156,2013-09-23,70.8714,70.9871,68.9428,190021706.0,70.0914,69.30785841979751
159,2013-09-26,69.4285,69.7942,69.1285,59086559.0,69.4599,69.47952219456859
161,2013-09-30,68.1785,68.8085,67.7729,64852879.0,68.1071,68.35738964902528
178,2013-10-23,74.1428,74.6899,73.8771,67975012.0,74.2299,74.35862068668013
179,2013-10-24,74.9999,75.3556,74.4671,68923785.0,74.6716,74.85195116885397
184,2013-10-31,74.9999,75.3556,74.4671,68923785.0,74.6716,74.85195116885397
186,2013-11-04,74.4428,75.2599,74.1156,61157033.0,75.2499,74.84002134548163
187,2013-11-05,74.9399,75.5549,74.7142,66368071.0,75.0641,75.24407387498123
192,2013-11-12,73.9528,74.8456,73.8571,51114651.0,74.2871,74.60233418342219
194,2013-11-14,74.6871,75.6114,74.5528,70605087.0,75.4514,75.30985841260086
198,2013-11-20,74.1756,74.3456,73.4756,48545798.0,73.5714,73.77048115974381
202,2013-11-26,74.8742,76.5914,74.8571,100345728.0,76.1999,76.20124663169337
204,2013-11-29,78.4971,79.7613,78.2585,79532215.0,79.4385,79.30723312150137
211,2013-12-10,80.5113,81.1256,80.1713,69567610.0,80.7928,80.72333567105764
224,2013-12-30,79.6371,80.0128,78.9029,63407722.0,79.2171,79.35685307886814
231,2014-01-09,78.1142,78.1228,76.4785,69905199.0,76.6455,76.83016136624946
233,2014-01-13,75.7014,77.4999,75.6971,94860843.0,76.5328,77.11130772151232
240,2014-01-23,78.5628,79.4999,77.8294,100978346.0,79.4542,78.69837837827392
247,2014-02-03,71.8014,72.5328,71.3285,100620772.0,71.6471,71.96970343740021
249,2014-02-05,72.3656,73.6114,72.3216,82322156.0,73.2271,73.3071753760181
251,2014-02-07,74.4828,74.7042,73.9114,93638601.0,74.2399,74.166244533876
254,2014-02-12,76.7071,77.0799,76.1771,77127064.0,76.5599,76.56582369134885
263,2014-02-26,74.8014,74.9999,73.6571,69131286.0,73.9071,74.05264095368173
268,2014-03-05,75.8456,76.3928,75.5899,50065519.0,76.0514,76.09029576814409
269,2014-03-06,76.1128,76.3485,75.4428,46423111.0,75.8214,75.7872009473679
270,2014-03-07,75.8699,75.9971,75.1499,55415241.0,75.7771,75.406416186942
271,2014-03-10,75.4799,76.1899,75.4769,44691430.0,75.8456,76.05906817544216
283,2014-03-26,78.0742,78.4285,76.9799,74942224.0,77.1114,77.48491368084925
295,2014-04-11,74.1428,74.6899,73.8771,67975012.0,74.2299,74.35862068668013
298,2014-04-16,74.0071,74.4414,73.4478,53732994.0,74.1442,73.92069857859939
299,2014-04-17,74.2856,75.3942,74.1714,71106721.0,74.9914,75.07401932371722
302,2014-04-23,75.5799,75.8756,74.9214,98735259.0,74.9642,75.25101462059172
303,2014-04-24,81.1728,81.4285,80.1042,189978082.0,81.1099,80.38831717332057
308,2014-05-01,84.5713,84.9713,83.7656,61052418.0,84.4971,84.25885295981142
310,2014-05-05,84.3056,85.8571,84.2856,71766758.0,85.8513,85.52896776083195
311,2014-05-06,85.9713,86.3442,84.9156,93641373.0,84.9156,85.40570269302822
316,2014-05-13,84.5713,84.9713,83.7656,61052418.0,84.4971,84.25885295981142
317,2014-05-14,84.6328,85.3428,84.5342,41600846.0,84.8385,85.1424490051566
319,2014-05-16,84.0899,85.3613,83.6285,69091834.0,85.3585,84.74657694153112
320,2014-05-19,85.4071,86.7613,85.3328,79439024.0,86.3699,86.41826277097515
322,2014-05-21,86.2613,86.6713,86.0085,49249914.0,86.6156,86.39769345863138
328,2014-05-30,91.1399,92.0242,89.8428,141005137.0,90.4285,90.7512799978224
333,2014-06-06,92.8428,93.037,92.0671,87620911.0,92.2242,92.3546576860424
342,2014-06-19,92.29,92.3,91.3389,35527686.0,91.86,91.57671255538239
349,2014-06-30,92.1,93.725,92.09,49589028.0,92.93,93.41771238312221
351,2014-07-02,93.865,94.06,93.09,28465073.0,93.48,93.44733824500429
358,2014-07-14,95.86,96.89,95.65,42810155.0,96.45,96.54482130595031
359,2014-07-15,96.8,96.85,95.03,45696176.0,95.32,95.47582507346515
361,2014-07-17,95.03,95.279,92.57,57298243.0,93.0899,93.3223672899003
364,2014-07-22,94.68,94.89,94.12,55196597.0,94.72,94.40932832588587
381,2014-08-14,97.33,97.57,96.8,28115566.0,97.5,97.13889668633414
386,2014-08-21,100.57,100.94,100.11,33478198.0,100.58,100.53322253022536
390,2014-08-27,101.02,102.57,100.7,52369011.0,102.13,102.03448067401862
393,2014-09-02,103.06,103.74,102.72,53564262.0,103.3,103.34610425914332
397,2014-09-08,99.3,99.31,98.05,46356742.0,98.36,98.34384711174701
402,2014-09-15,102.81,103.05,101.44,61316516.0,101.63,101.93212333576156
406,2014-09-19,102.29,102.35,100.88,70902406.0,100.96,101.22275307500404
408,2014-09-23,100.6,102.94,100.54,63402196.0,102.64,102.44845537596723
411,2014-09-26,98.53,99.3457,98.48,31712936.0,98.83,99.17617957796998
412,2014-09-29,98.65,100.435,98.63,49766312.0,100.11,100.09113650307036
416,2014-10-03,99.44,100.21,99.04,43469585.0,99.62,99.7649728031366
418,2014-10-07,99.43,100.12,98.73,42094183.0,98.75,99.45959729931863
420,2014-10-09,101.54,102.38,100.61,77376525.0,101.02,101.47365541333608
427,2014-10-20,98.315,99.96,98.22,77517279.0,99.76,99.55123395129738
