,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,34.42,34.49,34.24,7928236.0,34.26,34.35781220221582
5,2013-02-15,34.84,35.1,34.775,10016820.0,35.08,35.00369767256786
6,2013-02-19,35.18,35.31,34.95,6029815.0,35.31,35.13154083435186
8,2013-02-21,34.47,34.49,34.135,6572998.0,34.26,34.24937094259348
10,2013-02-25,34.6,34.84,34.25,8704574.0,34.27,34.51985151027603
14,2013-03-01,33.69,33.91,33.55,14602200.0,33.6,33.736550374993655
15,2013-03-04,33.51,34.33,33.4,6613663.0,34.31,34.07549461977889
18,2013-03-07,34.3,34.54,34.16,5666019.0,34.43,34.41098436854787
27,2013-03-20,33.66,33.82,33.5,6666071.0,33.81,33.689184934876245
31,2013-03-26,33.85,34.35,33.85,5855375.0,34.35,34.27099626628693
33,2013-03-28,34.6,34.84,34.25,8704574.0,34.27,34.51985151027603
34,2013-04-01,35.18,35.31,34.95,6029815.0,35.31,35.13154083435186
39,2013-04-08,36.31,36.55,35.93,5584211.0,36.55,36.221582245429914
43,2013-04-12,37.11,37.34,36.96,5381291.0,37.11,37.20553657816916
44,2013-04-15,36.84,37.09,36.11,8227744.0,36.13,36.45397534074735
45,2013-04-16,36.28,36.48,35.9,7865968.0,36.4,36.148930295244924
46,2013-04-17,36.84,37.09,36.11,8227744.0,36.13,36.45397534074735
49,2013-04-22,37.0,37.22,36.561,5354665.0,36.89,36.84865587891242
50,2013-04-23,37.11,37.34,36.96,5381291.0,37.11,37.20553657816916
52,2013-04-25,36.62,36.82,36.45,5324260.0,36.49,36.67701416355351
55,2013-04-30,36.7,36.98,36.48,6426661.0,36.92,36.769333627995074
55,2013-04-30,36.7,37.15,36.4,6424843.0,37.13,36.8303939263552
56,2013-05-01,36.77,37.21,36.65,12044916.0,37.18,37.010823324929895
57,2013-05-02,36.95,37.25,36.65,10490437.0,37.02,36.94527554735805
57,2013-05-02,36.95,37.55,36.895,5996475.0,37.51,37.398161354331755
58,2013-05-03,37.25,37.25,36.61,5364335.0,36.8,36.76702536374158
60,2013-05-07,35.74,36.08,35.58,8347699.0,36.06,35.89376744085301
64,2013-05-13,36.05,36.57,36.04,6217550.0,36.35,36.4746976757918
66,2013-05-15,37.13,38.01,37.12,7960166.0,37.99,37.814249293294324
69,2013-05-20,36.95,37.25,36.65,10490437.0,37.02,36.94527554735805
69,2013-05-20,36.95,37.55,36.895,5996475.0,37.51,37.398161354331755
70,2013-05-21,37.85,38.0,37.57,6987371.0,37.72,37.76856000637615
75,2013-05-29,38.26,39.01,38.14,9825035.0,38.93,38.744777557971474
75,2013-05-29,38.26,38.46,37.33,8678424.0,37.72,37.66757124823114
