,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,263.2,263.25,256.6,3403403.0,257.21,258.29816443049583
5,2013-02-15,267.63,268.92,263.11,3979832.0,265.09,265.1799041176702
8,2013-02-21,265.12,269.48,263.25,3637396.0,265.94,267.29218161803067
10,2013-02-25,266.94,268.694,259.65,3032109.0,259.87,263.12801230081584
14,2013-03-01,263.27,266.6,261.04,2956724.0,265.74,264.3905088573773
15,2013-03-04,265.36,273.3,264.14,3452783.0,273.11,271.18770489137927
18,2013-03-07,274.1,274.8,271.85,1938987.0,273.88,273.04006458792634
27,2013-03-20,258.05,259.76,254.5501,2734710.0,257.278,256.8881044066525
31,2013-03-26,257.05,261.48,256.28,2420504.0,260.31,260.25087945392477
34,2013-04-01,266.98,267.4,261.01,2524725.0,261.61,262.98772934303537
39,2013-04-08,255.92,259.679,255.63,2295573.0,258.95,258.88104130628005
44,2013-04-15,271.08,275.12,267.1,3325359.0,267.72,271.5494975755782
45,2013-04-16,269.31,272.8,268.06,2137118.0,272.34,271.3874818002896
49,2013-04-22,259.35,264.6,258.03,2119071.0,263.55,262.9435921571413
52,2013-04-25,271.53,275.8,270.5,6011863.0,274.7,273.8171873660033
55,2013-04-30,249.3701,254.68,248.56,4248790.0,253.81,253.0251914017475
58,2013-05-03,256.14,259.25,254.7,3513934.0,258.05,257.5257661815171
60,2013-05-07,256.31,259.74,252.9101,3133399.0,257.73,256.6771978573214
64,2013-05-13,262.77,265.88,262.0,2149398.0,264.51,264.84420378203157
70,2013-05-21,268.74,270.77,267.66,1740956.0,268.86,269.7068483284318
75,2013-05-29,265.46,268.25,264.844,1903390.0,265.53,267.3975240644256
82,2013-06-07,269.74,280.1,269.13,4632239.0,276.87,277.94316179658114
85,2013-06-12,276.6,276.8,270.45,2237998.0,271.67,272.3323888550749
92,2013-06-21,274.57,275.8399,269.79,4202058.0,273.36,271.8832741259689
103,2013-07-09,291.0,292.57,288.01,2749006.0,291.53,290.05986164817386
108,2013-07-16,307.3,309.39,305.5119,2660120.0,306.87,307.66863686162424
113,2013-07-23,303.16,305.06,300.56,1999344.0,301.06,302.904044134342
122,2013-08-05,303.4,303.62,298.3,2233158.0,300.99,299.8763549821011
124,2013-08-07,300.15,300.99,296.15,1963010.0,296.91,297.98652591902896
140,2013-08-29,281.45,285.98,280.0,1566414.0,283.98,284.4008811776174
141,2013-08-30,284.59,284.87,280.0,1534706.0,280.98,281.59279835101967
142,2013-09-03,284.73,291.39,284.17,2897569.0,288.8,289.96964359642453
152,2013-09-17,297.63,304.65,296.0101,2297156.0,304.17,302.5464471305053
156,2013-09-23,314.01,315.9,308.771,1884997.0,311.49,311.92445614196475
159,2013-09-26,313.9,319.37,313.26,1990182.0,318.12,318.1718035951549
