,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,11.73,11.9,11.67,103499848.0,11.86,11.817240347810962
5,2013-02-15,12.205,12.21,11.97,158078545.0,12.03,12.017438613296136
8,2013-02-21,11.725,11.73,11.35,235454104.0,11.42,11.426082374070283
10,2013-02-25,11.6,11.61,10.98,205958114.0,11.03,11.126276060270401
14,2013-03-01,11.13,11.55,11.02,188886065.0,11.34,11.383267208521525
15,2013-03-04,11.27,11.45,11.22,116254618.0,11.41,11.371979933766893
18,2013-03-07,12.0,12.28,11.98,211034158.0,12.26,12.199427681022044
18,2013-03-07,12.0,12.21,11.91,100885999.0,12.21,12.098968708031322
27,2013-03-20,12.785,12.89,12.71,218914598.0,12.78,12.794740329844549
31,2013-03-26,12.45,12.5,12.15,135478116.0,12.28,12.25434850106722
34,2013-04-01,12.15,12.28,12.1,86222962.0,12.15,12.212441906726223
39,2013-04-08,12.0,12.28,11.98,211034158.0,12.26,12.199427681022044
39,2013-04-08,12.0,12.21,11.91,100885999.0,12.21,12.098968708031322
44,2013-04-15,12.19,12.32,11.97,176079807.0,11.98,12.11748692415329
45,2013-04-16,12.21,12.36,12.08,146976210.0,12.28,12.22403799475305
49,2013-04-22,11.68,11.75,11.57,88381360.0,11.72,11.647068432512167
52,2013-04-25,12.39,12.54,12.36,118551353.0,12.44,12.481009547047025
52,2013-04-25,12.39,12.4,12.2,89290204.0,12.31,12.246711080219663
54,2013-04-29,12.45,12.5,12.15,135478116.0,12.28,12.25434850106722
55,2013-04-30,12.39,12.54,12.36,118551353.0,12.44,12.481009547047025
55,2013-04-30,12.39,12.4,12.2,89290204.0,12.31,12.246711080219663
58,2013-05-03,12.36,12.41,12.205,94175767.0,12.24,12.276041306900028
59,2013-05-06,12.39,12.54,12.36,118551353.0,12.44,12.481009547047025
59,2013-05-06,12.39,12.4,12.2,89290204.0,12.31,12.246711080219663
60,2013-05-07,12.92,13.11,12.76,218010362.0,12.9,12.938527832025358
64,2013-05-13,12.98,13.1,12.95,94167932.0,12.98,13.047890693782708
67,2013-05-16,13.41,13.6,13.4,89070594.0,13.54,13.552308821618931
70,2013-05-21,13.525,13.56,13.36,111706562.0,13.44,13.41898596583236
72,2013-05-23,12.93,12.94,12.63,98246526.0,12.74,12.704047349486684
74,2013-05-28,13.49,13.71,13.45,79592066.0,13.52,13.636291751626443
75,2013-05-29,13.31,13.555,13.27,126364220.0,13.48,13.472924428945174
82,2013-06-07,13.33,13.39,13.15,120915164.0,13.38,13.233127451433289
83,2013-06-10,13.49,13.71,13.45,79592066.0,13.52,13.636291751626443
85,2013-06-12,13.24,13.25,12.97,117108791.0,13.06,13.03442688976335
86,2013-06-13,13.0,13.33,12.93,100791577.0,13.27,13.215039927536045
92,2013-06-21,12.99,13.0,12.39,195921288.0,12.69,12.531800535385194
101,2013-07-05,12.99,13.0,12.39,195921288.0,12.69,12.531800535385194
103,2013-07-09,13.37,13.53,13.25,105958177.0,13.53,13.403644082778888
105,2013-07-11,13.54,13.65,13.41,59709598.0,13.51,13.528406820399347
105,2013-07-11,13.54,13.55,12.94,186419100.0,12.96,13.08260362847053
106,2013-07-12,13.54,13.65,13.41,59709598.0,13.51,13.528406820399347
106,2013-07-12,13.54,13.55,12.94,186419100.0,12.96,13.08260362847053
107,2013-07-15,13.93,14.02,13.77,145681864.0,13.92,13.870803183448505
108,2013-07-16,13.93,14.02,13.77,145681864.0,13.92,13.870803183448505
113,2013-07-23,14.98,15.03,14.86,113562030.0,14.94,14.919584594291745
122,2013-08-05,14.77,14.84,14.7,61560130.0,14.8,14.768705035827356
124,2013-08-07,14.43,14.57,14.25,128491257.0,14.53,14.399773431390814
125,2013-08-08,14.675,14.82,14.61,128943715.0,14.795,14.734294061369877
126,2013-08-09,14.56,14.7,14.48,63276523.0,14.49,14.610324279432932
136,2013-08-23,14.59,14.71,14.5,64808554.0,14.61,14.615839378605333
137,2013-08-26,14.53,14.62,14.4,73498985.0,14.55,14.499951316125063
140,2013-08-29,14.14,14.3,14.12,76617967.0,14.17,14.250577204404792
141,2013-08-30,14.23,14.25,14.07,73084294.0,14.12,14.118614485347859
142,2013-09-03,14.3,14.38,14.18,74553563.0,14.25,14.268871688472013
147,2013-09-10,14.52,14.6,14.26,61460852.0,14.33,14.386139681223385
148,2013-09-11,14.56,14.7,14.48,63276523.0,14.49,14.610324279432932
152,2013-09-17,14.53,14.62,14.4,73498985.0,14.55,14.499951316125063
153,2013-09-18,14.53,14.62,14.4,73498985.0,14.55,14.499951316125063
156,2013-09-23,14.31,14.325,14.09,127074957.0,14.14,14.144582226616269
159,2013-09-26,14.19,14.22,13.98,89211460.0,14.08,14.048384456984545
160,2013-09-27,13.99,14.021,13.9,71687715.0,13.93,13.940076440595721
161,2013-09-30,13.685,13.93,13.6,104231223.0,13.8,13.816576454018717
176,2013-10-21,14.53,14.62,14.4,73498985.0,14.55,14.499951316125063
183,2013-10-30,14.19,14.22,13.98,89211460.0,14.08,14.048384456984545
184,2013-10-31,14.135,14.16,13.96,105546894.0,13.97,14.01357433013717
186,2013-11-04,14.09,14.12,14.0,52953680.0,14.04,14.041026801744817
186,2013-11-04,14.09,14.27,14.0,99269709.0,14.13,14.163318073176894
187,2013-11-05,13.99,14.021,13.9,71687715.0,13.93,13.940076440595721
188,2013-11-06,13.99,14.021,13.9,71687715.0,13.93,13.940076440595721
192,2013-11-12,14.33,14.46,14.26,69369035.0,14.32,14.378755986348256
194,2013-11-14,14.675,14.82,14.61,128943715.0,14.795,14.734294061369877
198,2013-11-20,15.25,15.27,15.08,107174852.0,15.14,15.127662538712256
200,2013-11-22,15.695,15.93,15.64,99867679.0,15.84,15.840390020968323
202,2013-11-26,15.835,15.97,15.81,114833655.0,15.88,15.916661615492751
202,2013-11-26,15.835,15.92,15.79,44288423.0,15.82,15.86639239265956
203,2013-11-27,15.87,16.11,15.81,71110193.0,16.04,16.01865514716609
204,2013-11-29,15.835,15.97,15.81,114833655.0,15.88,15.916661615492751
204,2013-11-29,15.835,15.92,15.79,44288423.0,15.82,15.86639239265956
206,2013-12-03,15.64,15.745,15.58,67899709.0,15.67,15.674910731878414
206,2013-12-03,15.64,15.94,15.58,105591004.0,15.79,15.836073717058396
206,2013-12-03,15.64,15.69,15.52,56218765.0,15.54,15.5850044188336
210,2013-12-09,15.62,15.67,15.52,59181661.0,15.57,15.579571985337596
211,2013-12-10,15.52,15.675,15.51,67486267.0,15.56,15.63436459121896
212,2013-12-11,15.55,15.79,15.48,86184227.0,15.63,15.689836684171771
213,2013-12-12,15.26,15.32,15.26,29934562.0,15.32,15.305191982065672
213,2013-12-12,15.26,15.73,15.17,119428684.0,15.65,15.57622576979061
218,2013-12-19,15.66,15.67,15.5,40953928.0,15.55,15.542970447113237
219,2013-12-20,15.75,15.85,15.66,100196217.0,15.81,15.755252246449789
220,2013-12-23,15.72,15.85,15.65,63310328.0,15.7,15.769043948473815
220,2013-12-23,15.72,15.8,15.68,50292151.0,15.69,15.750321379649458
221,2013-12-24,15.72,15.85,15.65,63310328.0,15.7,15.769043948473815
221,2013-12-24,15.72,15.8,15.68,50292151.0,15.69,15.750321379649458
224,2013-12-30,15.64,15.745,15.58,67899709.0,15.67,15.674910731878414
224,2013-12-30,15.64,15.94,15.58,105591004.0,15.79,15.836073717058396
224,2013-12-30,15.64,15.69,15.52,56218765.0,15.54,15.5850044188336
226,2014-01-02,15.69,16.22,15.62,177294357.0,16.16,16.066084409540935
