,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,19.365,19.385,19.195,14686296.0,19.32,19.27198797635525
3,2013-02-13,20.935,20.935,20.55,27088910.0,20.575,20.653101300838117
5,2013-02-15,20.135,20.6275,20.135,39905824.0,20.62,20.517019972840195
8,2013-02-21,20.36,20.415,19.98,26115732.0,20.04,20.126858742908745
10,2013-02-25,20.03,20.16,19.665,36091098.0,19.705,19.857221660285816
14,2013-03-01,19.86,20.0275,19.73,24473426.0,20.015,19.903470247169242
15,2013-03-04,19.935,20.24,19.815,19551238.0,20.19,20.100566072640532
18,2013-03-07,20.415,20.495,20.305,13347650.0,20.31,20.4151993915173
20,2013-03-11,20.415,20.495,20.305,13347650.0,20.31,20.4151993915173
27,2013-03-20,20.255,20.545,20.225,25300058.0,20.49,20.469021384853413
31,2013-03-26,20.96,21.0,20.655,25929740.0,20.735,20.770402984496858
34,2013-04-01,20.73,21.0325,20.54,20077524.0,20.69,20.840881664444787
39,2013-04-08,20.8,20.855,20.635,19046314.0,20.815,20.733369469079467
43,2013-04-12,20.935,20.935,20.55,27088910.0,20.575,20.653101300838117
44,2013-04-15,20.935,20.935,20.55,27088910.0,20.575,20.653101300838117
45,2013-04-16,20.74,20.815,20.62,32861772.0,20.705,20.7079611339268
47,2013-04-18,20.36,20.415,19.98,26115732.0,20.04,20.126858742908745
49,2013-04-22,20.245,20.31,20.125,27501538.0,20.235,20.210884495802492
52,2013-04-25,20.37,20.51,20.305,24018542.0,20.375,20.43997781761467
55,2013-04-30,20.83,20.84,20.565,17755590.0,20.65,20.6548598977664
58,2013-05-03,21.07,21.375,21.07,15546490.0,21.27,21.32821757599687
60,2013-05-07,21.485,21.625,21.415,18317864.0,21.525,21.5568953604591
64,2013-05-13,21.54,21.6,21.285,19774238.0,21.595,21.40965787885367
70,2013-05-21,20.805,21.205,20.7675,25555556.0,21.115,21.10057759247915
75,2013-05-29,20.88,20.895,20.3859,34549670.0,20.395,20.52137178393116
79,2013-06-04,20.26,20.64,20.165,24826110.0,20.59,20.498069063353643
82,2013-06-07,20.26,20.64,20.165,24826110.0,20.59,20.498069063353643
85,2013-06-12,20.18,20.195,19.63,23779818.0,19.76,19.791698795319935
90,2013-06-19,20.255,20.545,20.225,25300058.0,20.49,20.469021384853413
92,2013-06-21,19.61,19.91,19.445,46302916.0,19.885,19.709982522759173
95,2013-06-26,20.245,20.31,20.125,27501538.0,20.235,20.210884495802492
101,2013-07-05,20.88,20.895,20.3859,34549670.0,20.395,20.52137178393116
103,2013-07-09,21.435,21.54,21.32,22541332.0,21.335,21.44124244336169
108,2013-07-16,22.08,22.17,21.875,17179638.0,21.995,22.013109484263065
113,2013-07-23,22.475,22.705,22.4,23681834.0,22.57,22.608778408114237
122,2013-08-05,22.77,22.98,22.77,15492314.0,22.815,22.951960874723355
124,2013-08-07,22.385,22.655,22.315,19000772.0,22.59,22.559339842791676
125,2013-08-08,22.77,22.98,22.77,15492314.0,22.815,22.951960874723355
140,2013-08-29,20.91,21.355,20.86,19557584.0,21.22,21.238487135739238
141,2013-08-30,21.285,21.285,20.975,19867244.0,21.045,21.06616067219262
142,2013-09-03,21.305,21.58,21.2225,18807442.0,21.37,21.47469431772173
152,2013-09-17,22.285,22.385,22.2,14557338.0,22.225,22.31761910719851
156,2013-09-23,22.04,22.17,21.85,15529686.0,21.97,22.017835439734046
159,2013-09-26,21.72,22.065,21.68,18696348.0,22.05,21.976857115728496
161,2013-09-30,22.115,22.655,22.115,36461366.0,22.5575,22.537730107057087
184,2013-10-31,23.29,24.105,23.29,31185012.0,23.8,23.936862730043657
186,2013-11-04,24.335,24.45,24.0,14786700.0,24.09,24.193433438383984
187,2013-11-05,24.165,24.185,23.675,15553436.0,23.92,23.832281878568214
192,2013-11-12,23.66,23.67,23.2875,16745670.0,23.49,23.405240125327666
194,2013-11-14,23.76,23.89,23.62,12836778.0,23.845,23.77704100643628
198,2013-11-20,23.85,23.925,23.38,16696190.0,23.425,23.57479556289478
202,2013-11-26,25.02,25.1439,24.78,25052424.0,24.89,24.944682425433847
204,2013-11-29,24.865,25.075,24.83,11199172.0,24.935,25.02479032823599
208,2013-12-05,24.335,24.45,24.0,14786700.0,24.09,24.193433438383984
211,2013-12-10,24.62,24.785,24.555,19057324.0,24.695,24.71349510432174
218,2013-12-19,25.12,25.47,24.89,28003482.0,25.45,25.228959961875617
224,2013-12-30,25.78,26.01,25.775,11175472.0,25.935,25.977594793000936
231,2014-01-09,26.45,26.585,26.155,20919264.0,26.44,26.346633952864
233,2014-01-13,26.755,26.845,26.0,23042328.0,26.08,26.272867144971237
240,2014-01-23,26.615,26.79,26.4151,18490640.0,26.54,26.616408460943706
247,2014-02-03,27.37,27.925,27.26,38275880.0,27.855,27.719257156115738
247,2014-02-03,27.37,27.48,26.265,38308378.0,26.385,26.628218422395033
248,2014-02-04,26.46,26.5,26.195,18442148.0,26.455,26.305821146085083
249,2014-02-05,26.55,26.8313,26.415,18229058.0,26.69,26.68440864488581
251,2014-02-07,27.19,27.415,27.095,19547612.0,27.32,27.307539267902865
252,2014-02-10,27.385,27.39,26.645,37937074.0,26.66,26.830219232891366
254,2014-02-12,27.615,27.64,27.5125,16032852.0,27.62,27.57129014599068
263,2014-02-26,25.46,25.4615,25.0975,30516474.0,25.34,25.19054557883711
268,2014-03-05,25.685,26.1275,25.565,33179708.0,25.945,25.943338821209476
269,2014-03-06,26.06,26.16,25.915,25728450.0,26.055,26.034858894970814
270,2014-03-07,26.16,26.185,25.72,25983422.0,25.815,25.85642357347861
