,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,42.705,42.8125,42.2725,5683700.0,42.6575,42.4953580036536
5,2013-02-15,43.6875,43.96,43.1525,5413348.0,43.7575,43.522484810373314
8,2013-02-21,42.7225,42.79,41.9425,5466956.0,42.1375,42.210210670198045
10,2013-02-25,42.4475,42.74,40.82,10160304.0,40.8775,41.41932210366401
14,2013-03-01,44.375,45.81,42.6975,26724228.0,45.5,44.10277266338478
15,2013-03-04,45.505,46.6575,45.37,9553272.0,46.4725,46.300552893653574
18,2013-03-07,46.6175,46.6385,46.02,3819964.0,46.1175,46.22113429082927
27,2013-03-20,43.2875,43.4225,42.945,4591140.0,43.1275,43.17368649640757
31,2013-03-26,43.375,43.7025,42.798,4499348.0,43.3975,43.22171678449643
34,2013-04-01,44.675,44.9138,43.6825,4824468.0,43.8475,44.12718485790934
37,2013-04-04,42.13,43.16,42.01,4638144.0,42.54,42.86341551405076
39,2013-04-08,41.24,41.7975,40.9925,3674200.0,41.715,41.521497729202835
44,2013-04-15,41.995,42.485,41.295,7119864.0,41.295,41.85663825539319
45,2013-04-16,41.685,42.6,41.5175,6038420.0,42.5975,42.2891168408916
49,2013-04-22,41.06,41.17,40.13,4897810.0,40.32,40.46342013672711
52,2013-04-25,41.1,41.17,40.62,5149160.0,40.76,40.82647645112404
55,2013-04-30,41.05,41.24,40.71,3806589.0,41.11,40.98197460471773
58,2013-05-03,42.27,42.5,42.06,2897014.0,42.24,42.338118090539844
60,2013-05-07,42.64,42.85,42.11,2802740.0,42.42,42.441751760334675
64,2013-05-13,44.33,44.56,43.83,2944370.0,43.96,44.17024534822733
70,2013-05-21,47.05,47.11,46.3,6112756.0,46.33,46.55422540065121
75,2013-05-29,41.18,42.36,40.85,8799416.0,41.93,41.844657624109686
82,2013-06-07,38.38,39.64,38.27,10148789.0,39.61,39.27201867085906
85,2013-06-12,38.12,38.51,37.29,7768020.0,37.58,37.80077613487169
92,2013-06-21,37.0,38.83,36.09,15550692.0,38.3,37.66978880085847
103,2013-07-09,38.49,38.81,37.94,3796101.0,38.72,38.35386689805635
107,2013-07-15,42.27,42.5,42.06,2897014.0,42.24,42.338118090539844
108,2013-07-16,41.94,42.05,41.4,3900606.0,41.84,41.65433596212125
113,2013-07-23,42.13,43.16,42.01,4638144.0,42.54,42.86341551405076
122,2013-08-05,45.31,46.0999,45.25,2620940.0,45.69,45.918711434564614
124,2013-08-07,45.2,45.205,44.185,3000337.0,44.92,44.46592421719335
140,2013-08-29,42.36,43.98,42.11,12929348.0,43.65,43.40265348732386
141,2013-08-30,47.67,49.94,47.38,31853689.0,49.13,49.09806367713834
142,2013-09-03,49.46,50.15,49.13,10222733.0,49.58,49.75290550120282
152,2013-09-17,49.85,50.47,49.7,3167025.0,49.9,50.259192907111405
156,2013-09-23,52.83,53.65,51.89,4339282.0,52.35,52.76409558839156
159,2013-09-26,52.86,53.94,52.85,4141345.0,53.32,53.722018174150655
161,2013-09-30,51.14,52.25,50.76,5051473.0,51.91,51.72951962136174
172,2013-10-15,51.12,52.6,50.99,5635312.0,52.09,52.182039810212544
184,2013-10-31,52.79,53.709,52.51,3504408.0,53.36,53.32101316339907
186,2013-11-04,54.5,55.67,54.15,4889201.0,55.58,55.15964318924964
187,2013-11-05,55.4,55.71,54.85,4262239.0,55.69,55.25859325064727
192,2013-11-12,56.13,57.5,55.96,6072025.0,56.71,57.07741279946999
194,2013-11-14,57.09,57.69,56.735,4851341.0,56.99,57.318103390886996
198,2013-11-20,53.46,54.8,53.33,7664641.0,53.61,54.40957005188256
202,2013-11-26,52.56,53.14,52.0,5694969.0,52.3,52.60744161095893
204,2013-11-29,51.12,52.6,50.99,5635312.0,52.09,52.182039810212544
210,2013-12-09,53.62,54.28,52.48,4800379.0,52.64,53.2748974244977
211,2013-12-10,53.98,54.54,53.66,3986423.0,53.72,54.20816989327488
219,2013-12-20,53.18,53.71,51.66,6947280.0,51.78,52.42982926492435
224,2013-12-30,54.27,55.24,53.97,3743355.0,55.17,54.82303741545337
231,2014-01-09,57.01,57.01,55.65,5022109.0,56.29,55.995742112528916
232,2014-01-10,56.52,56.62,55.08,4238210.0,55.64,55.520849641131925
233,2014-01-13,56.97,57.37,55.8601,5326555.0,56.21,56.45195789808757
240,2014-01-23,60.08,60.15,58.92,4889443.0,60.08,59.27695963996449
247,2014-02-03,61.1,61.2,58.07,5492353.0,58.47,58.846045829543435
248,2014-02-04,59.42,60.595,59.32,5355070.0,59.58,60.27949001180043
248,2014-02-04,59.42,59.58,58.54,3062474.0,58.88,58.91178866345573
249,2014-02-05,60.57,61.88,59.76,4864618.0,61.63,60.97445639074057
251,2014-02-07,62.06,62.67,61.22,7563323.0,61.55,61.9047465459525
254,2014-02-12,61.55,61.86,61.1,4794001.0,61.48,61.48669707567898
263,2014-02-26,63.78,64.74,62.685,7287770.0,63.74,63.688609373191255
268,2014-03-05,63.07,63.75,62.94,5465394.0,63.68,63.53432616845335
269,2014-03-06,63.75,63.87,62.731,3962789.0,63.14,63.09992418761938
270,2014-03-07,63.2,63.355,59.73,11249131.0,60.74,60.619504902204014
271,2014-03-10,60.74,60.98,59.58,6014698.0,59.78,60.060543328420394
283,2014-03-26,57.08,57.21,55.14,6485360.0,55.21,55.701458078343485
295,2014-04-11,53.82,54.5,52.7621,6425772.0,52.87,53.548315605610135
298,2014-04-16,55.96,56.075,54.51,4516847.0,55.98,54.96304749515888
