,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,21.24,21.34,21.15,33551332.0,21.27,21.250310007485705
3,2013-02-13,21.0,21.02,20.71,33005814.0,20.76,20.80217928941937
3,2013-02-13,21.0,21.195,20.65,37362549.0,20.66,20.904682734101726
5,2013-02-15,20.94,21.07,20.92,44439532.0,20.99,21.0213754543251
5,2013-02-15,20.94,20.96,20.69,27627515.0,20.845,20.77284192951442
8,2013-02-21,21.0,21.02,20.71,33005814.0,20.76,20.80217928941937
8,2013-02-21,21.0,21.195,20.65,37362549.0,20.66,20.904682734101726
10,2013-02-25,21.0,21.02,20.71,33005814.0,20.76,20.80217928941937
10,2013-02-25,21.0,21.195,20.65,37362549.0,20.66,20.904682734101726
14,2013-03-01,20.71,20.9,20.55,24174763.0,20.83,20.75115691806238
15,2013-03-04,20.74,20.78,20.58,22632309.0,20.74,20.655886251861446
17,2013-03-06,21.3,21.41,21.08,48629279.0,21.21,21.220317345006062
18,2013-03-07,21.72,21.97,21.68,37372123.0,21.802,21.88896225357111
19,2013-03-08,21.84,22.02,21.55,43575225.0,21.93,21.770241967514988
27,2013-03-20,21.63,21.74,21.58,24570873.0,21.67,21.679806142119208
27,2013-03-20,21.63,21.82,21.6,26164042.0,21.69,21.76044835478183
28,2013-03-21,21.0,21.02,20.71,33005814.0,20.76,20.80217928941937
28,2013-03-21,21.0,21.195,20.65,37362549.0,20.66,20.904682734101726
29,2013-03-22,20.93,20.96,20.76,41962481.0,20.83,20.822177419867128
31,2013-03-26,20.94,21.07,20.92,44439532.0,20.99,21.0213754543251
31,2013-03-26,20.94,20.96,20.69,27627515.0,20.845,20.77284192951442
32,2013-03-27,20.68,20.71,20.29,54596335.0,20.38,20.411676666801387
34,2013-04-01,21.04,21.38,20.78,40009110.0,20.83,21.128958276128035
39,2013-04-08,20.69,20.73,20.47,22968094.0,20.57,20.563328213869884
44,2013-04-15,21.45,21.64,21.05,27956020.0,21.05,21.31783178742923
45,2013-04-16,21.145,21.17,20.95,32745039.0,21.16,21.01850000711468
47,2013-04-18,20.74,20.78,20.58,22632309.0,20.74,20.655886251861446
49,2013-04-22,20.53,20.65,20.27,31452013.0,20.59,20.43901236895528
52,2013-04-25,20.5,20.77,20.39,40488478.0,20.64,20.637593631705773
55,2013-04-30,20.99,21.25,20.8,37776985.0,20.92,21.062488131024946
58,2013-05-03,20.93,20.96,20.76,41962481.0,20.83,20.822177419867128
60,2013-05-07,20.68,20.71,20.29,54596335.0,20.38,20.411676666801387
64,2013-05-13,21.14,21.28,21.05,35335893.0,21.27,21.183367397727622
67,2013-05-16,23.51,23.66,22.81,32640975.0,22.89,23.125092606790453
70,2013-05-21,23.89,24.06,23.59,48123360.0,24.01,23.798329648367083
71,2013-05-22,24.0,24.15,23.88,32212022.0,24.08,24.02533458563825
72,2013-05-23,23.12,23.53,23.02,40334031.0,23.431,23.376305938205334
75,2013-05-29,23.71,24.24,23.7,37313001.0,24.12,24.130665200245232
82,2013-06-07,24.62,24.71,24.45,20646826.0,24.71,24.56283766941851
82,2013-06-07,24.62,24.78,24.38,42729211.0,24.49,24.56301642801719
85,2013-06-12,24.22,24.31,23.98,29976214.0,23.99,24.110344182705607
85,2013-06-12,24.22,24.65,24.17,65262617.0,24.48,24.51599520421057
92,2013-06-21,24.38,24.45,24.11,26910350.0,24.275,24.233179089841897
92,2013-06-21,24.38,24.62,24.21,62052778.0,24.481,24.43248332135957
95,2013-06-26,24.3,24.36,23.69,54578710.0,23.77,23.892768750619904
99,2013-07-02,24.24,24.445,24.12,39392687.0,24.35,24.308033102775287
103,2013-07-09,24.76,25.2,24.74,46101840.0,25.155,25.09217637609698
108,2013-07-16,25.86,25.99,25.63,26336141.0,25.71,25.788778031711267
111,2013-07-19,25.86,25.99,25.63,26336141.0,25.71,25.788778031711267
113,2013-07-23,25.7,25.77,25.49,27953348.0,25.56,25.592331662590066
114,2013-07-24,25.84,26.0,25.575,29570341.0,25.63,25.76787037095885
122,2013-08-05,26.11,26.42,26.11,28703510.0,26.31,26.351302120563755
124,2013-08-07,26.31,26.486,26.12,33478728.0,26.12,26.301827707941197
125,2013-08-08,26.27,26.56,26.25,28791720.0,26.55,26.479952578741532
126,2013-08-09,26.3,26.52,25.96,32744930.0,26.49,26.2227189206798
127,2013-08-12,25.86,25.99,25.63,26336141.0,25.71,25.788778031711267
129,2013-08-14,26.45,26.93,26.235,25245390.0,26.83,26.682123106932945
130,2013-08-15,24.39,24.545,24.3,19982797.0,24.37,24.444859197774353
140,2013-08-29,23.47,23.75,23.45,26605534.0,23.45,23.678727592145968
141,2013-08-30,23.46,23.55,23.22,35248490.0,23.31,23.34992010369371
142,2013-09-03,23.58,23.77,23.46,31874984.0,23.48,23.63996642717052
152,2013-09-17,24.39,24.545,24.3,19982797.0,24.37,24.444859197774353
155,2013-09-20,24.73,24.95,24.71,22485479.0,24.83,24.88723440254401
155,2013-09-20,24.73,25.2,24.73,28708554.0,25.12,25.10861016289233
156,2013-09-23,24.38,24.45,24.11,26910350.0,24.275,24.233179089841897
156,2013-09-23,24.38,24.62,24.21,62052778.0,24.481,24.43248332135957
157,2013-09-24,24.14,24.445,24.06,40477610.0,24.37,24.320059873032076
159,2013-09-26,24.3,24.36,23.69,54578710.0,23.77,23.892768750619904
161,2013-09-30,23.12,23.53,23.02,40334031.0,23.431,23.376305938205334
178,2013-10-23,22.61,22.92,22.52,70052969.0,22.85,22.778654999540297
178,2013-10-23,22.61,23.245,22.42,46343551.0,23.065,22.989960761116556
184,2013-10-31,22.64,22.71,22.44,34498901.0,22.56,22.543641698974486
186,2013-11-04,22.55,22.64,22.4214,28616959.0,22.58,22.52361159675864
186,2013-11-04,22.55,22.9901,22.43,47254044.0,22.46,22.81586126477452
187,2013-11-05,22.61,22.92,22.52,70052969.0,22.85,22.778654999540297
187,2013-11-05,22.61,23.245,22.42,46343551.0,23.065,22.989960761116556
192,2013-11-12,23.43,23.84,23.43,38031125.0,23.73,23.75743145935351
193,2013-11-13,23.6,23.8,23.46,19947265.0,23.78,23.658947943263854
194,2013-11-14,20.935,21.44,20.77,243255407.0,21.365,21.147882369321177
198,2013-11-20,21.47,21.47,21.22,44305728.0,21.23,21.278141938712785
201,2013-11-25,21.45,21.64,21.05,27956020.0,21.05,21.31783178742923
202,2013-11-26,21.3,21.41,21.08,48629279.0,21.21,21.220317345006062
204,2013-11-29,21.39,21.44,21.2,25043707.0,21.25,21.29057566894858
210,2013-12-09,21.3,21.41,21.08,48629279.0,21.21,21.220317345006062
211,2013-12-10,21.2602,21.34,21.15,45957588.0,21.21,21.234190725927373
212,2013-12-11,20.99,21.25,20.8,37776985.0,20.92,21.062488131024946
216,2013-12-17,20.74,20.78,20.58,22632309.0,20.74,20.655886251861446
222,2013-12-26,21.72,21.97,21.68,37372123.0,21.802,21.88896225357111
224,2013-12-30,22.0,22.33,22.0,27713912.0,22.25,22.267697678052823
230,2014-01-08,22.29,22.31,21.92,31794896.0,22.09,22.033061817097575
231,2014-01-09,22.29,22.31,21.92,31794896.0,22.09,22.033061817097575
233,2014-01-13,22.39,22.82,22.14,59616556.0,22.19,22.550597813399474
240,2014-01-23,22.69,22.85,22.46,37030454.0,22.56,22.64673576015196
243,2014-01-28,21.88,21.98,21.75,23573297.0,21.82,21.864546941503328
247,2014-02-03,21.93,21.95,21.455,60696033.0,21.55,21.58776407811361
249,2014-02-05,21.69,22.07,21.575,46307515.0,21.98,21.911302715350818
251,2014-02-07,22.52,22.72,22.3,54150067.0,22.67,22.510847288644932
252,2014-02-10,22.64,22.71,22.44,34498901.0,22.56,22.543641698974486
254,2014-02-12,22.61,22.92,22.52,70052969.0,22.85,22.778654999540297
254,2014-02-12,22.61,23.245,22.42,46343551.0,23.065,22.989960761116556
263,2014-02-26,21.84,22.02,21.55,43575225.0,21.93,21.770241967514988
264,2014-02-27,21.88,21.98,21.75,23573297.0,21.82,21.864546941503328
268,2014-03-05,21.9,22.05,21.81,28206193.0,21.87,21.95292987889595
269,2014-03-06,21.88,21.98,21.75,23573297.0,21.82,21.864546941503328
270,2014-03-07,21.92,21.94,21.66,33180970.0,21.73,21.741312215232707
271,2014-03-10,21.63,21.74,21.58,24570873.0,21.67,21.679806142119208
271,2014-03-10,21.63,21.82,21.6,26164042.0,21.69,21.76044835478183
278,2014-03-19,21.69,22.07,21.575,46307515.0,21.98,21.911302715350818
282,2014-03-25,21.69,22.07,21.575,46307515.0,21.98,21.911302715350818
283,2014-03-26,22.44,22.69,22.32,67102413.0,22.32,22.53862992245681
292,2014-04-08,22.64,22.71,22.44,34498901.0,22.56,22.543641698974486
295,2014-04-11,22.55,22.64,22.4214,28616959.0,22.58,22.52361159675864
295,2014-04-11,22.55,22.9901,22.43,47254044.0,22.46,22.81586126477452
296,2014-04-14,22.63,23.02,22.48,38842141.0,22.93,22.83578512043042
297,2014-04-15,22.84,22.89,22.63,21815152.0,22.72,22.724448590755017
298,2014-04-16,23.03,23.15,22.83,31451928.0,23.03,22.97593925573318
299,2014-04-17,23.01,23.29,22.78,47813602.0,23.21,23.06232489998389
301,2014-04-22,23.43,23.84,23.43,38031125.0,23.73,23.75743145935351
302,2014-04-23,23.52,23.57,23.24,29973292.0,23.5,23.350005478782435
303,2014-04-24,23.64,23.64,23.24,33976746.0,23.33,23.341108511955046
308,2014-05-01,23.14,23.15,22.91,17463860.0,23.01,22.97780077009493
310,2014-05-05,22.9,23.08,22.69,34386940.0,22.93,22.88828713339301
310,2014-05-05,22.9,23.0,22.72,17859321.0,22.955,22.849120654811227
311,2014-05-06,22.84,22.89,22.63,21815152.0,22.72,22.724448590755017
313,2014-05-08,22.9,23.08,22.69,34386940.0,22.93,22.88828713339301
313,2014-05-08,22.9,23.0,22.72,17859321.0,22.955,22.849120654811227
316,2014-05-13,23.14,23.15,22.91,17463860.0,23.01,22.97780077009493
