,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,54.65,54.98,54.59,6358524.0,54.75,54.86634538640616
5,2013-02-15,55.05,55.62,54.89,17783635.0,55.61,55.37928934656141
8,2013-02-21,54.58,54.82,54.01,6802578.0,54.17,54.354035824214925
10,2013-02-25,54.6,54.79,53.59,9831166.0,53.59,54.01433978533528
14,2013-03-01,54.31,55.37,54.3,8314387.0,55.33,55.118473875933404
15,2013-03-04,55.16,55.84,55.0,6356424.0,55.8,55.56916938953717
18,2013-03-07,56.36,56.4655,56.01,4814197.0,56.32,56.19290214540132
27,2013-03-20,56.59,57.1499,56.54,6018271.0,56.94,56.98877072703877
31,2013-03-26,56.41,56.73,56.33,4675601.0,56.63,56.60393059106577
33,2013-03-28,56.59,57.1499,56.54,6018271.0,56.94,56.98877072703877
34,2013-04-01,56.89,57.14,56.15,6728034.0,56.69,56.54747210056145
38,2013-04-05,56.89,57.14,56.15,6728034.0,56.69,56.54747210056145
39,2013-04-08,57.83,58.82,57.76,9796152.0,58.82,58.542564980415776
44,2013-04-15,60.26,60.67,58.84,12027906.0,58.88,59.54291392223424
45,2013-04-16,59.26,60.75,59.08,10307479.0,60.75,60.27245667622305
49,2013-04-22,61.59,62.1,61.15,6307788.0,62.01,61.66607323533571
52,2013-04-25,62.01,62.17,61.55,6683979.0,62.0,61.805581339174424
55,2013-04-30,62.93,63.08,62.44,8529501.0,62.84,62.69679885740953
58,2013-05-03,64.1801,64.85,63.875,9196237.0,64.8,64.47820263134422
60,2013-05-07,65.44,66.09,64.77,14407218.0,66.07,65.45736934291709
64,2013-05-13,66.96,67.52,66.92,5194936.0,67.32,67.36831342163102
70,2013-05-21,66.35,66.4,65.71,7359058.0,65.83,65.93118539167654
75,2013-05-29,66.37,66.48,65.74,6954404.0,66.26,66.00399852964706
82,2013-06-07,63.63,64.87,63.25,7610904.0,64.85,64.30587250866704
85,2013-06-12,64.32,64.45,62.865,7662841.0,62.99,63.36391406033369
92,2013-06-21,62.62,63.08,61.82,11892309.0,62.73,62.39612326434986
103,2013-07-09,65.32,65.54,64.65,4556432.0,64.94,65.00724490004731
108,2013-07-16,65.95,66.1,64.93,7470773.0,65.03,65.3284549848865
113,2013-07-23,64.6,64.77,64.33,4534425.0,64.45,64.54241943692536
115,2013-07-25,64.32,64.45,62.865,7662841.0,62.99,63.36391406033369
122,2013-08-05,66.5,66.54,65.61,7265776.0,66.02,65.89024121756044
124,2013-08-07,64.93,66.3,64.12,16970485.0,65.91,65.39271328833968
140,2013-08-29,60.77,61.52,60.55,5396200.0,61.08,61.189359604383725
141,2013-08-30,61.14,61.27,60.55,5404116.0,60.83,60.81681429200086
142,2013-09-03,61.42,61.99,60.6,7016364.0,60.93,61.26318734181964
152,2013-09-17,66.83,67.2,66.72,6451520.0,66.98,67.04293499867538
156,2013-09-23,65.04,65.48,64.68,8286597.0,64.75,65.12298594436652
159,2013-09-26,64.36,65.29,64.25,6971153.0,65.24,64.99820585732326
161,2013-09-30,64.73,64.95,64.39,7463188.0,64.49,64.66008248334752
175,2013-10-18,66.5,66.54,65.61,7265776.0,66.02,65.89024121756044
182,2013-10-29,69.12,69.9175,69.08,4729280.0,69.23,69.7091916021634
184,2013-10-31,68.47,69.3,68.35,5706091.0,68.59,69.02539549482162
186,2013-11-04,69.41,69.55,68.41,4790193.0,68.81,68.79544151019181
187,2013-11-05,68.77,69.055,68.06,5148448.0,68.85,68.47831225715358
192,2013-11-12,68.33,68.45,67.4237,6586688.0,67.77,67.76929809476405
194,2013-11-14,69.14,70.15,69.0,7246568.0,70.02,69.81821315160155
198,2013-11-20,69.12,69.9175,69.08,4729280.0,69.23,69.7091916021634
202,2013-11-26,69.92,71.69,69.9,8850128.0,71.18,71.26462636549843
204,2013-11-29,71.04,71.27,70.39,4800980.0,70.54,70.75092026293504
211,2013-12-10,70.91,71.645,70.9,7112234.0,71.57,71.47488408175911
224,2013-12-30,74.99,76.54,74.89,8579170.0,76.23,76.10981292785169
231,2014-01-09,75.46,75.46,74.32,8077726.0,74.9,74.63883308832473
232,2014-01-10,75.08,75.7,74.61,11526738.0,75.67,75.22252980138902
233,2014-01-13,74.9,75.13,73.045,8248787.0,73.27,73.7292170073246
