,date,open,high,low,volume,Actual,Predicted
1,2014-03-28,561.2,566.43,558.67,41003.0,559.99,563.35245758461
2,2014-03-31,566.89,567.0,556.93,10772.0,556.97,558.962341218881
5,2014-04-03,569.85,587.28,564.13,5087530.0,569.74,579.3435218975658
8,2014-04-08,542.6,555.0,541.61,3152406.0,554.9,552.0074166361236
14,2014-04-16,543.0,557.0,540.0,4879889.0,556.54,552.2686203185481
18,2014-04-23,533.79,533.87,526.25,2051066.0,526.94,528.3892160173631
27,2014-05-06,525.23,526.81,515.06,1684381.0,515.14,518.5500059485862
30,2014-05-09,510.75,519.9,504.2,2432783.0,518.73,512.8142743932402
31,2014-05-12,523.51,530.19,519.01,1908392.0,529.92,525.437074589442
31,2014-05-12,523.51,528.5,518.66,1989117.0,518.66,523.9365466169579
34,2014-05-15,525.7,525.87,517.42,1703758.0,519.98,519.6313318927071
37,2014-05-20,529.74,536.23,526.3,1780113.0,529.77,532.4162889910457
40,2014-05-23,547.26,553.64,543.7,1929632.0,552.7,549.8131544010051
45,2014-06-02,560.7,560.9,545.73,1434989.0,553.93,548.8818283417519
54,2014-06-13,552.26,552.3,545.56,1217176.0,551.76,547.3663629736338
55,2014-06-16,549.26,549.62,541.52,1704027.0,544.28,543.8220032847138
60,2014-06-23,555.15,565.0,554.25,1534659.0,564.95,562.4045213389879
62,2014-06-25,565.26,579.96,565.22,1964447.0,578.65,576.8749492143855
65,2014-06-30,578.66,579.57,574.75,1310909.0,575.28,576.8479751847177
75,2014-07-15,585.74,585.8045,576.56,1618815.0,584.78,578.8758488509628
77,2014-07-17,579.53,580.99,568.61,3015475.0,573.7299,572.5202831143275
79,2014-07-21,591.75,594.4,585.2326,2060334.0,589.47,589.1579991911018
85,2014-07-29,588.75,589.7,583.515,1346647.0,585.61,585.8500643776403
97,2014-08-14,576.18,577.9,570.88,982926.0,574.65,573.6732882964212
101,2014-08-20,585.88,586.7,582.57,1034779.0,584.49,584.458394748581
103,2014-08-22,583.59,585.236,580.64,789484.0,582.56,583.009706664607
108,2014-08-29,571.33,572.04,567.0692,1081231.0,571.6,569.0055188488625
113,2014-09-08,586.6,591.77,586.3,1429101.0,589.72,591.0043928015484
122,2014-09-19,591.5,596.48,589.5,3727045.0,596.08,594.8881672208
140,2014-10-15,531.01,532.8,518.3,3712536.0,530.03,522.814416326791
141,2014-10-16,519.0,529.43,515.0,3698423.0,524.51,524.5063691669898
142,2014-10-17,527.25,530.98,508.53,5530674.0,511.17,515.741972939856
144,2014-10-21,525.19,526.79,519.11,2332531.0,526.54,522.2005868994124
145,2014-10-22,529.89,539.8,528.8,2917183.0,532.71,537.3391214966008
149,2014-10-28,543.0,557.0,540.0,4879889.0,556.54,552.2686203185481
150,2014-10-29,550.0,554.19,546.98,1767107.0,549.33,551.3988357449191
154,2014-11-04,553.0,555.28,548.13,1892323.0,548.34,551.4656618734381
154,2014-11-04,553.0,555.5,549.3,1240761.0,554.11,552.4665490468213
158,2014-11-10,541.46,549.59,541.02,1131546.0,547.49,547.7499609492402
166,2014-11-20,531.25,532.6,525.8,1371819.0,526.4,528.3884181091134
175,2014-12-04,531.16,537.34,528.59,1392208.0,537.31,534.2646082901337
181,2014-12-12,523.51,530.19,519.01,1908392.0,529.92,525.437074589442
181,2014-12-12,523.51,528.5,518.66,1989117.0,518.66,523.9365466169579
193,2014-12-31,531.25,532.6,525.8,1371819.0,526.4,528.3884181091134
196,2015-01-06,515.0,516.175,501.05,2891950.0,501.96,505.06959286500535
200,2015-01-12,494.94,495.976,487.56,2320446.0,492.55,490.3856319004654
202,2015-01-14,494.65,503.23,493.0,2229638.0,500.87,500.4415794648487
204,2015-01-16,500.01,508.19,500.0,2292043.0,508.08,506.9441502187555
214,2015-02-02,531.73,533.0,518.55,2841976.0,528.48,522.538154124595
215,2015-02-03,528.0,533.4,523.26,2033085.0,529.24,528.8336691235422
219,2015-02-09,528.0,533.4,523.26,2033085.0,529.24,528.8336691235422
230,2015-02-25,535.9,546.22,535.445,1821041.0,543.87,543.9237419013291
231,2015-02-26,543.21,556.14,541.5,2305219.0,555.48,552.1700939754181
236,2015-03-05,575.02,577.91,573.41,1385818.0,575.33,576.6276046342701
239,2015-03-10,564.25,564.85,554.73,1787357.0,555.01,557.495615354367
240,2015-03-11,555.14,558.14,550.68,1815763.0,551.18,554.461202436714
247,2015-03-20,561.65,561.72,559.05,2609690.0,560.36,560.6609340628768
249,2015-03-24,562.56,574.59,561.21,2576234.0,570.19,571.2717474060219
251,2015-03-26,557.59,558.9,550.65,1568331.0,555.17,553.5015963500155
252,2015-03-27,553.0,555.28,548.13,1892323.0,548.34,551.4656618734381
252,2015-03-27,553.0,555.5,549.3,1240761.0,554.11,552.4665490468213
253,2015-03-30,551.62,553.47,548.17,1283958.0,552.03,550.8411778594682
254,2015-03-31,550.0,554.19,546.98,1767107.0,549.33,551.3988357449191
255,2015-04-01,548.6,551.14,539.5,1957718.0,542.56,543.6300326870797
261,2015-04-10,542.29,542.29,537.31,1405574.0,540.01,538.8799055907136
262,2015-04-13,538.41,544.06,537.31,1640809.0,539.17,542.4662607630208
264,2015-04-15,528.7,534.73,523.22,2312512.0,532.53,529.4235462272993
266,2015-04-17,528.66,529.84,521.01,2145955.0,524.05,523.9761521076425
267,2015-04-20,525.6,536.09,524.5,1675487.0,535.38,533.1429773597629
270,2015-04-23,541.0,550.96,540.23,4173376.0,547.0,549.0885777106829
272,2015-04-27,563.39,565.95,553.2001,2398039.0,555.37,557.6268524323212
278,2015-05-05,538.21,539.74,530.3906,1383068.0,530.8,533.4542318353091
279,2015-05-06,531.24,532.38,521.085,1566987.0,524.22,524.2333827032464
283,2015-05-12,531.6,533.2089,525.26,1634174.0,529.04,528.2268074134123
294,2015-05-28,538.01,540.61,536.25,1029849.0,539.78,539.1439083459518
295,2015-05-29,537.37,538.63,531.45,2597407.0,532.11,534.3541690027454
298,2015-06-03,539.91,543.5,537.11,1717036.0,540.31,541.0395275542385
299,2015-06-04,537.76,540.59,534.32,1348337.0,536.7,537.6960113634725
304,2015-06-11,538.425,538.98,533.02,1217536.0,534.61,534.9985116372486
305,2015-06-12,531.6,533.2089,525.26,1634174.0,529.04,528.2268074134123
306,2015-06-15,528.0,533.4,523.26,2033085.0,529.24,528.8336691235422
308,2015-06-17,529.37,530.98,525.1,1294216.0,529.26,527.6881255695209
310,2015-06-19,537.21,538.25,533.01,1893497.0,536.69,535.3366367807945
311,2015-06-22,539.59,543.74,537.53,1250282.0,538.19,541.6423040610199
312,2015-06-23,539.64,541.499,535.25,1197450.0,540.48,538.0234166461646
316,2015-06-29,525.01,528.61,520.54,1937821.0,521.52,524.7485938948336
320,2015-07-06,519.5,525.25,519.0,1280525.0,522.86,524.0300554701258
330,2015-07-20,659.24,668.88,653.01,5860872.0,663.02,662.9771872068354
331,2015-07-21,655.21,673.0,654.3,3377196.0,662.3,668.7745632236846
345,2015-08-10,639.48,643.44,631.249,1809205.0,633.73,636.3583633775108
351,2015-08-18,661.9,664.0,653.46,1456059.0,656.13,657.1956911983567
352,2015-08-19,656.6,667.0,654.19,2134098.0,660.9,663.2313798658937
356,2015-08-25,614.91,617.45,581.11,3537966.0,582.06,589.1977926319007
358,2015-08-27,639.4,643.59,622.0,3491336.0,637.61,628.9879532629068
362,2015-09-02,605.68,614.34,599.71,2575620.0,614.34,608.0434704170776
363,2015-09-03,617.0,619.71,602.8213,1759572.0,606.25,607.8254449727796
364,2015-09-04,600.0,603.47,595.25,2089453.0,600.7,599.5360475953081
366,2015-09-09,621.22,626.52,609.6,1702094.0,612.72,616.104399781399
367,2015-09-10,613.1,624.16,611.43,1905276.0,621.35,620.7318528774481
372,2015-09-17,637.79,650.9,635.02,2274690.0,642.9,646.0801277738841
378,2015-09-25,629.77,629.77,611.0,2174009.0,611.97,614.8142066717493
382,2015-10-01,608.37,612.09,599.85,1867601.0,611.29,604.8024766894112
385,2015-10-06,638.84,649.25,636.5295,2236847.0,645.44,645.5675719572741
395,2015-10-20,664.04,664.7197,644.195,2498215.0,650.28,648.7753951179884
402,2015-10-29,710.5,718.26,710.01,1455965.0,716.92,716.7727851985057
408,2015-11-06,731.5,735.41,727.01,1511599.0,733.76,731.5970451906239
413,2015-11-13,729.17,731.15,716.73,2075504.0,717.0,721.1818007239533
416,2015-11-18,727.58,741.41,727.0,1684259.0,740.0,738.2360392019068
420,2015-11-24,752.0,755.279,737.63,2334197.0,748.28,743.3847736846534
422,2015-11-27,748.46,753.41,747.49,838528.0,750.26,752.1847498782475
424,2015-12-01,747.11,768.95,746.7,2134621.0,767.04,763.8318572044724
425,2015-12-02,768.9,775.955,758.96,2230373.0,762.38,766.8119158759409
432,2015-12-11,741.16,745.71,736.75,2224410.0,738.87,741.9783706165166
435,2015-12-16,750.0,760.59,739.435,1993251.0,758.09,749.8438870186259
436,2015-12-17,762.42,762.68,749.0,1553418.0,749.43,752.2590566240127
440,2015-12-23,753.47,754.21,744.0,1566726.0,750.31,747.0413318450819
443,2015-12-29,766.69,779.98,766.43,1765012.0,776.6,777.3003217936629
447,2016-01-05,746.45,752.0,738.64,1950691.0,742.58,745.0072782213906
456,2016-01-19,703.3,709.98,693.4101,2268078.0,701.79,700.9115400083717
458,2016-01-21,702.18,719.19,694.46,2412211.0,706.59,709.1478816456014
460,2016-01-25,723.58,729.68,710.01,1711716.0,711.67,717.4971754706705
471,2016-02-09,672.32,699.9,668.77,3608914.0,678.11,690.7634155183453
474,2016-02-12,690.26,693.75,678.6,2141373.0,682.4,683.9997995801996
479,2016-02-22,707.45,713.24,702.51,1949816.0,706.46,708.5972367230495
482,2016-02-25,700.01,705.98,690.585,1642166.0,705.75,697.3475633120728
484,2016-02-29,700.32,710.89,697.68,2481145.0,697.77,707.0181384642128
487,2016-03-03,718.68,719.45,706.02,1957974.0,712.42,709.586708012815
493,2016-03-11,720.0,726.92,717.125,1970815.0,726.82,723.7581124238168
494,2016-03-14,726.81,735.5,725.15,1718252.0,730.49,732.8350585786342
496,2016-03-16,726.37,737.47,724.51,1624370.0,736.09,733.9389902174918
498,2016-03-18,741.86,743.24,736.56,1259823.0,742.74,739.3846217268052
503,2016-03-28,736.79,738.99,732.5,1301327.0,733.53,735.7783745598763
505,2016-03-30,750.1,757.88,748.74,1782427.0,750.53,755.7710894977577
511,2016-04-07,745.37,746.9999,736.28,1453185.0,740.28,739.8716703374314
522,2016-04-22,726.3,736.12,713.61,5951938.0,718.77,724.7238132520785
