,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,66.87,66.98,66.225,3952707.0,66.38,66.54573487542469
3,2013-02-13,67.52,67.989,66.8,8132222.0,67.52,67.31142256981694
5,2013-02-15,67.52,67.989,66.8,8132222.0,67.52,67.31142256981694
8,2013-02-21,65.8599,65.92,64.29,10622495.0,64.38,64.73632968058031
10,2013-02-25,65.96,66.55,63.82,10267543.0,63.92,65.14660946639049
14,2013-03-01,68.38,69.115,68.09,6242092.0,69.03,68.72750838997263
15,2013-03-04,68.95,70.3,68.93,8375824.0,70.29,69.93376958466084
18,2013-03-07,70.4,70.5,69.94,4997362.0,70.25,70.07744810341869
27,2013-03-20,69.39,69.55,68.835,6108547.0,68.88,69.03398082299138
31,2013-03-26,69.66,70.4,69.55,4661146.0,70.05,70.16817279486867
34,2013-04-01,69.51,70.77,69.51,5359503.0,69.67,70.56410082610992
39,2013-04-08,69.78,71.25,69.78,6097143.0,71.22,71.00998250292592
44,2013-04-15,73.35,74.19,72.2101,8361151.0,72.23,73.29965735499141
45,2013-04-16,72.55,72.8,72.03,8120152.0,72.46,72.1837039765163
49,2013-04-22,73.92,74.22,73.24,7206618.0,73.86,73.5758796306347
52,2013-04-25,73.31,73.79,73.201,5619682.0,73.37,73.48657040235945
55,2013-04-30,73.5,74.01,73.22,6602408.0,73.35,73.58032897512287
58,2013-05-03,73.72,74.41,73.72,4951467.0,73.96,74.1926325644518
60,2013-05-07,75.24,75.2841,74.5962,5582351.0,75.07,74.72788186251927
64,2013-05-13,76.01,76.85,75.95,4465950.0,76.67,76.62515840913875
70,2013-05-21,79.33,79.47,78.06,14106814.0,78.71,78.18125422034292
75,2013-05-29,79.38,79.87,79.09,7126728.0,79.49,79.38267935727845
77,2013-05-31,79.54,80.15,79.33,4987045.0,79.7,79.81101967050117
82,2013-06-07,77.73,78.97,77.59,6556046.0,78.74,78.60422920821982
85,2013-06-12,78.04,78.3,76.36,7360081.0,76.4,77.18882738276018
92,2013-06-21,74.49,74.69,73.02,15552429.0,73.82,73.26091782275118
103,2013-07-09,79.54,80.15,79.33,4987045.0,79.7,79.81101967050117
106,2013-07-12,79.92,80.06,79.19,7657313.0,79.46,79.34040723781116
108,2013-07-16,80.41,80.69,79.84,5032677.0,80.22,80.1781423082262
111,2013-07-19,79.95,79.9548,79.37,3578466.0,79.66,79.50896491442487
113,2013-07-23,80.14,80.47,79.86,4985684.0,80.19,80.09065319376113
117,2013-07-29,78.64,78.755,77.35,6475767.0,77.42,77.8550503568049
121,2013-08-02,78.64,78.755,77.35,6475767.0,77.42,77.8550503568049
122,2013-08-05,79.95,79.9548,79.37,3578466.0,79.66,79.50896491442487
123,2013-08-06,79.62,80.3,79.19,6386966.0,80.24,79.79308346676434
124,2013-08-07,79.56,79.57,78.6,5324208.0,78.83,78.86831328831059
140,2013-08-29,74.97,75.66,74.8,5704196.0,75.05,75.32337825256835
141,2013-08-30,75.12,75.13,74.18,6331330.0,74.49,74.40428075630659
142,2013-09-03,74.83,75.25,73.68,7802913.0,73.9,74.36716168678636
149,2013-09-12,75.18,76.08,74.96,6261690.0,75.85,75.69684255066687
152,2013-09-17,75.64,76.15,75.57,6826362.0,75.8,75.79185194676751
156,2013-09-23,76.46,76.76,75.765,6249035.0,75.91,76.14781673778869
159,2013-09-26,75.62,76.42,75.62,3804309.0,76.07,76.25653142741999
161,2013-09-30,75.18,76.08,74.96,6261690.0,75.85,75.69684255066687
184,2013-10-31,77.99,78.4461,77.52,7560743.0,77.89,77.86227097228631
186,2013-11-04,77.18,77.42,76.61,3906518.0,77.0,76.9795237290678
