,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,70.42,70.46,69.92,2322699.0,70.09,70.09058286907471
3,2013-02-13,70.42,70.46,69.92,2322699.0,70.09,70.09058286907471
5,2013-02-15,70.38,70.44,69.77,3059553.0,70.11,69.95853132129763
8,2013-02-21,69.64,69.9799,69.3425,4144365.0,69.8,69.6510227072636
10,2013-02-25,69.89,70.13,68.95,5303817.0,68.95,69.29464809260294
14,2013-03-01,69.71,70.26,69.23,2980302.0,70.05,69.81000337764439
15,2013-03-04,69.59,69.845,68.9,3571667.0,69.7,69.25835400372458
18,2013-03-07,71.63,72.36,71.445,4217634.0,72.17,72.05554306790503
21,2013-03-12,73.87,73.92,72.18,3376263.0,72.2,72.6237374122625
27,2013-03-20,74.37,74.87,74.37,3636074.0,74.7,74.75443010790319
31,2013-03-26,75.11,75.63,74.92,3433382.0,75.48,75.37764056162744
34,2013-04-01,75.2,75.28,74.1,3952290.0,74.33,74.39447450616247
39,2013-04-08,72.9495,73.61,72.78,3308706.0,73.55,73.35975927362371
44,2013-04-15,73.87,73.92,72.18,3376263.0,72.2,72.6237374122625
45,2013-04-16,72.73,73.23,72.48,2474398.0,73.18,72.9740147832043
49,2013-04-22,74.29,74.89,74.035,3767306.0,74.59,74.56639627852552
52,2013-04-25,74.93,75.0453,74.43,5231187.0,74.53,74.55217771192734
55,2013-04-30,73.97,73.98,73.0,2918422.0,73.54,73.2406183894759
58,2013-05-03,74.7101,75.7,74.7101,3215875.0,75.24,75.5313971904224
60,2013-05-07,76.2,77.05,76.13,2921351.0,76.9,76.85879952762295
64,2013-05-13,77.69,78.0177,77.47,1993350.0,77.86,77.82183031850487
70,2013-05-21,80.5,80.874,79.91,3178336.0,80.15,80.35019319604358
75,2013-05-29,79.18,79.68,78.54,3285942.0,78.8,79.09857950241455
82,2013-06-07,78.39,79.22,77.88,3255986.0,79.08,78.69068309415367
85,2013-06-12,78.76,78.94,77.26,2107392.0,77.32,77.80993059951054
92,2013-06-21,78.31,78.5,77.29,4413524.0,78.25,77.63841312578131
103,2013-07-09,81.32,81.65,81.145,2930465.0,81.39,81.4488381675157
108,2013-07-16,82.35,82.64,81.86,1890472.0,82.03,82.24890197766669
113,2013-07-23,83.44,83.59,82.93,2028185.0,83.27,83.19752498946436
122,2013-08-05,84.28,84.71,84.01,1504209.0,84.53,84.47537252410572
124,2013-08-07,83.99,84.0,83.34,2438356.0,83.65,83.50735367266633
140,2013-08-29,79.25,80.49,79.09,1813055.0,80.06,80.21645967396658
141,2013-08-30,80.36,80.36,79.26,1968323.0,79.57,79.5557040937045
142,2013-09-03,80.44,81.03,80.31,4027898.0,80.98,80.78539966939502
150,2013-09-13,84.02,84.43,83.715,1391704.0,84.05,84.17665511865019
152,2013-09-17,85.14,85.67,85.011,1986544.0,85.45,85.50712926772336
156,2013-09-23,85.21,85.48,83.98,3266860.0,84.13,84.4884983219692
159,2013-09-26,84.02,84.43,83.715,1391704.0,84.05,84.17665511865019
161,2013-09-30,82.8,83.43,82.37,2489505.0,83.04,83.0129683849294
167,2013-10-08,82.8,83.43,82.37,2489505.0,83.04,83.0129683849294
179,2013-10-24,86.85,87.65,86.5,2290021.0,86.73,87.27251684273982
184,2013-10-31,86.85,87.65,86.5,2290021.0,86.73,87.27251684273982
186,2013-11-04,87.0,87.0,85.9,3240376.0,86.31,86.1421501048329
187,2013-11-05,86.05,86.69,85.42,1975260.0,86.34,86.13967991795293
192,2013-11-12,87.23,87.4,86.46,2438126.0,86.59,86.79313817998316
194,2013-11-14,87.75,88.82,87.4,2799246.0,88.67,88.38484184483089
198,2013-11-20,88.15,88.15,87.1,1796605.0,87.22,87.38247928564867
202,2013-11-26,88.65,89.1,88.42,1833957.0,88.53,88.8760668678058
204,2013-11-29,88.83,89.16,88.39,1156236.0,88.51,88.82235120670535
211,2013-12-10,87.66,88.28,87.42,1770442.0,87.84,88.02811645650296
224,2013-12-30,91.32,91.44,90.79,1450349.0,91.0,91.05173957397254
231,2014-01-09,90.89,91.44,90.25,1812595.0,90.47,90.89675259063027
233,2014-01-13,89.87,90.45,88.74,2477592.0,88.87,89.51492762794645
240,2014-01-23,90.36,90.71,89.2337,4180877.0,89.8,89.74543504578945
247,2014-02-03,91.23,91.96,88.66,4237210.0,88.75,89.86831776439347
249,2014-02-05,89.2,89.95,88.51,4273182.0,89.59,89.25072382818436
251,2014-02-07,91.69,93.29,91.47,4226280.0,93.16,92.82013094959754
254,2014-02-12,94.56,94.87,93.91,2477834.0,94.29,94.32472337420246
263,2014-02-26,93.55,94.54,93.5,2620666.0,93.86,94.34027129766605
268,2014-03-05,95.38,95.85,94.56,4219068.0,94.66,95.09010009915406
269,2014-03-06,95.05,95.5,94.7,3742598.0,94.75,95.10977977973361
270,2014-03-07,95.48,95.905,95.22,4810384.0,95.44,95.5445647651642
271,2014-03-10,95.045,95.415,94.69,2526618.0,95.25,95.07794060877843
276,2014-03-17,92.51,93.32,92.08,3462941.0,93.3,92.83278694405575
