,date,open,high,low,volume,Actual,Predicted
0,2013-02-08,53.64,54.18,53.61,3782909.0,53.83,54.06364711754066
1,2013-02-11,53.56,54.06,53.48,18307287.0,53.9,53.958240578094525
5,2013-02-15,53.5,54.0,53.5,5484683.0,53.59,53.91877911488483
8,2013-02-21,54.11,54.25,53.93,5514475.0,54.02,54.10016781422862
8,2013-02-21,54.11,54.38,52.51,7017177.0,52.66,53.14916716718991
10,2013-02-25,54.5,54.93,53.77,6360913.0,53.77,54.317797613965595
12,2013-02-27,54.5,54.93,53.77,6360913.0,53.77,54.317797613965595
14,2013-03-01,54.31,54.85,54.31,4597086.0,54.78,54.75804001753884
15,2013-03-04,54.66,54.9068,54.53,4424716.0,54.76,54.77088451560268
18,2013-03-07,55.09,55.56,55.08,3602203.0,55.35,55.46979528154118
27,2013-03-20,55.05,55.45,55.02,3805460.0,55.3,55.358400443589204
31,2013-03-26,55.9,55.9,55.16,4679136.0,55.38,55.3533107987017
31,2013-03-26,55.9,56.68,55.78,5107993.0,56.29,56.45438720127027
34,2013-04-01,56.67,56.8,56.22,3668590.0,56.61,56.4424522263245
36,2013-04-03,56.67,56.8,56.22,3668590.0,56.61,56.4424522263245
38,2013-04-05,56.45,56.82,55.875,3691809.0,56.82,56.325005366846405
39,2013-04-08,56.45,56.82,55.875,3691809.0,56.82,56.325005366846405
44,2013-04-15,57.02,57.75,56.48,5596657.0,56.49,57.22020311459951
45,2013-04-16,56.8,57.33,56.54,4131379.0,57.18,57.04208877461489
49,2013-04-22,57.46,57.63,56.99,2733074.0,57.58,57.246629329756324
52,2013-04-25,56.38,56.5,55.02,7431363.0,56.43,55.47571384043433
53,2013-04-26,56.45,56.82,55.875,3691809.0,56.82,56.325005366846405
55,2013-04-30,55.9,55.9,55.16,4679136.0,55.38,55.3533107987017
55,2013-04-30,55.9,56.68,55.78,5107993.0,56.29,56.45438720127027
58,2013-05-03,55.19,55.19,54.58,3407609.0,54.99,54.73716937311157
60,2013-05-07,54.52,54.59,53.85,6320165.0,54.17,54.08887244649855
64,2013-05-13,54.72,56.31,54.55,18985515.0,56.28,55.94119481108489
69,2013-05-20,55.9,55.9,55.16,4679136.0,55.38,55.3533107987017
69,2013-05-20,55.9,56.68,55.78,5107993.0,56.29,56.45438720127027
70,2013-05-21,55.07,55.43,54.66,4221928.0,55.14,55.0629321515492
73,2013-05-24,54.5,54.93,53.77,6360913.0,53.77,54.317797613965595
75,2013-05-29,54.24,54.36,53.44,4201657.0,53.75,53.746189519644226
82,2013-06-07,52.58,53.06,52.28,4368169.0,52.49,52.755482155135276
85,2013-06-12,52.31,52.61,51.76,3506966.0,51.78,52.14932519436548
92,2013-06-21,50.02,50.43,49.53,7203197.0,49.91,50.007063442061884
99,2013-07-02,50.08,50.28,49.97,27846852.0,50.06,50.243130051399476
103,2013-07-09,51.41,51.81,51.16,4519029.0,51.79,51.55900335484595
107,2013-07-15,51.41,51.81,51.16,4519029.0,51.79,51.55900335484595
108,2013-07-16,51.55,51.79,50.8,4031894.0,51.0,51.1930712866074
109,2013-07-17,51.2,51.95,50.15,14551449.0,51.04,51.06730988050261
110,2013-07-18,50.63,50.77,50.1,2142770.0,50.22,50.350923092162546
113,2013-07-23,50.77,51.06,50.56,3926336.0,50.99,50.85787631646472
122,2013-08-05,53.87,54.45,53.59,3793990.0,53.87,54.139215563802225
124,2013-08-07,53.32,53.75,53.05,3377608.0,53.62,53.47350149364256
140,2013-08-29,51.26,51.74,51.1,2305040.0,51.45,51.534874861015766
141,2013-08-30,51.46,51.62,51.17,3237341.0,51.4,51.37936605560222
142,2013-09-03,51.77,51.9,51.04,2641616.0,51.31,51.333861682226505
152,2013-09-17,53.64,54.18,53.61,3782909.0,53.83,54.06364711754066
153,2013-09-18,53.87,54.45,53.59,3793990.0,53.87,54.139215563802225
156,2013-09-23,53.84,53.86,52.83,4572751.0,53.04,53.10907420981467
159,2013-09-26,51.2,51.95,50.15,14551449.0,51.04,51.06730988050261
161,2013-09-30,50.3,50.66,50.21,4803524.0,50.33,50.537753779260704
184,2013-10-31,49.27,50.21,49.22,6757461.0,49.82,50.01756110722492
186,2013-11-04,50.39,50.55,50.1,4322766.0,50.41,50.31354554188045
187,2013-11-05,50.28,50.69,50.21,3692732.0,50.37,50.570099925309584
192,2013-11-12,50.08,50.28,49.97,27846852.0,50.06,50.243130051399476
194,2013-11-14,50.5,51.14,50.49,5480231.0,51.03,51.02786955668313
198,2013-11-20,50.89,51.0,50.48,3711427.0,50.67,50.68077291582808
202,2013-11-26,51.4,51.45,50.54,5851247.0,50.54,50.81155135887657
204,2013-11-29,50.63,50.77,50.1,2142770.0,50.22,50.350923092162546
205,2013-12-02,50.3,50.66,50.21,4803524.0,50.33,50.537753779260704
211,2013-12-10,50.86,50.88,50.32,4385615.0,50.49,50.482260543306545
224,2013-12-30,51.15,51.22,50.63,3309206.0,51.17,50.82446555716462
231,2014-01-09,51.24,51.74,51.19,6355587.0,51.68,51.62586536550676
233,2014-01-13,52.03,52.52,51.91,5413289.0,52.07,52.35185606726777
240,2014-01-23,55.38,55.38,54.62,5130292.0,55.15,54.82015509095104
247,2014-02-03,54.11,54.25,53.93,5514475.0,54.02,54.10016781422862
247,2014-02-03,54.11,54.38,52.51,7017177.0,52.66,53.14916716718991
249,2014-02-05,53.06,53.48,52.455,4467648.0,52.72,52.958435337448044
251,2014-02-07,52.81,53.55,52.75,4541361.0,53.21,53.37733868881802
254,2014-02-12,54.15,54.15,53.12,6055093.0,53.32,53.39210697118547
263,2014-02-26,58.47,58.89,58.38,4603556.0,58.66,58.7495827832495
268,2014-03-05,59.94,59.9699,59.22,3540825.0,59.43,59.42594828178413
269,2014-03-06,59.45,59.92,58.69,5083689.0,58.72,59.27014172588028
270,2014-03-07,58.89,59.08,58.145,4288626.0,58.59,58.49097497790324
271,2014-03-10,58.51,58.915,58.2,3978074.0,58.9,58.61091742670785
275,2014-03-14,58.31,59.18,57.35,7854549.0,58.68,58.31628715250783
283,2014-03-26,57.39,58.3,57.24,6628503.0,57.48,58.03147315998109
295,2014-04-11,58.38,58.89,58.03,5351157.0,58.45,58.5409715854299
298,2014-04-16,59.4,60.0,59.35,5321849.0,59.96,59.85777254079728
299,2014-04-17,59.73,60.45,59.62,4750022.0,60.43,60.23877914499358
302,2014-04-23,59.67,60.005,59.23,6563328.0,59.56,59.62363227633748
303,2014-04-24,58.31,59.18,57.35,7854549.0,58.68,58.31628715250783
305,2014-04-28,59.67,60.005,59.23,6563328.0,59.56,59.62363227633748
308,2014-05-01,59.18,59.705,58.79,4173356.0,59.52,59.31905316192571
310,2014-05-05,58.77,58.97,58.04,3805889.0,58.88,58.38896143242507
311,2014-05-06,58.74,59.6,58.45,4185942.0,58.56,59.22745629581806
317,2014-05-14,60.05,60.49,60.0,4050157.0,60.1,60.37284810711684
317,2014-05-14,60.05,60.2,59.65,2431256.0,59.85,59.86966498119815
319,2014-05-16,57.98,58.5,57.81,8677087.0,58.34,58.294220246353234
320,2014-05-19,58.28,58.76,58.22,3571034.0,58.65,58.62793727767406
322,2014-05-21,58.76,59.1,58.65,3020691.0,59.07,58.95429162681198
328,2014-05-30,59.38,60.1,59.3,4802607.0,59.86,59.91164792405194
331,2014-06-04,59.18,59.705,58.79,4173356.0,59.52,59.31905316192571
333,2014-06-06,59.85,59.85,59.38,2551290.0,59.63,59.49550638059459
340,2014-06-17,58.76,59.1,58.65,3020691.0,59.07,58.95429162681198
342,2014-06-19,60.05,60.49,60.0,4050157.0,60.1,60.37284810711684
342,2014-06-19,60.05,60.2,59.65,2431256.0,59.85,59.86966498119815
349,2014-06-30,63.34,63.38,62.06,4943587.0,62.17,62.41710644864815
350,2014-07-01,62.63,63.1,62.4,2900656.0,63.1,62.83716645267617
351,2014-07-02,62.45,63.08,62.12,3941001.0,62.7,62.71624381756339
358,2014-07-14,63.0,63.12,62.73,3861306.0,62.86,62.89442658688692
358,2014-07-14,63.0,63.29,62.71,2445156.0,63.01,63.01379578975546
359,2014-07-15,63.0,63.12,62.73,3861306.0,62.86,62.89442658688692
359,2014-07-15,63.0,63.29,62.71,2445156.0,63.01,63.01379578975546
361,2014-07-17,62.36,62.87,62.14,3424677.0,62.26,62.60909144136488
363,2014-07-21,63.0,63.12,62.73,3861306.0,62.86,62.89442658688692
363,2014-07-21,63.0,63.29,62.71,2445156.0,63.01,63.01379578975546
364,2014-07-22,63.82,64.15,63.44,3101757.0,63.72,63.800496550199995
381,2014-08-14,60.78,61.22,60.78,1801624.0,61.19,61.132754313560476
386,2014-08-21,62.37,62.44,61.91,2846001.0,62.03,62.078979309310945
390,2014-08-27,63.19,63.29,62.8,3082137.0,63.0,62.9758560972674
393,2014-09-02,63.6,63.8697,63.48,3470644.0,63.68,63.72700351612546
397,2014-09-08,64.62,65.245,64.59,4264110.0,65.0,65.10572174906947
402,2014-09-15,65.14,65.24,64.79,2725302.0,65.19,64.95311641314719
406,2014-09-19,66.99,67.14,66.4,6513373.0,66.53,66.6746115288487
408,2014-09-23,65.65,66.12,65.5,2724209.0,65.95,65.91403439927075
412,2014-09-29,65.06,65.45,64.83,3522866.0,65.34,65.20188776882338
416,2014-10-03,65.22,65.76,65.12,3609758.0,65.67,65.581571011208
418,2014-10-07,65.13,65.19,64.1,6157394.0,64.22,64.4126278667288
420,2014-10-09,64.94,65.38,64.29,3632078.0,64.3,64.8090937571468
426,2014-10-17,62.45,63.08,62.12,3941001.0,62.7,62.71624381756339
427,2014-10-20,62.63,63.1,62.4,2900656.0,63.1,62.83716645267617
431,2014-10-24,64.58,66.24,64.4,4784720.0,66.05,65.79942674610743
432,2014-10-27,65.94,66.62,65.79,4112528.0,66.2,66.37935250699087
434,2014-10-29,65.0,65.97,64.78,6205970.0,65.49,65.63073040975684
435,2014-10-30,65.4,66.98,65.3101,4134860.0,66.8,66.61889004651664
436,2014-10-31,67.3,67.43,65.91,4471929.0,66.33,66.36368087269082
438,2014-11-04,66.88,67.23,66.45,4057953.0,67.17,66.8399264180232
443,2014-11-11,68.35,68.67,67.805,5285285.0,67.85,68.20207219041868
