,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,52.562,52.616,51.9235,5615190.0,52.085,52.12284271735656
5,2013-02-15,51.631,52.494,51.631,7031470.0,52.313,52.325997967129055
8,2013-02-21,51.4,52.093,51.056,6813240.0,51.959,51.72657017839277
10,2013-02-25,52.534,52.6,51.09,8670020.0,51.09,51.55664452302085
14,2013-03-01,51.5,51.951,51.329,4141600.0,51.83,51.750457486206784
15,2013-03-04,51.598,52.2408,51.5761,3486370.0,52.141,52.13134515446912
18,2013-03-07,52.772,53.0,52.5695,6684540.0,52.667,52.7480672807536
27,2013-03-20,51.6,51.87,51.435,4546810.0,51.862,51.6773670909336
31,2013-03-26,52.3,53.719,52.222,9105410.0,53.547,53.43223561153895
34,2013-04-01,54.244,54.69,53.6,5501470.0,53.723,54.16624191246048
39,2013-04-08,53.069,53.566,52.978,3630710.0,53.437,53.41605633861826
44,2013-04-15,53.023,53.385,52.171,5280320.0,52.171,52.74471916724075
45,2013-04-16,52.311,53.158,52.206,5495190.0,53.158,52.949263435428286
49,2013-04-22,52.205,52.369,51.879,4397840.0,52.211,52.08382645991633
52,2013-04-25,53.413,53.9,52.515,3769050.0,53.514,53.247283400760644
55,2013-04-30,53.979,55.293,53.957,7980400.0,55.293,55.06107775263571
58,2013-05-03,55.174,55.766,55.063,7937660.0,55.355,55.52067799136239
60,2013-05-07,54.808,55.193,54.544,4332380.0,55.126,54.926127435914964
64,2013-05-13,55.3,55.841,55.3,3440970.0,55.584,55.74137548960656
70,2013-05-21,58.453,58.9,58.24,3917840.0,58.485,58.657141115848354
75,2013-05-29,57.232,57.6209,57.045,3506280.0,57.301,57.40807299087842
82,2013-06-07,56.775,56.937,56.367,7165200.0,56.625,56.542219144046435
85,2013-06-12,56.477,56.511,55.798,5815600.0,55.798,55.97928645535374
92,2013-06-21,57.919,57.99,56.888,12167630.0,57.329,57.12895431001918
103,2013-07-09,59.372,59.649,59.187,5921290.0,59.359,59.39827588813801
108,2013-07-16,59.622,59.791,58.938,4651100.0,58.979,59.25791214654667
113,2013-07-23,60.383,60.485,59.75,4648820.0,59.8,59.98547351890524
122,2013-08-05,64.122,64.5855,64.043,5878420.0,64.245,64.37585455877577
124,2013-08-07,65.3,65.3,64.504,5859990.0,64.632,64.67148190270429
140,2013-08-29,61.05,61.84,61.045,5059840.0,61.257,61.67850816620234
141,2013-08-30,61.395,61.498,60.359,6122560.0,60.608,60.721428423350005
142,2013-09-03,61.2,62.482,61.049,11390250.0,62.345,62.094891334533976
152,2013-09-17,67.331,68.0845,67.1532,4810290.0,67.917,67.80401739592646
156,2013-09-23,68.536,68.999,68.011,5171250.0,68.299,68.51181266158036
159,2013-09-26,67.523,67.9771,67.2495,3814720.0,67.758,67.6716290542064
161,2013-09-30,67.766,67.781,67.018,4362090.0,67.278,67.19882410398218
184,2013-10-31,73.004,73.462,70.739,9873030.0,71.71,71.80631269601136
186,2013-11-04,73.833,73.982,72.624,4568300.0,72.84,73.0848262166576
