,date,open,high,low,volume,Actual,Predicted
1,2014-01-03,55.650001525878906,54.529998779296875,55.02000045776367,54.560001373291016,54.560001373291016,54.56000137329105
5,2014-01-09,58.959999084472656,56.650001525878906,58.650001525878906,57.220001220703125,57.220001220703125,57.22000122070317
6,2014-01-10,58.29999923706055,57.060001373291016,57.130001068115234,57.939998626708984,57.939998626708984,57.93999862670902
9,2014-01-15,58.56999969482422,57.27000045776367,57.97999954223633,57.599998474121094,57.599998474121094,57.599998474121136
10,2014-01-16,58.02000045776367,56.83000183105469,57.2599983215332,57.189998626708984,57.189998626708984,57.18999862670903
14,2014-01-23,56.68000030517578,55.689998626708984,56.369998931884766,56.630001068115234,56.630001068115234,56.63000106811528
15,2014-01-24,56.41999816894531,54.400001525878906,56.150001525878906,54.45000076293945,54.45000076293945,54.45000076293949
17,2014-01-28,55.279998779296875,54.0,54.02000045776367,55.13999938964844,55.13999938964844,55.13999938964847
18,2014-01-29,54.95000076293945,53.189998626708984,54.61000061035156,53.529998779296875,53.529998779296875,53.52999877929691
19,2014-01-30,62.5,60.459999084472656,62.119998931884766,61.08000183105469,61.08000183105469,61.08000183105472
27,2014-02-11,65.0,63.349998474121094,63.75,64.8499984741211,64.8499984741211,64.84999847412112
30,2014-02-14,67.58000183105469,66.72000122070312,67.5,67.08999633789062,67.08999633789062,67.08999633789065
31,2014-02-18,67.54000091552734,66.06999969482422,66.94000244140625,67.30000305175781,67.30000305175781,67.30000305175784
34,2014-02-21,69.95999908447266,68.44999694824219,69.69000244140625,68.58999633789062,68.58999633789062,68.58999633789065
37,2014-02-26,71.22000122070312,68.8499984741211,70.19000244140625,69.26000213623047,69.26000213623047,69.2600021362305
39,2014-02-28,69.87999725341797,67.37999725341797,69.47000122070312,68.45999908447266,68.45999908447266,68.45999908447268
47,2014-03-12,71.3499984741211,68.1500015258789,71.29000091552734,68.83000183105469,68.83000183105469,68.83000183105472
47,2014-03-12,71.3499984741211,69.0,69.86000061035156,70.87999725341797,70.87999725341797,70.879997253418
48,2014-03-13,71.3499984741211,68.1500015258789,71.29000091552734,68.83000183105469,68.83000183105469,68.83000183105472
48,2014-03-13,71.3499984741211,69.0,69.86000061035156,70.87999725341797,70.87999725341797,70.879997253418
53,2014-03-20,68.2300033569336,66.81999969482422,68.01000213623047,66.97000122070312,66.97000122070312,66.97000122070315
54,2014-03-21,67.91999816894531,66.18000030517578,67.52999877929688,67.23999786376953,67.23999786376953,67.23999786376956
55,2014-03-24,67.36000061035156,63.36000061035156,67.19000244140625,64.0999984741211,64.0999984741211,64.09999847412112
57,2014-03-26,64.94999694824219,60.369998931884766,64.73999786376953,60.38999938964844,60.38999938964844,60.38999938964847
58,2014-03-27,61.900001525878906,57.97999954223633,60.5099983215332,60.970001220703125,60.970001220703125,60.97000122070316
61,2014-04-01,62.65999984741211,60.2400016784668,60.459999084472656,62.619998931884766,62.619998931884766,62.6199989318848
64,2014-04-04,60.20000076293945,56.31999969482422,59.939998626708984,56.75,56.75,56.75000000000004
66,2014-04-08,58.709999084472656,57.16999816894531,57.68000030517578,58.189998626708984,58.189998626708984,58.18999862670902
70,2014-04-14,60.45000076293945,57.779998779296875,60.09000015258789,58.88999938964844,58.88999938964844,58.88999938964848
76,2014-04-23,63.47999954223633,61.2599983215332,63.45000076293945,61.36000061035156,61.36000061035156,61.3600006103516
76,2014-04-23,63.47999954223633,62.150001525878906,63.369998931884766,62.5,62.5,62.500000000000036
77,2014-04-24,63.650001525878906,59.77000045776367,63.599998474121094,60.869998931884766,60.869998931884766,60.8699989318848
80,2014-04-29,58.279998779296875,55.84000015258789,56.09000015258789,58.150001525878906,58.150001525878906,58.15000152587894
85,2014-05-06,61.150001525878906,58.4900016784668,60.97999954223633,58.529998779296875,58.529998779296875,58.52999877929691
91,2014-05-14,60.45000076293945,57.779998779296875,60.09000015258789,58.88999938964844,58.88999938964844,58.88999938964848
92,2014-05-15,59.380001068115234,57.52000045776367,59.2599983215332,57.91999816894531,57.91999816894531,57.919998168945355
107,2014-06-06,63.47999954223633,61.2599983215332,63.45000076293945,61.36000061035156,61.36000061035156,61.3600006103516
107,2014-06-06,63.47999954223633,62.150001525878906,63.369998931884766,62.5,62.5,62.500000000000036
117,2014-06-20,64.80999755859375,63.349998474121094,64.45999908447266,64.5,64.5,64.50000000000003
118,2014-06-23,65.66000366210938,64.22000122070312,64.31999969482422,65.37000274658203,65.37000274658203,65.37000274658206
123,2014-06-30,67.91999816894531,66.18000030517578,67.52999877929688,67.23999786376953,67.23999786376953,67.23999786376956
124,2014-07-01,68.44000244140625,67.38999938964844,67.58000183105469,68.05999755859375,68.05999755859375,68.05999755859378
133,2014-07-15,68.08999633789062,66.26000213623047,67.95999908447266,67.16999816894531,67.16999816894531,67.16999816894534
135,2014-07-17,67.8499984741211,66.04000091552734,67.02999877929688,66.41000366210938,66.41000366210938,66.4100036621094
137,2014-07-21,69.95999908447266,68.44999694824219,69.69000244140625,68.58999633789062,68.58999633789062,68.58999633789065
141,2014-07-25,75.66999816894531,74.66000366210938,74.98999786376953,75.19000244140625,75.19000244140625,75.19000244140628
144,2014-07-30,75.19000244140625,74.12999725341797,74.20999908447266,74.68000030517578,74.68000030517578,74.68000030517581
145,2014-07-31,74.16999816894531,72.44000244140625,74.0,72.6500015258789,72.6500015258789,72.65000152587893
148,2014-08-05,73.58999633789062,72.18000030517578,73.19999694824219,72.69000244140625,72.69000244140625,72.69000244140628
152,2014-08-11,73.91000366210938,73.05999755859375,73.45999908447266,73.44000244140625,73.44000244140625,73.44000244140628
156,2014-08-15,74.6500015258789,73.0,74.31999969482422,73.62999725341797,73.62999725341797,73.629997253418
160,2014-08-21,75.19000244140625,74.12999725341797,74.20999908447266,74.68000030517578,74.68000030517578,74.68000030517581
161,2014-08-22,74.7300033569336,73.56999969482422,74.33999633789062,74.56999969482422,74.56999969482422,74.56999969482425
162,2014-08-25,75.27999877929688,74.79000091552734,74.94000244140625,75.0199966430664,75.0199966430664,75.01999664306643
175,2014-09-12,78.30000305175781,77.0999984741211,78.0199966430664,77.4800033569336,77.4800033569336,77.48000335693362
180,2014-09-19,78.30000305175781,77.0999984741211,78.0199966430664,77.4800033569336,77.4800033569336,77.48000335693362
182,2014-09-23,78.62999725341797,76.04000091552734,76.33000183105469,78.29000091552734,78.29000091552734,78.29000091552737
187,2014-09-30,79.70999908447266,78.5999984741211,79.3499984741211,79.04000091552734,79.04000091552734,79.04000091552737
191,2014-10-06,77.88999938964844,76.8499984741211,77.19000244140625,77.55999755859375,77.55999755859375,77.55999755859378
194,2014-10-09,77.76000213623047,75.8499984741211,77.27999877929688,75.91000366210938,75.91000366210938,75.9100036621094
200,2014-10-17,76.0,73.75,74.2300033569336,75.94999694824219,75.94999694824219,75.94999694824222
202,2014-10-21,78.73999786376953,77.1500015258789,77.55999755859375,78.69000244140625,78.69000244140625,78.69000244140628
206,2014-10-27,80.80000305175781,79.76000213623047,80.73999786376953,80.27999877929688,80.27999877929688,80.27999877929692
210,2014-10-31,75.69999694824219,74.25,75.68000030517578,74.47000122070312,74.47000122070312,74.47000122070315
215,2014-11-07,75.86000061035156,75.0199966430664,75.38999938964844,75.5999984741211,75.5999984741211,75.59999847412112
217,2014-11-11,74.9800033569336,74.02999877929688,74.94999694824219,74.61000061035156,74.61000061035156,74.61000061035159
220,2014-11-14,74.93000030517578,74.04000091552734,74.2699966430664,74.87999725341797,74.87999725341797,74.879997253418
223,2014-11-19,74.54000091552734,73.11000061035156,74.01000213623047,73.33000183105469,73.33000183105469,73.33000183105472
227,2014-11-25,75.73999786376953,74.12999725341797,74.20999908447266,75.62999725341797,75.62999725341797,75.629997253418
229,2014-11-28,78.2699966430664,77.2300033569336,77.66999816894531,77.69999694824219,77.69999694824219,77.69999694824222
233,2014-12-04,75.55000305175781,74.66000366210938,74.83000183105469,75.23999786376953,75.23999786376953,75.23999786376956
240,2014-12-15,78.58000183105469,76.55999755859375,78.45999908447266,76.98999786376953,76.98999786376953,76.98999786376956
245,2014-12-22,81.88999938964844,80.0,80.08000183105469,81.44999694824219,81.44999694824219,81.44999694824222
249,2014-12-29,80.95999908447266,78.31999969482422,80.01000213623047,78.7699966430664,78.7699966430664,78.76999664306643
249,2014-12-29,80.95999908447266,79.70999908447266,80.48999786376953,80.0199966430664,80.0199966430664,80.01999664306645
251,2014-12-31,79.80000305175781,77.86000061035156,79.54000091552734,78.0199966430664,78.0199966430664,78.01999664306643
252,2015-01-02,78.93000030517578,77.69999694824219,78.58000183105469,78.44999694824219,78.44999694824219,78.44999694824222
253,2015-01-05,79.25,76.86000061035156,77.9800033569336,77.19000244140625,77.19000244140625,77.19000244140628
254,2015-01-06,77.58999633789062,75.36000061035156,77.2300033569336,76.1500015258789,76.1500015258789,76.15000152587893
259,2015-01-13,78.08000183105469,75.8499984741211,77.2300033569336,76.44999694824219,76.44999694824219,76.44999694824222
260,2015-01-14,77.19999694824219,76.02999877929688,76.41999816894531,76.27999877929688,76.27999877929688,76.2799987792969
262,2015-01-16,75.31999969482422,73.83999633789062,74.04000091552734,75.18000030517578,75.18000030517578,75.18000030517581
264,2015-01-21,77.30000305175781,75.8499984741211,76.16000366210938,76.73999786376953,76.73999786376953,76.73999786376956
267,2015-01-26,78.47000122070312,77.29000091552734,77.9800033569336,77.5,77.5,77.50000000000003
276,2015-02-06,75.69999694824219,74.25,75.68000030517578,74.47000122070312,74.47000122070312,74.47000122070315
278,2015-02-10,75.33999633789062,74.5,74.8499984741211,75.19000244140625,75.19000244140625,75.19000244140628
279,2015-02-11,76.75,75.02999877929688,75.08999633789062,76.51000213623047,76.51000213623047,76.5100021362305
289,2015-02-26,81.37000274658203,79.72000122070312,79.87999725341797,80.41000366210938,80.41000366210938,80.4100036621094
294,2015-03-05,81.98999786376953,81.05000305175781,81.2300033569336,81.20999908447266,81.20999908447266,81.20999908447268
299,2015-03-12,79.05000305175781,77.91000366210938,78.0999984741211,78.93000030517578,78.93000030517578,78.93000030517581
300,2015-03-13,79.37999725341797,77.68000030517578,78.5999984741211,78.05000305175781,78.05000305175781,78.05000305175784
302,2015-03-17,79.77999877929688,78.33999633789062,78.36000061035156,79.36000061035156,79.36000061035156,79.36000061035159
303,2015-03-18,81.23999786376953,79.16999816894531,79.25,80.91000366210938,80.91000366210938,80.9100036621094
310,2015-03-27,83.94999694824219,82.87999725341797,83.37999725341797,83.30000305175781,83.30000305175781,83.30000305175784
311,2015-03-30,84.33999633789062,82.41000366210938,83.80999755859375,83.19999694824219,83.19999694824219,83.19999694824222
314,2015-04-02,82.55999755859375,81.44000244140625,82.25,81.55999755859375,81.55999755859375,81.55999755859378
317,2015-04-08,83.0999984741211,81.83999633789062,82.62999725341797,82.27999877929688,82.27999877929688,82.2799987792969
320,2015-04-13,83.94000244140625,81.91999816894531,81.93000030517578,83.01000213623047,83.01000213623047,83.0100021362305
322,2015-04-15,83.66000366210938,82.2699966430664,83.55000305175781,82.70999908447266,82.70999908447266,82.70999908447268
333,2015-04-30,80.95999908447266,78.31999969482422,80.01000213623047,78.7699966430664,78.7699966430664,78.76999664306643
333,2015-04-30,80.95999908447266,79.70999908447266,80.48999786376953,80.0199966430664,80.0199966430664,80.01999664306645
335,2015-05-04,79.69000244140625,78.62999725341797,79.33000183105469,78.80999755859375,78.80999755859375,78.80999755859378
341,2015-05-12,77.88999938964844,76.8499984741211,77.19000244140625,77.55999755859375,77.55999755859375,77.55999755859378
342,2015-05-13,78.52999877929688,77.6500015258789,77.72000122070312,78.44000244140625,78.44000244140625,78.44000244140628
353,2015-05-29,80.06999969482422,78.87999725341797,79.94999694824219,79.19000244140625,79.19000244140625,79.19000244140628
359,2015-06-08,82.0,80.12999725341797,81.81999969482422,80.66999816894531,80.66999816894531,80.66999816894536
361,2015-06-10,82.5999984741211,80.80999755859375,80.83000183105469,82.16000366210938,82.16000366210938,82.1600036621094
376,2015-07-01,87.94999694824219,86.48999786376953,86.7699966430664,86.91000366210938,86.91000366210938,86.9100036621094
379,2015-07-07,87.8499984741211,85.2300033569336,87.80000305175781,87.22000122070312,87.22000122070312,87.22000122070315
384,2015-07-14,90.80000305175781,89.6500015258789,90.45999908447266,89.68000030517578,89.68000030517578,89.68000030517581
385,2015-07-15,90.98999786376953,89.41999816894531,90.0,89.76000213623047,89.76000213623047,89.7600021362305
386,2015-07-16,90.86000061035156,89.7699966430664,90.27999877929688,90.8499984741211,90.8499984741211,90.84999847412112
390,2015-07-22,97.58000183105469,95.91999816894531,96.73999786376953,97.04000091552734,97.04000091552734,97.04000091552737
