,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,41.19,41.5,41.09,11411910.0,41.38,41.353620471111405
5,2013-02-15,41.46,41.5,41.235,15580073.0,41.42,41.24641649868207
8,2013-02-21,42.5,42.57,42.27,11824527.0,42.5,42.34918147499156
10,2013-02-25,43.31,43.45,42.5099,19421768.0,42.52,42.83243185961171
14,2013-03-01,42.33,42.67,42.33,14820185.0,42.63,42.528914795340526
15,2013-03-04,42.92,43.35,42.76,14162147.0,43.34,43.125018863868306
18,2013-03-07,43.82,43.93,43.09,13741214.0,43.27,43.412500753258705
27,2013-03-20,44.0,44.37,43.77,9903585.0,44.35,44.15179171840761
27,2013-03-20,44.0,44.29,43.88,14974237.0,44.12,44.074272621802194
30,2013-03-25,43.95,44.4,43.9,12114054.0,44.39,44.24941047320784
31,2013-03-26,43.95,44.4,43.9,12114054.0,44.39,44.24941047320784
34,2013-04-01,44.0,44.37,43.77,9903585.0,44.35,44.15179171840761
34,2013-04-01,44.0,44.29,43.88,14974237.0,44.12,44.074272621802194
39,2013-04-08,45.09,45.48,44.96,10153531.0,45.48,45.30406340559739
44,2013-04-15,46.89,47.5,46.46,15349674.0,46.46,47.0866016311116
45,2013-04-16,46.64,47.05,46.5,10188703.0,46.96,46.85755660014321
49,2013-04-22,47.45,47.97,47.18,14264916.0,47.92,47.65300166408187
50,2013-04-23,47.95,48.0,47.28,15955290.0,47.35,47.463640907120265
52,2013-04-25,47.95,48.0,47.28,15955290.0,47.35,47.463640907120265
55,2013-04-30,47.7499,47.84,47.0,19745601.0,47.0,47.21776890151859
58,2013-05-03,46.25,46.38,45.4633,12878071.0,45.67,45.82583317570652
60,2013-05-07,45.1,45.3,44.88,14528643.0,45.27,45.03213990520381
64,2013-05-13,45.84,46.23,45.68,10246330.0,46.17,46.03219585948689
70,2013-05-21,45.24,47.53,45.19,47027336.0,47.33,46.91019763683335
75,2013-05-29,47.29,47.465,46.51,16051889.0,46.87,46.86960632529037
78,2013-06-03,48.93,49.33,47.97,13345135.0,48.83,48.652460030428216
82,2013-06-07,48.77,49.14,48.1,50431238.0,48.19,48.19142171556083
85,2013-06-12,47.89,48.1,47.23,16853164.0,47.25,47.553855298772866
92,2013-06-21,46.87,47.6,46.67,24291414.0,47.0,47.20178171832373
103,2013-07-09,47.72,48.0,47.61,10317607.0,47.62,47.819053117503586
108,2013-07-16,48.56,48.83,48.03,15273507.0,48.23,48.36452111720899
113,2013-07-23,47.81,48.22,47.54,9242635.0,47.93,47.96194563452563
122,2013-08-05,48.39,48.66,48.07,6789115.0,48.53,48.404395906322236
124,2013-08-07,48.35,48.75,48.35,9666489.0,48.55,48.62678381983525
131,2013-08-16,47.79,48.06,47.54,12608359.0,47.68,47.778453271332815
136,2013-08-23,47.98,48.42,47.7531,8252066.0,48.13,48.19407613718579
140,2013-08-29,46.97,47.4,46.79,9695414.0,47.1,47.18924783875302
141,2013-08-30,47.09,47.475,47.02,8326349.0,47.29,47.33888739381206
142,2013-09-03,47.52,47.66,47.013,14212718.0,47.21,47.229899534529736
142,2013-09-03,47.52,47.87,47.5,11280621.0,47.82,47.72468128358134
144,2013-09-05,47.79,48.06,47.54,12608359.0,47.68,47.778453271332815
152,2013-09-17,48.11,48.23,47.94,7704535.0,48.01,48.04993400224782
153,2013-09-18,47.81,48.22,47.54,9242635.0,47.93,47.96194563452563
156,2013-09-23,47.79,48.06,47.54,12608359.0,47.68,47.778453271332815
159,2013-09-26,47.78,48.0,47.51,10263121.0,47.68,47.73651462333939
161,2013-09-30,47.64,47.87,47.29,16243975.0,47.609,47.49596734459158
180,2013-10-25,46.25,46.38,45.4633,12878071.0,45.67,45.82583317570652
184,2013-10-31,45.31,45.46,45.09,14994218.0,45.09,45.1870154471592
186,2013-11-04,45.92,46.27,45.66,16177512.0,45.72,45.95179738352264
187,2013-11-05,45.59,45.78,45.32,10426861.0,45.36,45.529958518700965
192,2013-11-12,46.95,47.63,46.8,13950583.0,47.59,47.37827686549264
194,2013-11-14,47.52,47.66,47.013,14212718.0,47.21,47.229899534529736
194,2013-11-14,47.52,47.87,47.5,11280621.0,47.82,47.72468128358134
198,2013-11-20,47.98,48.42,47.7531,8252066.0,48.13,48.19407613718579
202,2013-11-26,49.66,49.75,49.16,22939366.0,49.58,49.210802511333405
204,2013-11-29,49.79,49.95,49.48,6899961.0,49.83,49.692770675204244
205,2013-12-02,49.74,49.94,49.33,6321897.0,49.94,49.6355230134698
206,2013-12-03,49.82,50.0,49.34,9328168.0,49.52,49.62400588228627
211,2013-12-10,49.28,49.55,49.095,10236424.0,49.43,49.32037395702068
224,2013-12-30,49.74,49.94,49.33,6321897.0,49.94,49.6355230134698
225,2013-12-31,49.74,49.94,49.33,6321897.0,49.94,49.6355230134698
231,2014-01-09,49.82,50.0,49.34,9328168.0,49.52,49.62400588228627
233,2014-01-13,50.9,53.44,50.79,37318077.0,53.12,52.854953735575
236,2014-01-16,52.15,52.36,51.65,11999213.0,52.2,51.92644979746846
236,2014-01-16,52.15,52.15,51.2,11636117.0,51.87,51.48915731558637
240,2014-01-23,51.21,51.75,50.86,15877916.0,51.6,51.34679583166093
247,2014-02-03,52.91,53.15,51.92,15489910.0,52.08,52.410952449592216
249,2014-02-05,54.275,55.2,53.14,24507243.0,53.53,54.24949184569785
251,2014-02-07,53.65,54.82,53.44,14547783.0,54.77,54.469946970744395
253,2014-02-11,54.71,55.04,54.4662,7705950.0,54.81,54.770811700005325
254,2014-02-12,55.44,55.69,54.85,13629961.0,55.0,55.16718519294702
258,2014-02-19,55.44,55.69,54.85,13629961.0,55.0,55.16718519294702
263,2014-02-26,56.0,56.45,55.92,10139579.0,56.27,56.22721325053436
268,2014-03-05,57.4,57.44,56.52,9048109.0,56.88,56.81026496457275
269,2014-03-06,57.06,57.65,57.01,10605733.0,57.26,57.426278999645106
270,2014-03-07,57.35,57.57,57.1,10634294.0,57.47,57.25007072319187
271,2014-03-10,57.44,57.62,57.0,7383294.0,57.32,57.237577911907415
272,2014-03-11,57.4,57.44,56.52,9048109.0,56.88,56.81026496457275
273,2014-03-12,56.39,56.625,56.26,5660275.0,56.34,56.4316225337623
273,2014-03-12,56.39,57.97,56.21,14928493.0,57.65,57.6002948948603
283,2014-03-26,55.43,56.46,55.39,13076140.0,56.02,56.20969776470873
285,2014-03-28,56.21,56.37,55.75,22580659.0,56.24,55.81089626938627
292,2014-04-08,55.28,55.4,53.64,16135640.0,54.95,54.29774241249937
295,2014-04-11,55.55,56.595,55.3,13631945.0,55.92,56.2258650402512
298,2014-04-16,56.45,57.0,56.2699,11263810.0,56.47,56.70512381559096
298,2014-04-16,56.45,56.95,55.93,9635546.0,56.26,56.49552326834534
299,2014-04-17,56.45,57.0,56.2699,11263810.0,56.47,56.70512381559096
299,2014-04-17,56.45,56.95,55.93,9635546.0,56.26,56.49552326834534
302,2014-04-23,57.75,57.77,57.075,7736306.0,57.5,57.26222487419978
303,2014-04-24,57.32,57.82,56.85,6714791.0,57.53,57.4198819758051
305,2014-04-28,57.61,58.2,57.53,8735023.0,57.85,57.97830785577956
307,2014-04-30,58.51,59.03,58.01,8617833.0,58.13,58.5836637852363
308,2014-05-01,58.55,59.84,58.55,11724492.0,59.62,59.59759716964752
310,2014-05-05,58.11,58.67,57.75,8135021.0,58.63,58.3046677260642
311,2014-05-06,58.75,58.77,57.04,13838391.0,57.11,57.63756794783033
313,2014-05-08,55.55,56.595,55.3,13631945.0,55.92,56.2258650402512
