,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,27.65,27.92,27.5,32247549.0,27.86,27.77432761808816
5,2013-02-15,28.04,28.16,27.875,49650538.0,28.01,28.02466712527341
8,2013-02-21,27.74,27.74,27.23,49078338.0,27.49,27.358972671716018
10,2013-02-25,27.97,28.05,27.37,48011248.0,27.37,27.582240981232765
14,2013-03-01,27.72,27.98,27.52,34849287.0,27.95,27.79580068973762
15,2013-03-04,27.85,28.15,27.7,38163549.0,28.15,27.995067344170433
18,2013-03-07,28.11,28.28,28.005,29196691.0,28.14,28.191814576455823
27,2013-03-20,28.34,28.49,28.18,35447348.0,28.315,28.35954244850771
28,2013-03-21,28.11,28.28,28.005,29196691.0,28.14,28.191814576455823
31,2013-03-26,28.24,28.34,28.11,27822154.0,28.155,28.24734611355667
34,2013-04-01,28.64,28.66,28.36,29199115.0,28.61,28.465343763007038
39,2013-04-08,28.73,28.73,28.47,34759424.0,28.59,28.552340843189977
40,2013-04-09,28.73,28.73,28.47,34759424.0,28.59,28.552340843189977
44,2013-04-15,28.65,28.98,28.51,56332862.0,28.69,28.817301546277662
45,2013-04-16,28.9,29.14,28.695,52795256.0,28.97,28.94664031146468
49,2013-04-22,30.3,31.18,30.27,137901279.0,30.83,30.947999450141715
52,2013-04-25,31.71,32.84,31.54,110685794.0,31.94,32.45986779912407
53,2013-04-26,31.9,32.0,31.64,30984542.0,31.7,31.802893042227147
55,2013-04-30,32.56,33.11,32.28,75116271.0,33.1,32.78146206096842
56,2013-05-01,32.93,33.6,32.8,45271567.0,33.55,33.37949847885166
58,2013-05-03,33.23,33.52,33.08,46784484.0,33.49,33.36161969679707
59,2013-05-06,33.42,33.47,32.9,84683924.0,32.93,33.05146849151853
60,2013-05-07,33.65,33.79,33.24,42916453.0,33.31,33.46039974145332
64,2013-05-13,32.61,33.07,32.55,36027027.0,33.03,32.952698149884405
70,2013-05-21,35.1,35.2725,34.72,48693429.0,34.85,34.95648472033685
75,2013-05-29,34.74,35.02,34.57,38411673.0,34.88,34.85192541054298
82,2013-06-07,35.25,35.78,35.06,40757245.0,35.67,35.54317325444712
85,2013-06-12,35.14,35.27,34.85,37371982.0,35.0,35.039196931983746
92,2013-06-21,33.66,33.73,33.05,85337340.0,33.265,33.23627939455037
100,2013-07-03,33.66,33.73,33.05,85337340.0,33.265,33.23627939455037
103,2013-07-09,34.58,34.6,34.14,25318501.0,34.35,34.28043616660013
107,2013-07-15,35.66,35.69,35.34,41689563.0,35.405,35.454035681409565
108,2013-07-16,36.01,36.4299,35.96,36378481.0,36.27,36.327855172685325
113,2013-07-23,31.91,32.04,31.71,65810331.0,31.82,31.86608288806807
122,2013-08-05,31.9,32.0,31.64,30984542.0,31.7,31.802893042227147
124,2013-08-07,31.54,32.1,31.25,38060978.0,32.063,31.780598157451614
140,2013-08-29,32.93,33.6,32.8,45271567.0,33.55,33.37949847885166
141,2013-08-30,33.37,33.48,33.09,42774005.0,33.4,33.25881465279532
142,2013-09-03,31.75,32.07,31.29,154489546.0,31.88,31.60754650188684
147,2013-09-10,31.9,32.0,31.64,30984542.0,31.7,31.802893042227147
152,2013-09-17,33.42,33.47,32.9,84683924.0,32.93,33.05146849151853
156,2013-09-23,32.5401,32.969,32.5,39826261.0,32.74,32.8718435531495
159,2013-09-26,32.64,33.0,32.59,28483079.0,32.77,32.91507912213254
161,2013-09-30,33.0,33.31,32.7,39838108.0,33.28,33.0332832721391
180,2013-10-25,35.88,35.91,35.4,36520448.0,35.53,35.55098871685421
184,2013-10-31,35.66,35.69,35.34,41689563.0,35.405,35.454035681409565
186,2013-11-04,35.59,35.98,35.55,28061873.0,35.94,35.896313657929376
187,2013-11-05,35.7899,36.71,35.77,51681868.0,36.64,36.52031565709381
192,2013-11-12,37.38,37.595,37.2,31651589.0,37.36,37.4354093531658
194,2013-11-14,37.87,38.13,37.72,46186577.0,38.021,37.977155709958915
196,2013-11-18,37.35,37.6,37.3,27055869.0,37.47,37.53758154546623
198,2013-11-20,36.87,37.41,36.86,32231827.0,37.08,37.316429945599886
202,2013-11-26,37.57,37.65,37.35,34468069.0,37.35,37.4854739077549
203,2013-11-27,37.57,37.65,37.35,34468069.0,37.35,37.4854739077549
