,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,72.01,72.22,71.98,1097030.0,72.18,72.11673383041023
5,2013-02-15,72.38,72.6,72.226,2470268.0,72.5,72.3907409845519
8,2013-02-21,73.04,73.08,72.52,1324890.0,72.53,72.64506097907041
10,2013-02-25,72.85,73.4999,72.19,6872406.0,72.19,72.80968015901811
14,2013-03-01,71.85,72.37,71.51,2051146.0,72.36,71.98296916707089
15,2013-03-04,72.23,73.76,72.19,2140978.0,73.59,73.4320763775865
18,2013-03-07,74.16,74.43,73.825,1622622.0,73.94,74.09056203505217
27,2013-03-20,75.35,75.81,74.87,1786673.0,75.7,75.33394930112759
31,2013-03-26,76.35,77.2,76.28,2983045.0,77.17,76.94847614603951
34,2013-04-01,77.61,77.68,77.24,995191.0,77.48,77.35353158933825
39,2013-04-08,79.45,79.97,78.77,1465596.0,79.94,79.34324807748914
42,2013-04-11,80.0,80.28,79.43,1079017.0,79.91,79.77485533535389
44,2013-04-15,79.39,80.22,78.94,2043775.0,78.95,79.70580894769196
45,2013-04-16,79.13,79.83,78.7,1455765.0,79.71,79.35679664999243
49,2013-04-22,80.0,80.28,79.43,1079017.0,79.91,79.77485533535389
52,2013-04-25,80.56,80.81,80.11,1151427.0,80.44,80.39607123281704
55,2013-04-30,82.03,82.65,81.58,2122870.0,82.03,82.1682453137467
58,2013-05-03,82.05,82.2,81.531,1281800.0,81.75,81.75044608499957
60,2013-05-07,80.78,81.72,80.69,1343000.0,81.72,81.45774223129594
64,2013-05-13,79.75,79.94,79.24,1279237.0,79.62,79.49039413431943
70,2013-05-21,80.26,80.82,79.71,1373341.0,80.49,80.28254426923785
75,2013-05-29,76.62,76.71,74.86,2521195.0,75.72,75.35426757794058
82,2013-06-07,78.01,78.83,77.53,3262083.0,78.8,78.28259477685698
85,2013-06-12,79.25,79.44,77.62,1696864.0,77.75,78.1721331121675
92,2013-06-21,77.95,78.76,76.91,3173508.0,78.33,77.80817395210252
103,2013-07-09,81.02,81.685,80.65,1562196.0,81.35,81.26005026465423
108,2013-07-16,85.51,85.65,84.47,2633055.0,84.96,84.80983163591908
112,2013-07-22,85.03,85.41,84.62,2578952.0,84.8,84.99054622882667
113,2013-07-23,85.03,85.41,84.62,2578952.0,84.8,84.99054622882667
122,2013-08-05,87.81,87.81,87.0,1237059.0,87.08,87.17383916520501
124,2013-08-07,87.15,87.29,86.41,1758596.0,86.76,86.67723434535786
140,2013-08-29,81.04,81.11,80.28,1379305.0,80.56,80.4966666210149
141,2013-08-30,80.6,80.99,79.95,1146078.0,80.36,80.40891045724469
142,2013-09-03,81.07,81.12,79.43,1415408.0,79.77,79.87000168921651
147,2013-09-10,80.56,80.81,80.11,1151427.0,80.44,80.39607123281704
151,2013-09-16,80.26,80.82,79.71,1373341.0,80.49,80.28254426923785
152,2013-09-17,79.17,79.5199,78.83,2092469.0,79.0,79.1601943624807
156,2013-09-23,80.51,81.45,80.104,2381278.0,81.22,80.94721255528883
159,2013-09-26,80.52,80.97,80.12,1805758.0,80.44,80.55425440958736
161,2013-09-30,79.77,80.17,79.5,2381893.0,80.16,79.85038220732878
163,2013-10-02,79.75,79.94,79.24,1279237.0,79.62,79.49039413431943
179,2013-10-24,85.54,85.714,84.86,1921951.0,85.13,85.1375483874327
184,2013-10-31,85.6,85.74,84.1,2944116.0,84.75,84.56234468874429
186,2013-11-04,88.65,88.98,86.98,2523848.0,88.09,87.6539801481802
187,2013-11-05,87.97,88.75,87.22,2358016.0,87.26,88.02370128520116
192,2013-11-12,86.13,86.51,85.229,2105363.0,85.65,85.73891308864432
194,2013-11-14,86.54,87.77,86.29,1533256.0,87.5,87.34503009623698
195,2013-11-15,87.97,88.75,87.22,2358016.0,87.26,88.02370128520116
198,2013-11-20,87.39,87.8,86.21,1856160.0,86.23,86.8243034860852
202,2013-11-26,85.54,85.714,84.86,1921951.0,85.13,85.1375483874327
204,2013-11-29,84.38,85.38,84.38,734099.0,84.59,85.18069582426864
211,2013-12-10,84.17,84.27,82.79,3197857.0,82.84,83.1829127976452
224,2013-12-30,84.57,85.17,84.56,1091264.0,85.05,85.0222901799627
231,2014-01-09,85.57,86.21,84.92,2067302.0,86.02,85.58093185426677
233,2014-01-13,86.85,87.57,86.33,1465789.0,86.68,87.02937975308862
237,2014-01-17,87.81,87.81,87.0,1237059.0,87.08,87.17383916520501
240,2014-01-23,88.55,89.15,88.22,1458775.0,88.8,88.76654845307743
247,2014-02-03,92.05,92.75,91.08,3234471.0,91.22,91.86781923858503
249,2014-02-05,89.9,90.2,89.235,2333329.0,89.36,89.61111201109786
251,2014-02-07,90.63,91.48,89.825,2625124.0,90.61,90.70040663295106
254,2014-02-12,91.96,92.75,91.56,1886375.0,92.2,92.28201923308363
263,2014-02-26,91.22,91.4499,90.3,2270871.0,90.46,90.6875529055883
268,2014-03-05,91.61,91.65,90.46,1633675.0,90.65,90.75697474706692
269,2014-03-06,91.01,91.17,90.26,1632781.0,90.74,90.54876365412058
270,2014-03-07,90.6,91.85,90.3,1976539.0,91.8,91.38156418489406
271,2014-03-10,91.65,91.9,90.6,1791596.0,91.18,91.04513742186562
278,2014-03-19,94.44,94.86,93.77,1346715.0,94.18,94.25975606329104
283,2014-03-26,94.68,94.895,93.8,1687879.0,93.88,94.17069909547591
287,2014-04-01,95.61,96.3,95.61,964451.0,96.19,96.14853923518133
289,2014-04-03,94.68,94.895,93.8,1687879.0,93.88,94.17069909547591
295,2014-04-11,95.58,96.27,95.02,2141379.0,95.15,95.69930095343916
298,2014-04-16,97.13,97.95,96.73,1391511.0,97.91,97.48332231314215
299,2014-04-17,97.56,98.14,96.55,2590019.0,96.59,97.25514295410215
302,2014-04-23,96.38,97.45,96.24,1952196.0,96.47,97.1271424106865
303,2014-04-24,96.79,97.1,95.81,2190275.0,96.69,96.28324474443116
308,2014-05-01,100.22,100.35,99.36,2674429.0,99.97,99.64406230015668
310,2014-05-05,97.73,98.24,97.42,2128032.0,97.95,97.87958933442326
311,2014-05-06,97.63,98.67,97.43,1871185.0,97.86,98.30928346253069
316,2014-05-13,96.16,97.01,96.0,1412944.0,96.89,96.71263984091466
317,2014-05-14,95.84,97.22,95.84,1882872.0,96.61,96.9510161637999
319,2014-05-16,96.24,96.86,95.92,2205217.0,96.6,96.47407323968176
320,2014-05-19,96.5,96.5,94.66,1740707.0,94.7,95.1115149362627
322,2014-05-21,96.66,96.8,95.945,2521440.0,96.28,96.1989008503896
323,2014-05-22,96.24,96.86,95.92,2205217.0,96.6,96.47407323968176
328,2014-05-30,96.6,97.46,96.33,2101728.0,97.36,97.07400115726392
333,2014-06-06,98.07,98.57,97.32,1168375.0,97.44,97.90155070948474
339,2014-06-16,96.96,98.31,96.415,3511999.0,98.14,97.63281316471905
342,2014-06-19,99.95,100.8,99.27,3539170.0,100.16,100.1031206319859
349,2014-06-30,101.49,102.51,100.84,3675110.0,102.48,101.80714336181569
351,2014-07-02,101.13,101.935,99.67,3353045.0,101.66,100.6805365247699
351,2014-07-02,101.13,101.44,99.43,2870729.0,99.7,100.09363556213991
353,2014-07-07,98.07,98.57,97.32,1168375.0,97.44,97.90155070948474
355,2014-07-09,98.77,99.47,98.7,2707856.0,99.12,99.24834353322534
358,2014-07-14,98.64,99.02,97.39,1828826.0,97.42,98.0001859733403
359,2014-07-15,97.57,98.44,97.32,1760551.0,98.32,98.07069569145422
361,2014-07-17,99.52,99.52,97.555,1606871.0,97.58,98.04256445289658
364,2014-07-22,98.85,99.1,98.31,1382551.0,98.35,98.62112603322008
381,2014-08-14,95.61,96.3,95.61,964451.0,96.19,96.14853923518133
386,2014-08-21,97.8,98.63,97.78,1285456.0,98.01,98.43908745299497
390,2014-08-27,96.16,97.01,96.0,1412944.0,96.89,96.71263984091466
393,2014-09-02,98.29,98.52,96.84,1873720.0,97.23,97.37780263451783
397,2014-09-08,97.9,98.0,96.99,1051040.0,97.24,97.2790675259649
399,2014-09-10,95.61,96.3,95.61,964451.0,96.19,96.14853923518133
402,2014-09-15,94.44,94.86,93.77,1346715.0,94.18,94.25975606329104
406,2014-09-19,95.0,95.49,94.53,2140818.0,95.14,95.01589723208929
408,2014-09-23,94.62,95.11,94.189,1400113.0,94.55,94.6719353955281
412,2014-09-29,92.98,93.7,92.57,1265594.0,93.6,93.2423669266687
416,2014-10-03,94.2,94.3892,93.345,1603610.0,94.23,93.68790783647842
418,2014-10-07,93.33,94.1904,92.97,1805615.0,93.02,93.7415321769669
420,2014-10-09,95.35,95.95,93.59,2386201.0,93.59,94.5188423921496
427,2014-10-20,94.29,95.23,94.19,1391987.0,95.13,94.96208383968644
431,2014-10-24,98.0,98.78,97.55,1650713.0,98.36,98.28066996509858
432,2014-10-27,98.24,98.99,97.83,1353312.0,98.09,98.52758080156511
434,2014-10-29,99.0,99.48,97.52,1821396.0,98.6,98.27755607094997
435,2014-10-30,98.98,100.17,97.51,2848957.0,99.91,98.85298787692528
436,2014-10-31,100.51,100.51,98.87,2520954.0,100.22,99.25929306367013
438,2014-11-04,100.95,101.61,100.37,1991462.0,100.96,101.03187523940973
441,2014-11-07,103.85,104.15,103.51,552762.0,103.93,103.81810533012641
443,2014-11-11,105.51,105.94,104.62,1845687.0,104.8,105.17484722828665
445,2014-11-13,103.09,103.83,101.9001,1765014.0,102.27,102.79890737740213
446,2014-11-14,101.95,102.3699,101.64,1866323.0,101.85,102.02698803723287
452,2014-11-24,103.9,104.17,103.17,1404436.0,103.22,103.55050434220495
453,2014-11-25,102.52,103.06,101.81,1848676.0,102.85,102.40792954903647
458,2014-12-03,104.79,105.35,104.04,1606472.0,104.39,104.6686301637502
459,2014-12-04,102.65,104.1,102.58,3655320.0,103.49,103.75170334719849
461,2014-12-08,102.82,104.3,102.82,1798118.0,103.67,104.01735676205882
464,2014-12-11,101.75,102.48,101.36,1273741.0,102.31,102.03662635037402
464,2014-12-11,101.75,103.1799,101.51,2338696.0,102.48,102.72487541269288
465,2014-12-12,101.8,102.95,100.77,2580373.0,100.81,101.9622116357874
466,2014-12-15,101.85,101.95,99.5676,2825580.0,100.66,100.2138923233
467,2014-12-16,100.87,102.51,100.07,2649548.0,101.08,101.61181082624557
470,2014-12-19,105.68,105.89,103.74,2573193.0,104.62,104.38872279382575
471,2014-12-22,105.86,106.23,105.25,1644053.0,105.94,105.67985226135583
477,2014-12-31,107.85,108.25,106.79,2757014.0,106.96,107.35683581329049
478,2015-01-02,106.63,107.13,105.38,1616367.0,106.69,106.09489439270737
481,2015-01-07,107.59,107.96,106.07,1822988.0,106.94,106.74703082325719
482,2015-01-08,107.87,108.23,107.31,1905115.0,107.59,107.71532783116051
483,2015-01-09,107.73,108.02,106.37,1530766.0,106.64,106.93888690121788
484,2015-01-12,106.5,107.47,104.95,2849787.0,105.48,106.13044550850184
487,2015-01-15,107.53,107.83,106.12,4324708.0,107.04,106.68169018672207
489,2015-01-20,108.61,109.09,107.52,1849909.0,108.93,108.1721453778005
492,2015-01-23,109.88,110.22,109.34,1685169.0,109.48,109.72560851124123
494,2015-01-27,109.87,111.507,108.63,2131892.0,111.22,110.29640616839748
500,2015-02-04,109.98,110.63,109.135,1563779.0,109.44,109.86678511390579
501,2015-02-05,109.82,110.09,108.83,1307926.0,109.71,109.28352524632176
511,2015-02-20,105.25,105.96,104.28,1700944.0,105.6,105.09439297965982
513,2015-02-24,105.72,107.05,105.46,1870488.0,106.08,106.60159897551026
517,2015-03-02,103.0,104.0,102.71,2153078.0,103.28,103.57803530857966
520,2015-03-05,101.83,102.82,101.77,1058013.0,102.28,102.57800937296676
520,2015-03-05,101.83,102.96,101.62,1966832.0,102.13,102.57759585546165
523,2015-03-10,97.48,99.55,97.48,3428945.0,97.99,99.15713894635059
523,2015-03-10,97.48,98.39,97.07,3050310.0,97.98,97.88465415891199
