,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,72.5,72.64,72.2,3743992.0,72.36,72.35859496559183
5,2013-02-15,72.49,73.72,72.47,9350090.0,73.68,73.2961772960468
8,2013-02-21,75.27,75.44,74.72,5645280.0,75.36,74.93431050437287
10,2013-02-25,75.68,76.33,75.09,7603226.0,75.19,75.72443835871944
14,2013-03-01,75.55,75.95,75.37,4286138.0,75.93,75.68543221614311
15,2013-03-04,75.78,76.62,75.54,5562460.0,76.6,76.28587800186052
18,2013-03-07,76.76,77.17,76.67,4461854.0,77.14,76.92479891724332
27,2013-03-20,76.95,77.07,76.07,7579799.0,76.32,76.30683720982663
31,2013-03-26,77.9,78.94,77.79,5185165.0,78.92,78.68170530225537
34,2013-04-01,78.76,79.23,78.76,3639312.0,79.1,79.06185331804053
39,2013-04-08,78.565,79.51,78.25,3726374.0,79.5,79.24568150775161
44,2013-04-15,79.53,80.02,78.91,5357042.0,78.92,79.50188474566203
45,2013-04-16,79.23,80.03,79.09,5149230.0,80.0,79.73785044672067
49,2013-04-22,82.29,83.63,82.05,6664706.0,83.38,83.22952806073299
51,2013-04-24,84.06,84.91,83.83,3207592.0,84.62,84.67268492103702
52,2013-04-25,82.41,83.09,82.18,5603040.0,82.82,82.70941846565667
52,2013-04-25,82.41,82.645,82.02,4117996.0,82.47,82.25724493375408
53,2013-04-26,82.71,83.09,82.68,2006895.0,82.91,82.97755115179754
55,2013-04-30,82.41,83.09,82.18,5603040.0,82.82,82.70941846565667
55,2013-04-30,82.41,82.645,82.02,4117996.0,82.47,82.25724493375408
58,2013-05-03,82.96,83.25,82.46,4777198.0,82.83,82.78060163010393
60,2013-05-07,82.59,83.34,82.37,3706774.0,83.34,83.07860054264047
64,2013-05-13,82.72,83.35,82.52,3010608.0,83.03,83.12838103027042
65,2013-05-14,83.06,83.57,82.32,4487238.0,82.37,83.03702764229563
70,2013-05-21,82.63,82.925,82.12,3984661.0,82.63,82.50035989757069
71,2013-05-22,82.59,83.34,82.37,3706774.0,83.34,83.07860054264047
75,2013-05-29,82.23,82.23,80.92,4346002.0,81.12,81.44825533570432
82,2013-06-07,81.98,82.51,81.49,6447739.0,82.51,81.96856926241742
85,2013-06-12,82.81,83.19,82.04,4277783.0,82.11,82.64979614486498
88,2013-06-17,82.59,83.34,82.37,3706774.0,83.34,83.07860054264047
91,2013-06-20,80.48,80.79,80.04,5966611.0,80.2,80.28978550444342
92,2013-06-21,79.56,80.42,79.22,9416910.0,80.13,79.80012947234482
103,2013-07-09,82.21,82.87,81.96,3838592.0,82.77,82.58482512700262
108,2013-07-16,83.93,84.3,83.31,4480747.0,84.02,83.80050219017747
113,2013-07-23,86.37,86.43,85.97,6321160.0,86.2,85.87468453111723
122,2013-08-05,84.34,84.64,83.77,3590210.0,84.48,84.20551568775667
124,2013-08-07,84.93,84.99,84.365,3832553.0,84.76,84.52334072666102
127,2013-08-12,83.93,84.3,83.31,4480747.0,84.02,83.80050219017747
129,2013-08-14,83.34,83.39,82.37,4565939.0,82.85,82.72762470039906
140,2013-08-29,79.25,79.74,79.05,5616981.0,79.33,79.3749518597864
141,2013-08-30,79.42,79.84,79.23,4362672.0,79.73,79.54678313005174
142,2013-09-03,80.48,80.79,80.04,5966611.0,80.2,80.28978550444342
144,2013-09-05,79.53,80.02,78.91,5357042.0,78.92,79.50188474566203
146,2013-09-09,79.25,79.74,79.05,5616981.0,79.33,79.3749518597864
152,2013-09-17,81.01,81.84,80.97,4111763.0,81.66,81.64064366910644
156,2013-09-23,81.56,81.58,80.95,5384783.0,81.02,81.0203253045077
159,2013-09-26,80.28,80.57,79.85,3941610.0,80.54,80.19240583657317
161,2013-09-30,79.86,79.92,79.25,5231393.0,79.5,79.38158205783544
163,2013-10-02,79.53,80.02,78.91,5357042.0,78.92,79.50188474566203
166,2013-10-07,79.25,79.74,79.05,5616981.0,79.33,79.3749518597864
172,2013-10-15,81.17,81.44,80.96,5880029.0,81.33,81.02957839873602
177,2013-10-22,82.45,82.81,82.11,4888909.0,82.4,82.40526923438595
184,2013-10-31,84.65,84.9,84.09,4572187.0,84.09,84.40662375250362
186,2013-11-04,84.62,84.99,84.135,3572847.0,84.37,84.59357943343889
186,2013-11-04,84.62,84.88,84.195,2698087.0,84.46,84.55114908728308
187,2013-11-05,84.06,84.91,83.83,3207592.0,84.62,84.67268492103702
192,2013-11-12,85.41,85.675,85.03,4561148.0,85.64,85.25054960971411
194,2013-11-14,85.98,86.63,85.88,2897306.0,86.39,86.43795868764091
198,2013-11-20,85.48,86.0895,84.98,4471122.0,85.13,85.64618239038529
202,2013-11-26,85.4,85.75,84.38,4633892.0,84.39,85.07309814873054
204,2013-11-29,84.62,84.99,84.135,3572847.0,84.37,84.59357943343889
204,2013-11-29,84.62,84.88,84.195,2698087.0,84.46,84.55114908728308
208,2013-12-05,82.41,83.09,82.18,5603040.0,82.82,82.70941846565667
208,2013-12-05,82.41,82.645,82.02,4117996.0,82.47,82.25724493375408
211,2013-12-10,82.45,82.81,82.11,4888909.0,82.4,82.40526923438595
219,2013-12-20,81.55,81.83,81.2101,4313497.0,81.73,81.45857070572433
224,2013-12-30,82.71,83.09,82.68,2006895.0,82.91,82.97755115179754
231,2014-01-09,83.34,83.39,82.37,4565939.0,82.85,82.72762470039906
233,2014-01-13,83.06,83.57,82.32,4487238.0,82.37,83.03702764229563
234,2014-01-14,82.63,82.925,82.12,3984661.0,82.63,82.50035989757069
238,2014-01-21,82.21,82.87,81.96,3838592.0,82.77,82.58482512700262
240,2014-01-23,82.85,82.85,81.87,5429063.0,82.43,82.13223008355199
247,2014-02-03,80.35,80.51,78.52,7076924.0,78.57,79.38296998983792
249,2014-02-05,78.57,79.62,78.44,4829740.0,79.42,79.37159561587286
251,2014-02-07,79.68,80.26,79.26,4578150.0,80.22,79.87244547045584
253,2014-02-11,80.48,80.79,80.04,5966611.0,80.2,80.28978550444342
254,2014-02-12,81.48,81.85,80.98,4471389.0,81.49,81.4123565200825
263,2014-02-26,79.5,79.88,78.57,6586262.0,78.65,79.1591439430171
268,2014-03-05,80.39,81.47,80.31,6402186.0,81.11,81.14104071384607
269,2014-03-06,81.17,81.44,80.96,5880029.0,81.33,81.02957839873602
270,2014-03-07,81.51,81.63,81.03,4033468.0,81.56,81.20851527656356
271,2014-03-10,81.55,81.83,81.2101,4313497.0,81.73,81.45857070572433
274,2014-03-13,82.21,82.87,81.96,3838592.0,82.77,82.58482512700262
278,2014-03-19,81.98,82.51,81.49,6447739.0,82.51,81.96856926241742
283,2014-03-26,82.57,83.74,82.49,6392588.0,82.87,83.40569354568805
284,2014-03-27,82.85,82.85,81.87,5429063.0,82.43,82.13223008355199
292,2014-04-08,83.93,84.3,83.31,4480747.0,84.02,83.80050219017747
295,2014-04-11,81.99,84.22,81.99,6703801.0,83.15,83.97590852383838
298,2014-04-16,84.42,84.98,84.37,5578425.0,84.77,84.65281450124307
299,2014-04-17,85.9,85.94,84.49,11168516.0,85.55,84.7002021833738
302,2014-04-23,85.27,85.7,85.063,4805297.0,85.41,85.34212587946327
303,2014-04-24,85.38,85.67,85.0,3749740.0,85.52,85.29510139424885
308,2014-05-01,86.0,86.134,84.945,3848907.0,85.57,85.47097991387729
310,2014-05-05,85.17,86.08,85.14,2990077.0,85.91,85.93284709110658
311,2014-05-06,85.49,85.98,85.32,3141190.0,85.37,85.73747880941718
317,2014-05-14,87.24,87.44,86.78,2726366.0,86.84,87.07682753030633
319,2014-05-16,85.59,86.62,85.57,3672615.0,86.54,86.44271364127512
320,2014-05-19,85.94,86.2,85.45,4201543.0,86.1,85.74968891943605
322,2014-05-21,85.78,86.1461,85.53,2647076.0,86.1,85.89062369483983
328,2014-05-30,87.61,88.48,87.41,5181053.0,88.33,88.12030233791569
333,2014-06-06,87.86,88.07,87.53,3675394.0,87.91,87.69995176528666
342,2014-06-19,88.96,90.1,88.92,5380438.0,90.1,89.80332051078719
349,2014-06-30,88.46,89.5,88.35,4473412.0,89.34,89.22464539327365
351,2014-07-02,89.29,89.69,89.01,2829646.0,89.67,89.39467623043507
353,2014-07-07,89.61,89.64,89.01,5304613.0,89.17,89.0448288436058
358,2014-07-14,90.2,91.39,90.07,4500210.0,91.08,91.10583170521905
359,2014-07-15,90.31,90.95,90.18,3959381.0,90.34,90.65884668430834
361,2014-07-17,90.15,90.67,89.97,2823794.0,89.99,90.41825397072604
364,2014-07-22,89.61,89.64,89.01,5304613.0,89.17,89.0448288436058
381,2014-08-14,91.82,92.08,91.46,3624934.0,91.79,91.68239743705051
385,2014-08-20,91.82,92.08,91.46,3624934.0,91.79,91.68239743705051
386,2014-08-21,92.57,93.19,92.01,4060284.0,92.05,92.70819510780612
390,2014-08-27,92.72,92.72,92.06,2960141.0,92.23,92.21927290170805
393,2014-09-02,92.62,93.14,92.38,5130407.0,92.48,92.71520267130695
397,2014-09-08,91.48,92.25,91.39,3534335.0,91.86,92.00218319609152
402,2014-09-15,91.07,91.31,90.78,3770687.0,91.2,90.93442681220925
406,2014-09-19,93.86,94.21,93.42,6259505.0,93.79,93.6207814076382
408,2014-09-23,93.55,93.58,92.84,3390277.0,92.93,93.03161244947414
412,2014-09-29,92.51,93.39,92.51,2973610.0,93.15,93.21273513533671
416,2014-10-03,93.01,93.53,92.65,4084603.0,93.5,93.11679636457836
417,2014-10-06,93.5,93.99,91.86,6689958.0,93.6,92.91072460407456
418,2014-10-07,93.29,93.54,92.9,6799862.0,93.1,92.93514561771954
420,2014-10-09,95.35,96.22,93.56,9094388.0,93.57,94.95599416635356
427,2014-10-20,91.66,93.72,91.59,6888587.0,93.55,93.37157668147157
430,2014-10-23,94.94,95.29,94.06,4507415.0,94.13,94.62294277752287
431,2014-10-24,93.76,94.79,93.55,4005843.0,94.6,94.4721623880799
432,2014-10-27,94.48,95.24,94.31,3135454.0,94.62,94.96642750764683
434,2014-10-29,95.5,95.5,94.07,3274336.0,94.69,94.65957796315304
435,2014-10-30,96.7,97.39,96.22,3247530.0,97.16,96.96952518198438
436,2014-10-31,96.41,96.74,95.58,5259362.0,96.17,96.03905719193422
438,2014-11-04,96.14,96.84,95.99,3944484.0,96.73,96.51344503926936
440,2014-11-06,96.96,97.38,96.64,3263623.0,96.7,97.00194321425005
442,2014-11-10,96.4,98.59,96.15,5110612.0,98.49,98.25711121550356
443,2014-11-11,96.96,97.38,96.64,3263623.0,96.7,97.00194321425005
444,2014-11-12,96.7,97.39,96.22,3247530.0,97.16,96.96952518198438
445,2014-11-13,96.53,98.96,96.53,6257928.0,98.54,98.67491740368926
445,2014-11-13,96.53,96.915,96.21,3699019.0,96.45,96.51134394290379
446,2014-11-14,98.49,98.55,97.36,4335384.0,97.72,97.75388336996323
450,2014-11-20,98.01,98.33,97.67,3328277.0,98.05,97.9274190869546
452,2014-11-24,98.88,99.25,98.49,4540688.0,98.68,98.75498196598764
453,2014-11-25,98.51,99.19,98.5,3640863.0,98.93,98.92226984602412
454,2014-11-26,99.25,99.6,98.9701,5967095.0,99.25,99.06148299165787
458,2014-12-03,99.7,99.7,98.18,4943770.0,98.32,98.70239118426181
458,2014-12-03,99.7,100.27,99.52,4902868.0,100.18,99.84639432224279
459,2014-12-04,98.04,98.28,97.4,4590476.0,97.75,97.67845785165294
461,2014-12-08,97.87,98.11,97.5,4233782.0,97.78,97.63756327081316
461,2014-12-08,97.87,99.3,97.58,7340638.0,99.3,98.75938003932131
463,2014-12-10,97.23,97.23,96.41,4466206.0,96.61,96.55215707082388
464,2014-12-11,96.3,97.49,96.16,7263805.0,97.22,97.00556448110744
464,2014-12-11,96.3,97.0,96.01,4784694.0,96.29,96.56761993831574
465,2014-12-12,95.66,96.77,94.71,3938216.0,94.74,96.15725435062755
466,2014-12-15,95.13,96.23,94.43,6526279.0,95.74,95.56679583022589
466,2014-12-15,95.13,95.72,93.8627,4555217.0,94.14,94.91192892817146
467,2014-12-16,93.54,94.97,92.53,6962762.0,92.59,94.18981121992259
471,2014-12-22,95.79,96.66,95.47,3622999.0,96.62,96.29855926144816
478,2015-01-02,94.93,95.34,94.048,3554777.0,94.44,94.73230954092061
481,2015-01-07,95.13,96.23,94.43,6526279.0,95.74,95.56679583022589
481,2015-01-07,95.13,95.72,93.8627,4555217.0,94.14,94.91192892817146
482,2015-01-08,96.74,97.91,96.68,7131624.0,97.48,97.46125398175563
483,2015-01-09,97.55,97.67,96.59,4061535.0,96.82,96.9668677541626
485,2015-01-13,96.67,96.8851,96.09,3631735.0,96.18,96.3695956697293
485,2015-01-13,96.67,97.44,95.45,7827702.0,95.73,96.46242491529917
487,2015-01-15,97.14,97.32,96.38,4424008.0,96.67,96.68144127964993
487,2015-01-15,97.14,97.89,96.4,4729515.0,97.52,97.2809610239457
489,2015-01-20,98.33,98.33,96.83,7029455.0,97.51,97.2254834856799
490,2015-01-21,97.02,97.48,96.8,3371302.0,97.17,97.1377660448461
492,2015-01-23,98.36,98.99,98.1,4857695.0,98.53,98.54890990268584
492,2015-01-23,98.36,99.02,97.79,5955280.0,97.82,98.39343894191421
494,2015-01-27,97.65,98.05,95.248,7365306.0,96.72,96.59912100024778
498,2015-02-02,93.86,94.21,93.42,6259505.0,93.79,93.6207814076382
500,2015-02-04,96.03,97.2653,96.03,5064710.0,96.6,96.97024619739285
501,2015-02-05,97.23,97.23,96.41,4466206.0,96.61,96.55215707082388
511,2015-02-20,98.22,99.07,97.83,3946209.0,99.06,98.64685206992078
513,2015-02-24,99.45,99.97,99.14,3389854.0,99.58,99.58155548968396
518,2015-03-03,98.82,100.09,98.75,3253117.0,99.86,99.86039473476933
520,2015-03-05,97.7,97.83,97.21,3537435.0,97.23,97.34412923668012
522,2015-03-09,96.0,96.38,95.0,4230685.0,96.2,95.67771691878818
523,2015-03-10,95.38,95.6,94.43,5390258.0,94.43,94.84183538834066
528,2015-03-17,94.94,95.29,94.06,4507415.0,94.13,94.62294277752287
529,2015-03-18,93.99,95.05,92.24,7692072.0,94.64,93.90498398824823
530,2015-03-19,94.43,94.58,93.7,4386405.0,94.1,93.96858672137256
531,2015-03-20,94.2,95.475,94.1,8810365.0,95.34,94.93322140242357
533,2015-03-24,96.71,97.16,95.81,7118581.0,95.86,96.32872402682035
534,2015-03-25,96.43,97.9,96.08,5169860.0,97.45,97.4738374681528
535,2015-03-26,95.25,95.98,94.79,5077708.0,95.63,95.47084175453767
539,2015-04-01,95.16,95.28,94.17,4241245.0,95.09,94.56772297405085
542,2015-04-07,96.67,96.8851,96.09,3631735.0,96.18,96.3695956697293
542,2015-04-07,96.67,97.44,95.45,7827702.0,95.73,96.46242491529917
548,2015-04-15,96.74,97.91,96.68,7131624.0,97.48,97.46125398175563
549,2015-04-16,96.53,98.96,96.53,6257928.0,98.54,98.67491740368926
549,2015-04-16,96.53,96.915,96.21,3699019.0,96.45,96.51134394290379
552,2015-04-21,97.2,97.64,96.1,7514382.0,96.25,96.70264036081376
554,2015-04-23,96.67,96.8851,96.09,3631735.0,96.18,96.3695956697293
554,2015-04-23,96.67,97.44,95.45,7827702.0,95.73,96.46242491529917
560,2015-05-01,95.16,95.28,94.17,4241245.0,95.09,94.56772297405085
563,2015-05-06,95.92,96.83,95.53,4407002.0,95.94,96.39677082846543
565,2015-05-08,95.91,96.61,95.55,5231561.0,96.55,96.12575540665436
567,2015-05-12,96.0,96.38,95.0,4230685.0,96.2,95.67771691878818
571,2015-05-18,98.01,98.33,97.67,3328277.0,98.05,97.9274190869546
574,2015-05-21,97.4,97.79,96.9,3406907.0,97.2,97.32752256836211
578,2015-05-28,96.55,97.39,95.93,5321733.0,97.06,96.80335959680916
580,2015-06-01,96.59,96.59,95.64,4406982.0,95.97,95.86758244962186
581,2015-06-02,95.63,96.3502,95.37,3960876.0,96.05,95.9832471930078
587,2015-06-10,93.37,94.08,93.13,3891995.0,93.69,93.73692332999872
597,2015-06-24,95.26,95.77,95.26,4742043.0,95.29,95.44790013670816
604,2015-07-06,94.04,94.67,93.2481,6076291.0,94.47,93.97021987412656
609,2015-07-13,96.3,97.49,96.16,7263805.0,97.22,97.00556448110744
609,2015-07-13,96.3,97.0,96.01,4784694.0,96.29,96.56761993831574
610,2015-07-14,97.4,97.79,96.9,3406907.0,97.2,97.32752256836211
613,2015-07-17,96.54,96.82,96.05,3573604.0,96.78,96.34887060057898
616,2015-07-22,97.02,97.48,96.8,3371302.0,97.17,97.1377660448461
618,2015-07-24,96.67,96.8851,96.09,3631735.0,96.18,96.3695956697293
618,2015-07-24,96.67,97.44,95.45,7827702.0,95.73,96.46242491529917
619,2015-07-27,96.03,97.2653,96.03,5064710.0,96.6,96.97024619739285
621,2015-07-29,96.18,96.77,96.05,3851061.0,96.53,96.44902342729735
622,2015-07-30,96.18,96.77,96.05,3851061.0,96.53,96.44902342729735
625,2015-08-04,97.3,98.0,97.18,3954982.0,97.81,97.67827525314192
630,2015-08-11,98.6,98.75,98.15,3581332.0,98.62,98.27380462480353
631,2015-08-12,98.04,98.28,97.4,4590476.0,97.75,97.67845785165294
634,2015-08-17,98.82,100.09,98.75,3253117.0,99.86,99.86039473476933
638,2015-08-21,97.2,97.64,96.1,7514382.0,96.25,96.70264036081376
641,2015-08-26,91.72,92.63,89.69,7614142.0,92.49,91.38063185330522
642,2015-08-27,93.5,93.99,91.86,6689958.0,93.6,92.91072460407456
